company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"We enable organizations to make the most effective strategic and tactical moves relating to their customers, markets, and competition at the rapid pace that the digital business world demands. Founded in 2000, our business areas include Market Intelligence, Big Data Analytics, Digital Transformation, Artificial Intelligence, and Analytics. Rapid advances in Artificial Intelligence and Machine Learning technology have enabled us to create disruptive technologies and accelerators under our Course5 Intelligence suites that combine analytics, digital, and research solutions to provide significant and long-term value to our clients.","RoleSolution Architect,","₹ 20,00,000 - 35,00,000 P.A. ",7 - 12 years,Gurgaon/Gurugram,"Job descriptionJob Summary:As a part of the data science team of Course5s Advanced analytics and Applied AI division, we are looking for a Solutions leader who is diligent, detail-driven, and ambitious to provide the SME expertise, design solutions and best practices to lead the projects for our partners across the globe for all AI implementations. This position will require a strong background and working experience in developing scalable, sustainable and cloud agnostic data marts/lakes to enable effective deployment of AI algorithms developed to solve custom problems in the partner ecosystems for sandboxes as well as for the production deployments for continuous modeling, testing, improvement and deployment. This role expects you to be a self-starter and ability to handle ambiguity with respect to the expectations, objective, data and would require discrete and constant attention to details.  You will be leading and delivering the projects and are expected to have experience in application agile project management principles. You should be organized and will be working on multiple projects, streams of work and stakeholders.You'll also have the chance to shape the direction of our products and services. This is through gathering feedback from customers whilst collaborating with our engineering and service teams.Job Responsibilities: Lead and device the architecture/design decisions needed to achieve cost-effective and high-performance results.  Should be able to develop reusable code and architecture with minimal technical debt and should know multiple ways of implementing/solutioning for a seamless integration. Leading and innovating in core areas of cloud computing, big data, real time analytics, and large-scale data processing to solve customer problems. Analyze current technologies used within the client environment and determine ways to improve the same both technically and in a cost-effective manner. Cultivate sustained innovation to deliver exceptional services and platforms to customers & provide solutions for technical escalations that come to the engineering Conduct feasibility analysis, produce functional and design specifications of proposed new features and troubleshoot complex issues discovered in-house as well as in customer environments. Access scenario and provide approaches for scalability and agility by creating technical architecture to solve for problem into consideration which may vary from migration of infrastructure, maintenance of current infrastructure, building sustainable and reliable architecture from scratch etc.  Hire, mentor & provide technical guidance to a team of Big Data engineers and data scientists actively involved in building the analytical models and platform as and when required Document and monitor requirements needed to institute proposed updates to the technological ecosystems to provide a scalable and reliable architecture Design, guide, innovate the Big Data platform, big data infrastructure, and big data workflow, scaling across multiple data centers, geographies and time zones. Propose and establish framework for necessary contributions from various departments and account for possible project challenges on constraints including, risks, time, resources and scope Work closely with project management teams to successfully monitor progress of initiatives and own technical troubleshooting to ensure timely delivery of projectsRequirements & Qualifications: 6 to 10 years of experience as solutions architect /Technology Architect /Cloud Architect and should have firsthand experience in cloud implementations, software Development and deployment etc. Should have worked on one or more cloud technology and have knowledge in multiple aspects of technological development such as, software development/architecture, systems engineering, infrastructure, security, networking, creating data models & implementing analytical models/solutions. Should have either created data lake and data platforms from scratch Should have at experience in delivering infrastructures migration and implementation along with detailed knowledge of creating sustainable architecture by leveraging reusable components. Understands and can articulate common architectural patterns, potential bottlenecks and design principles. Must have worked upon and led complex technical projects, which requires participation from multiple teams and should be able to create technical content that is easily adopted and reusable by others. Good to have cloud certifications in similar capabilities. Open to some travel (25%)Course5 is proud to be an equal opportunity employer. We are committed to equal employment opportunity regardless of race, color, religion, sex, sexual orientation, age, marital status, disability, gender identity, etc. If you have a disability or special need that requires accommodation, please keep us informed about the same at the hiring stages for us to factor necessary accommodations.RoleSolution Architect,Industry TypeAnalytics / KPO / Research,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduateKey SkillssolutioningCloud ArchitectureAWSGcp Cloudazuretechnical architectureSkills highlighted with ‘‘ are preferred keyskills","['solutioning', 'Cloud Architecture', 'AWS', 'Gcp Cloud', 'azure', 'technical architecture']",['UG :Any Graduate'],"Industry TypeAnalytics / KPO / Research,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com","RoleTechnical Architect,",Not Disclosed,4 - 6 years,Bangalore/Bengaluru,"Job description    Project Role :  Cloud Solution Architect    Project Role Description :  Develop Cloud solutions, support sales teams, perform opportunity triage and sales support liaison and coordinate with clients the details of the solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure solutions.    Management Level :  10    Work Experience :  4-6 years    Work location :  Bengaluru    Must Have Skills :  Solution Architecting    Good To Have Skills :  No Technology Specialization    Job Requirements :        Key Responsibilities :   1- Manage large and complex bid Solutioning including RFP response more from Services / Implementation perspective 2- Should understand the complexities involved in integrating the various modules, functionalities supported, customer requirements compliance etc3- Identify key customer requirements, seek RFP clarifications, understanding compliance and SLA requirements, envisage high-level solution and work with the SME to come out with the efforts involved for its implementation     Technical Experience :   1- BMC Remedy, Service-Now, HP OM stack, BPPM, Splunk and other tools related solutions, including understanding and documenting the architecture 2- Ability to generate High Level Design, High Level BoQ and other technical documents for Solutioning 3- Should possess a strong knowledge of Service-now technologies Expert level knowledge of Service-Now ITSM Suite, Service-Now Asset Management, Service-Now Change Management and CMDB is required     Professional Attributes :   1- Excellent verbal and written communication 2- Excellent client / customer relationship management skills at the executive level 3- Extensive client / customer service management skills 4- Good people management skills     Educational Qualification :   1- University degree is a must, preferably MBA from leading institutes   RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :MBA/PGDMKey SkillsChange managementBmc RemedyConsultingsplunkAsset managementHigh level designRFPSolution architectingSolution ArchitectCRMSkills highlighted with ‘‘ are preferred keyskills","['Change management', 'Bmc Remedy', 'Consulting', 'splunk', 'Asset management', 'High level design', 'RFP', 'Solution architecting', 'Solution Architect', 'CRM']","['UG :Any Graduate', 'PG :MBA/PGDM']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services€”all powered by the world€™s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.","RoleTechnical Architect,",Not Disclosed,4 - 6 years,Bangalore/Bengaluru,"Job description    Project Role :  Cloud Solution Architect    Project Role Description :  Develop Cloud solutions, support sales teams, perform opportunity triage and sales support liaison and coordinate with clients the details of the solution. Has expertise in one or more Public Cloud provider technologies and is capable of embedding these capabilities into existing or new cloud-based infrastructure solutions.    Management Level :  10    Work Experience :  4-6 years    Work location :  Bengaluru    Must Have Skills :  Solution Architecting    Good To Have Skills :  No Technology Specialization    Job Requirements :        Key Responsibilities :   1- Manage large and complex bid Solutioning including RFP response more from Services / Implementation perspective 2- Should understand the complexities involved in integrating the various modules, functionalities supported, customer requirements compliance etc3- Identify key customer requirements, seek RFP clarifications, understanding compliance and SLA requirements, envisage high-level solution and work with the SME to come out with the efforts involved for its implementation     Technical Experience :   1- BMC Remedy, Service-Now, HP OM stack, BPPM, Splunk and other tools related solutions, including understanding and documenting the architecture 2- Ability to generate High Level Design, High Level BoQ and other technical documents for Solutioning 3- Should possess a strong knowledge of Service-now technologies Expert level knowledge of Service-Now ITSM Suite, Service-Now Asset Management, Service-Now Change Management and CMDB is required     Professional Attributes :   1- Excellent verbal and written communication 2- Excellent client / customer relationship management skills at the executive level 3- Extensive client / customer service management skills 4- Good people management skills     Educational Qualification :   1- University degree is a must, preferably MBA from leading institutes   RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :MBA/PGDMKey SkillsChange ManagementConsultingRFPSolution ArchitectingBmc RemedyAsset ManagementHigh Level DesignSplunkCRMSkills highlighted with ‘‘ are preferred keyskills","['Change Management', 'Consulting', 'RFP', 'Solution Architecting', 'Bmc Remedy', 'Asset Management', 'High Level Design', 'Splunk', 'CRM']","['UG :Any Graduate', 'PG :MBA/PGDM']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleSolution Architect,",Not Disclosed,8 - 13 years,Noida,"Job descriptionTechnical knowledge: Snowflake, GCP or Azure , Tableau , MSTR , working experience with SAP sources• Understand customer current data solution and architecture• Design and implement effective database solutions and models to store and retrieve company data using Snowflake as solution• Excellent knowledge in cloud technologies• Examine and identify database structural necessities by evaluating client operations, applications, and programming.• Understand company needs to define system specifications• Plan and design the structure of a technology solution• Communicate system requirements to software development teams• Evaluate and select appropriate software or hardware and suggest integration methods• Oversee assigned programs eg -conduct code review and provide guidance to team members• Ensure the implementation of agreed architecture and infrastructure g Address technical concerns, ideas and suggestions h Monitor systems• Assess database implementation procedures to ensure they comply with internal and external regulations.Requirements:• Bachelor’s degree in Computer Science, Computer Engineering, or relevant field.• A minimum of 5 years’ experience in a similar role.• Strong knowledge of database structure systems and data mining.• Excellent organizational and analytical abilities.• Outstanding problem solver.• Good written and verbal communication skills.Location - Bangalore, Hyderabad, Chennai, Noida,Mumbai,Pune,Kolkata, Coimbatore, Ahmedabad, Bhubaneswar, Delhi / NCR.RoleSolution Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Computers, B.Sc in Computers, BCA in ComputersPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsSnowflakeMSTRAzureSAPCloud Solution ArchitectGCPdata miningTableauAWSSkills highlighted with ‘‘ are preferred keyskills","['Snowflake', 'MSTR', 'Azure', 'SAP', 'Cloud Solution Architect', 'GCP', 'data mining', 'Tableau', 'AWS']","['UG :B.Tech/B.E. in Computers, B.Sc in Computers, BCA in Computers', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleDevOps Consultant / Architect,",Not Disclosed,11 - 15 years,Pune,"Job description - Masters Degree in Computer Science, Engineering, Math or Physics.   - 11-15 yrs of experience   - Technical owner for architecting the technical roadmap, architecture, design, and solutions   - Responsible for technical architecture, design and implement core algorithms, microservices, cloud native architectures and have experience in building large scale reliable platforms and applications.   - Ability to drive solutions, engagement, assignments independently with complete ownership for outcome driven solution offerings    - Lead the assessment, gap analysis, process improvement, and designing end state operating models for teams transforming to DevOps culture, solutions and platforms    - Design, build & maintain platforms, cloud infrastructure, data pipelines, CI/CD infrastructure & tools to manage various Monolithic/ Microservices based enterprise applications   - Should be well versed with identifying, defining, measuring metrics and KPI across SDLC phases through tools and demonstrate value added performance baselines and continual improvements    - Build proof of concepts, Design application using industry best practices and standards   - Skills and ability to influence and implement best practices, solutions and processes    - Ability to identify technical Debt and refactoring across Solution Stack - Applications/Infrastructure/ Tools/Process    - Should be CALM champion: Culture, Automation, Lean, Measurement    - Experience in architecting, transformation and implementation of cloud native applications, kafka based big data platforms, DevOps tools and associated technologies   - Strong understanding of ITIL principles and experience in working with Scrum/Agile teams   - Shall have some development knowledge like Web App, APIs/Microservices, etc -    - Good experience in cloud and CI/CD   - Strong experence in setup of CI/CD pipeline using -    - Version control knowledge - Git/GitLab   - CI - Jenkins, Azure DevOps, AWS CodePipeline/DevOps experience    - Configuration Management experience in Terraform/ Ansible or puppet /chef (not mandatory)   - Continuous testing - Aware of Junit, nunits   - Container technology experience - Docker, Kubernetes    - Experience in AWS or Azure or Both.. good to have Pivotal cloud foundry   - Demonstrable analytical and problem solving skills   - Strong communication, presentation, and interpersonal skills RoleDevOps Consultant / Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSolution DesignSkills highlighted with ‘‘ are preferred keyskills",['Solution Design'],"['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
Leading Client,"RoleSolution Architect,",Not Disclosed,11 - 15 years,Pune,"Job description - Masters Degree in Computer Science, Engineering, Math or Physics.   - 11-15 yrs of experience   - Technical owner for architecting the technical roadmap, architecture, design, and solutions   - Responsible for technical architecture, design and implement core algorithms, microservices, cloud native architectures and have experience in building large scale reliable platforms and applications   - Ability to drive solutions, engagement, assignments independently    - Lead the assessment, gap analysis, process improvement, and designing end state operating models for teams transforming to DevOps culture, solutions and platforms    - Design, build & maintain platforms, cloud infrastructure, data pipelines, CI/CD infrastructure & tools to manage various Monolithic/ Microservices based enterprise applications   - Should be well versed with identifying, defining, measuring metrics and KPI across SDLC phases through tools and demonstrate value added performance baselines and continual improvements    - Build proof of concepts, Design application using industry best practices and standards   - Skills and ability to influence and implement best practices, solutions and processes    - Ability to identify technical Debt and refactoring across Solution Stack Applications/Infrastructure/ Tools/Process    - Should be CALM champion: Culture, Automation, Lean, Measurement    - Experience in architecting, transformation and implementation of cloud native applications, kafka based big data platforms, DevOps tools and associated technologies   - Hands-on/coding experience on Java7/8   - Hands-on/coding experience on Spring framework(Core and Data module)   - Hands-on/coding experience on building microservices using Spring boot and Spring cloud   - Hands-on/coding experience on securing/protecting microservices using Spring OAUTH 2.0   - Candidate should have low level design experience using Java design patterns   - Working experience in building end to end high level complex/enterprise grade architectures using microservices/SOA   - Working experience in building end to end high level complex/enterprise grade deployment architectures using any of the clouds(AWA/Azure/GCP) using IaaS/Network services/components    - Strong understanding of ITIL principles and experience in working with Scrum/Agile teams   - Sound knowledge and experience with Java (OOP, Multithreading, Concurrency, Data structures etc.)    - Good understanding of J2EE technologies (Spring, Spring Boot, Hibernate, Web Services SOAP/REST etc.)    - Solid foundation in computer science fundamentals, including data structures, algorithms, database theory, and operating systems.   - Working Experience in building and deploying applications on Cloud Platforms like AWS, Azure, , etc.   - Working knowledge of building platforms using microservices, docker containers, Kubernetes, PCF, Openshift, etc.   - Developing and standardizing api patterns and frameworks.   - Experience in developing and maintaining CI/CD process for enterprise applications using tools like Github, Jenkins, Maven etc.    - Strong grasp of automation tools Jenkins, Selenium, Cucumber, SonarQube - Nice to have   - Excellent scripting knowledge (Shell, Python, Ruby, Yaml, Powershell) - Nice to have   - Demonstrable analytical and problem solving skills   - Strong communication, presentation, and interpersonal skills RoleSolution Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSolution DesignSkills highlighted with ‘‘ are preferred keyskills",['Solution Design'],"['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"We are a high impact Talent ReSearch firm based in Bengaluru.
We empower our clients with legions of extraordinary people. These clients range from the world’s most respected organizations to the most ingenious Start-ups in the Technology Space. A well-established and long-term relationship with our stakeholders helps us to capture a high pedigree of clients and candidates. Our continued rapid growth is a testament to the certainty our clients experience every day.

Founded in 2006, headquartered in Bengaluru, CareerXperts is a team of passionate and bright minds who have a solid understanding of the Global Technology Talent Hiring Ecosystem.

Our success is ascribed to the way we run our day to day operations in providing Total Recruitment Solutions. Our Recruitment Analytics Research facility enables our recruiters to perform better and thereby reduces the turnaround time to less than 48 hours on mid/senior search assignments, thus making it one of our core competencies.

Our technology strengths and new approaches to client experience management have made us an extended arm to over 600+ clients spread across globally in 55 cities.","RoleProgram Manager - Technology / IT,",Not Disclosed,12 - 18 years,Mumbai,"Job description   Roles & Responsibilities:    Your broad responsibilities will include: owning the technical engagement and ultimate success around specific implementation projects, and developing a deep expertise in cloud technologies as well as broad know-how around how applications and services are constructed using the unique cloud platform.    Technical leader in the area of cloud computing for our partners   Participate in webinars and public speaking   Author whitepapers, technical articles and blog posts   Participate in COE efforts with global systems integrators   Assist with RFP responses and architecture validation of projects   Organize technical workshops and facilitate the sharing of knowledge across the teams   Assist partners define the approach, tools, and end state architecture   Assist partners build industry & technology solutions on top of unique cloud platform   Validate partner POC architectures, deliverables, SOWs, project plans, and other assets required to successfully deliver customer engagements   Strategy & Innovation: articulate business/industry fundamentals ( e.g., ROI, CBA, TCO); understand regulations and operational excellence; familiarity with business strategy and trends in the IT industry (e.g., CI/CD, IoT, Predictive Analytics)    Technology Breadth:   demonstrate architectural best practices applied across a breadth of technologies to solve organizational problems, articulate views/roadmaps for future development, and understand the interaction between infrastructure, operations, and development    Technology Depth  : demonstrate detailed knowledge of concepts, implementation, patterns, and issues of at least one technology area; demonstrate the ability to quickly assimilate information about new technologies and business models   Influence stakeholders and ensure compliance within many technology domains that comply with technical and business requirements   Serve as a subject matter expert to guide technology strategy by convincing decision makers across multiple domains and working with architects in each domain   Know Infrastructure and application discovery tools, have worked with industry leading computer and database migration tools, have worked on data center or application migration projects.     Qualifications     BS level degree required, computer science, business or math background preferred   Advanced degrees in engineering and/or business   Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure   Experience working with/for Value Added Distributors, their Re sellers and Systems integrators and knowing the market landscape   Global Sales and Solutioning delivery experience w/ global F500 enterprise customers and partners   Use of cloud services in distributed environments with Enterprise Software   Cloud experience; cloud Certified Solutions Architect Associate Level   Broad Enterprise systems experience including SAP, Oracle, MSFT and custom Java/.NET applications.   RoleProgram Manager - Technology / IT,Industry TypeRecruitment / Staffing,Functional AreaProject & Program Management,Employment TypeFull Time, PermanentRole CategoryTechnology / ITEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceCloud computingSAPOperational excellenceConsultingCloudManager TechnologyBusiness strategyOracleRFP","['Computer science', 'Cloud computing', 'SAP', 'Operational excellence', 'Consulting', 'Cloud', 'Manager Technology', 'Business strategy', 'Oracle', 'RFP']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeRecruitment / Staffing,","Functional AreaProject & Program Management,","Employment TypeFull Time, Permanent",Role CategoryTechnology / IT
"We are a high impact Talent ReSearch firm based in Bengaluru.
We empower our clients with legions of extraordinary people. These clients range from the world’s most respected organizations to the most ingenious Start-ups in the Technology Space. A well-established and long-term relationship with our stakeholders helps us to capture a high pedigree of clients and candidates. Our continued rapid growth is a testament to the certainty our clients experience every day.

Founded in 2006, headquartered in Bengaluru, CareerXperts is a team of passionate and bright minds who have a solid understanding of the Global Technology Talent Hiring Ecosystem.

Our success is ascribed to the way we run our day to day operations in providing Total Recruitment Solutions. Our Recruitment Analytics Research facility enables our recruiters to perform better and thereby reduces the turnaround time to less than 48 hours on mid/senior search assignments, thus making it one of our core competencies.

Our technology strengths and new approaches to client experience management have made us an extended arm to over 600+ clients spread across globally in 55 cities.","RoleTechnical Architect,",Not Disclosed,7 - 12 years,Bengaluru,"Job description Cloud Application Solutions Architect - Startup Ecosystem   Cloud Application Solutions Architect - Startup Ecosystem - CareerXperts Consulting Cloud Application Solutions Architect - Startup Ecosystem    You will scale customer success with partners to strategically engage with a named list of Providers to help them build and sustain capable practices focused on Cloud. This person should understand Cloud Native Applications in particular AWS and have competencies as such. In this role, you have the ability to build actionable relationships with the partner s technical leaders.   The PSA will be instrumental in a partner s successful services development and execution with their customers and will maintain a cadence for communication on the progress, execution and escalation of any issues to management and relevant partners. You will be a key resource in the Partner Engagement.     7+ years of infrastructure architecture experience with significant depth around crafting, implementing, and leading critical multi - functional integration projects       Extensive architectural skills dealing with infrastructure solutions such as systems management, business continuity, advanced networking, storage architectures, cloud solutions, and programming experience   Recent experience with design, implementation & support of IaaS, PaaS and/or SaaS, Native Cloud Architectures.   Experienced and credible C - suite advisor with strong customer/partner relationship - building skills   Demonstrated experience in evangelizing new product and solution technologies at or before market introduction   Ability to guide customers/partners on solution competencies and organizational requirements to develop a datacenter or cloud practice to deliver professional services solutions   Demonstrated ability to provide impactful knowledge exchange through mentoring, workshops, partner engagements and official training forums   Possess technical community leadership in capturing, developing, and sharing IP with the community at large as well as specific individuals to raise competencies   Demonstrated critical thinking and advanced analytical skills and qualities   Experience and deep understanding of industry capabilities and trends within area of focus   Consistent track record of selling solutions including consulting services   Ability to see & present the big picture through strong listening & question - based selling skills   Responsibilities    Engage with the partner to build and execute a practice activation plan, accelerate accreditations and certifications and track deployments.   Assist partners with building their own portfolio of services offerings   Work closely with technical teams and regional sales leaders to execute technical enablement plans.   Communicate value proposition in terms of partners and customers business needs.   Leverage strong knowledge of designing end - to - end solutions approaches encompassing products, services, processes, etc. based on customers requirements.    You will work in a very collaborative and inclusive work environment where individual s strong on aptitude and attitude will have an opportunity to grow their professional careers through working with some of the most advanced technology and talented developers in the business. If you want to work in a place like this, we should talk. RoleTechnical Architect,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsAnalytical skillsNetworkingRelationship buildingPAASConsultingCloudRegional salesprofessional servicesBusiness continuitySolution Architect","['Analytical skills', 'Networking', 'Relationship building', 'PAAS', 'Consulting', 'Cloud', 'Regional sales', 'professional services', 'Business continuity', 'Solution Architect']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleTechnical Architect,",Not Disclosed,7 - 12 years,Kolkata,"Job descriptionOBJECTIVE OF THE ROLE :Find technology solutions to business problems that meet business requirements and assist with governance processKEY RESPONSIBILITIES :- Analyse current technologies used within the company and determine ways to improve- Examine existing systems and programs to identify areas for improvement and integration.- Identify areas where implementation may require more solutions to be successful.- Review proposals and estimates from vendors and determine whether they fit into existing budgetary and time restrictions- Design and implementation of secure cloud architectures and designs that meet stakeholder's requirements.- Perform architecture reviews of cloud migration adoption initiatives, including SaaS, hand cloud native architectures.- Account for possible project challenges on constraints including application performance security risks, time, resources and scope- Work with vendors to develop and implement specific aspects of the software solution.- Work closely with project management teams to successfully monitor progress of initiatives- Define clear goals for all aspects of a project and manage their proper executionINTERACTIONS :Internal Relations : Vertical Heads and Project teamsExternal Relations : Project Manager,Vendor PartnersREQUIRED QUALIFICATION AND SKILLS :Educational Qualifications :- Graduation (BE B.Tech B.Sc (IT))- Post - Graduation (MBA MCA) - OptionalWork Experience :- Project management and leadership skills are essential- Master's degree in Computer Science or Software Engineering preferredCertifications : AWS , DevOpsOther skills :1.Behavioral : - Good AnalyticalProblem Solving skills- Good Communication and Inter personal skillsSkills :- Current understanding of best practices regarding system security measures- Experience in software engineering and design architecture- 5+ years design & implementation experience on complex, large scale distributed applications- Systems design experience, with the ability to architect or explain complex systems interactions including data flows, common interfaces, APIs and other methods- Broad architecture skills, covering application, infrastructure, data and integration- Experience developing IT and cloud infrastructure- Sound understanding and experience of contemporary paradigms, such as Cloud, DevOps and Agile- Demonstrated ability to adapt to new technologies and learn quicklyRoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any Specialization, B.Sc in Any SpecializationPG :MCM in Computers and Management, MS/M.Sc(Science) in Computers, MCA in Computers, M.Tech in Computers, MBA/PGDM in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsCloudApplication DesigningApplications ImplementationDevOpsSaaSCloud MigrationAPISystem IntegrationCloud ArchitectCloud InfrastructureSolution ArchitectIT InfrastructureSkills highlighted with ‘‘ are preferred keyskills","['Cloud', 'Application Designing', 'Applications Implementation', 'DevOps', 'SaaS', 'Cloud Migration', 'API', 'System Integration', 'Cloud Architect', 'Cloud Infrastructure', 'Solution Architect', 'IT Infrastructure']","['UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization', 'PG :MCM in Computers and Management, MS/M.Sc(Science) in Computers, MCA in Computers, M.Tech in Computers, MBA/PGDM in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"insightsoftware is a leading provider of reporting, analytics, and performance management solutions. Over 30,000 organizations worldwide rely on us to support business needs in the areas of accounting, finance, operations, supply chain, tax, budgeting, planning, HR, and disclosure management. We enable the Office of the CFO to connect to and make sense of their data in real time so they can proactively drive greater financial intelligence across their organization. Our best-in-class solutions provide customers with increased productivity, visibility, accuracy, and compliance.","RoleSolution Architect,",Not Disclosed,12 - 17 years,Bangalore/Bengaluru,"Job description         Understands the current and Target State Architecture, Future Vision and migration path for the Angles for SAP (A4S) product and overall Ecosystem      Extensive project experience migrating from legacy systems and deploying complex cloud-based solutions      Interfaces with Product and business Team to determine the recommended cloud strategy      Effectively address information governance and security challenges associated with current running system on AWS cloud      Demonstrate deep subject matter leadership of cloud architecture and implementation features (OS, multi-tenancy, virtualization, orchestration, elastic scalability)      Identify recurring problems/bottlenecks in current A4S implementations and build the tools and processes to prevent problems from recurring.      Collaborate with Engineering, DevOps, and Security teams to ensure well-architected cloud solutions.      Recommend cost optimizations and ensure cloud resources are operating as efficiently as possible.      Deep dive into reliability issues and partner with developers to produce and roll out fixes with long-term solutions where applicable.      Act as the coach and mentor to team members, including mentoring on cloud standards, frameworks, etc., as well as will be a vital enabler of the Team s cultural change for cloud adoption.      Lead the definition and development of cloud reference architecture and management systems       Qualifications      Qualifications:     Expert in big data technologies on AWS / Azure    Experience with ETL platform like CloverDx (preferred) / ADF / Glue / Ab Initio/ Informatica / Talend / Airflow     Experience in Back-end data integration and architecture (    preferably SAP    ) including dimensional data modeling, database design, data warehousing, ETL development, and performance tuning.      Experience in Front-end reporting and analytics platforms including OLAP cube design, tabular data modeling, Performance Point, Power Pivot, Power View, Power BI Report and Dashboard development.      Extremely strong SQL skills and Query performance tunning     Atleast 12+ years of experience in a data engineering, metadata management, database modelling and development role especially using      AWS Expertise:    The architect should have experience in architecting large scale analytics solutions using native services such on AWS such as    AWS Redshift (must)    , AWS RDS Service, AWS S3, AWS Data Lake, AWS Glue, AWS Workflow, Lambda, etc.   RoleSolution Architect,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPerformance tuningSAPData modelingDatabase designWorkflowOLAPInformaticaVirtualizationAnalyticsSQL","['Performance tuning', 'SAP', 'Data modeling', 'Database design', 'Workflow', 'OLAP', 'Informatica', 'Virtualization', 'Analytics', 'SQL']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeSoftware Product,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
