company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"TALENT ZONE Consultants is a unique and flourishing Human Resource Consultancy in Bangalore, Karnataka. This company is known for offering best recruitment solutions possible, to both IT and Non-IT industries in all over the world. We host a wide spectrum of Placement Services namely HR Services, Campus Placement, Outsourcing Services, and Manpower Recruitment Services. TALENT ZONE Consultants has gained a considerable network of contacts and a database of quality Candidates, which is generated through networking, referrals and advertising across a wide range of media. Our primary goal is to assist our clients with building the strongest management teams possible. To that end, we endeavor to thoroughly understand our clients'? staffing objectives and profile the skills and background required for a job. We effectively understand our client’s manpower requirements and have been successfully delivering to their ongoing demands that are best suited to our clients'? needs.","RoleTechnical Support - Voice / Blended,",Not Disclosed,0 - 2 years,Bengaluru,"Job description  Computer Hardware Engineers at Bangalore Location.   Diploma/BE computer science freshers or experience   Candidates will be deputed at client location in Bangalore as Desktop Resident Engineer.     RoleTechnical Support - Voice / Blended,Industry TypeRecruitment / Staffing,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :B.Tech/B.E. in Production/Industrial, Diploma in MechanicalPG :Post Graduation Not RequiredKey SkillsComputer scienceComputer hardware","['Computer science', 'Computer hardware']","['UG :B.Tech/B.E. in Production/Industrial, Diploma in Mechanical', 'PG :Post Graduation Not Required']","Industry TypeRecruitment / Staffing,","Functional AreaCustomer Success, Service & Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice / Blended
"TALENT ZONE Consultants is a unique and flourishing Human Resource Consultancy in Bangalore, Karnataka. This company is known for offering best recruitment solutions possible, to both IT and Non-IT industries in all over the world. We host a wide spectrum of Placement Services namely HR Services, Campus Placement, Outsourcing Services, and Manpower Recruitment Services. TALENT ZONE Consultants has gained a considerable network of contacts and a database of quality Candidates, which is generated through networking, referrals and advertising across a wide range of media. Our primary goal is to assist our clients with building the strongest management teams possible. To that end, we endeavor to thoroughly understand our clients'? staffing objectives and profile the skills and background required for a job. We effectively understand our client’s manpower requirements and have been successfully delivering to their ongoing demands that are best suited to our clients'? needs.","RoleTechnical Support - Voice / Blended,",Not Disclosed,1 - 5 years,Bengaluru,"Job descriptionComputer Hardware & Networking Engineer for field work with 2 wheeler. 

-

- Responsibilities and Duties

- Experience in handling desktop,  laptop & network. Installation of hardware 

- & software,  troubleshooting,  maintenance,  configuration,  backup,  server 

- admin,  technical supportCandidate should have experience in installation 

- or configuring Desktops/ Laptop. Should have excellent knowledge in 

- troubleshooting of Desktop/ Laptop,  Printer,  hardware and software. Should 

- have excellent Communication skills in English Should have good knowledge 

- on hardware & networking Looking for candidates,  who can join 

- immediately. Should have 2 wheeler

- Qualifications and Skills

- Strong fundamental Knowledge of Desktops/ Laptops/ OS/ NetworkingGood 

- knowledge of Hardware FundamentalsRoleTechnical Support - Voice / Blended,Industry TypeRecruitment / Staffing,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Diploma in Mechanical, Any GraduatePG :Post Graduation Not RequiredKey SkillsHardware networkingNetwork installationComputer hardwareSoftware troubleshootingServer Administrator","['Hardware networking', 'Network installation', 'Computer hardware', 'Software troubleshooting', 'Server Administrator']","['UG :Diploma in Mechanical, Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeRecruitment / Staffing,","Functional AreaCustomer Success, Service & Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice / Blended
"Industry Distributors, Wholesale (Distributors/ Wholesale Traders - IT Products)","RoleHardware Architect,",Not Disclosed,2 - 7 years,Bengaluru,"Job description  Position: Computer Hardware Engineer  Qualification : Graduate & Post- Graduate  Experience   Minimum 2 Years of experience. Extensive experience in Computer Assembling and Trouble shooting. Demonstrated Small- Scale successful LAN implementation. Experience in installations,  upgrades and backups of software and hardware applications. Experience in Internet security.  Description  We are looking for Computer Hardware Engineers with Diploma Certification. Other certifications might include MCSE,  MCP and CCNA with experience in some of the following; Windows 2000 Servers,  Windows 95/ 98/ NT/ 2000/ XP and WANs will be added advantage. You will have the opportunity to work with a wide variety of Hardware products and technologies while advancing your career with additional training and certifications. Experience required in Hardware,  software and maintenance on PCs,  laptops,  laser printers and peripherals.  To Apply  Send in your resume through email mentioning the post applied for in the subject line to jobs@winmaxindia.RoleHardware Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey Skillsaudio visualProject CoordinatorComputer hardwareInternet securityLANServiceWindowsCCNAMCSE","['audio visual', 'Project Coordinator', 'Computer hardware', 'Internet security', 'LAN', 'Service', 'Windows', 'CCNA', 'MCSE']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
Unidad Techno Labs (p) Ltd (formerly Unidad Trading (p) Ltd) is Founded By a Consortium of Veteran Business People in and Outside India. the Prime Objective of the Organization is to Manufacture and Sell Software Embedded Electronic,"RoleHardware Installation & Maintenance,",Not Disclosed,1 - 4 years,Bangalore/Bengaluru,"Job description  We are looking for a knowledgeable Hardware and Network Engineer to work independently   We are looking for a candidate with good technical knowledge and the ability to communicate effectively understanding complex problems and explain their solution.   Should be supporting the team and collaborating to service improvements.     Mandatory Technical Skills:     Very good Understanding of Computer Hardware and troubleshooting of Laptop/Desktop, Network Connectivity, CCTV.     Experience with Routers, switches and security devices     Ideal candidate should have good experience in Windows, Linux Installation, software installation and troubleshooting     Good Experience in managing Firewalls.     Troubleshooting Printers.     IP Addressing & Sub netting.     WAN MPLS, Internet Lease Lines.     Troubleshooting to resolve network related issues.     Monitor performance and ensure system availability and reliability     Strong research, investigation and evaluation skills, with a structured approach to problem solving     Effective skills and experience analyzing technology behavior and issue resolution     Liaise with TAC, vendors and other IT personnel for problem resolution-ability to work and effectively prioritize in a highly dynamic work environment that includes a global focus Inventory and asset management of networking devices       Required Qualification:   MCSE, CCNA or other certificate will be added advantage.    Working experience with network-level troubleshooting/understanding of network switching     Good Experience in system administration of Microsoft will be advantage.     Requires the disposition and ability to adapt to ongoing changes and the adoption of new technologies in a rapidly evolving IT environment.     Familiarity with service management frameworks strongly desired.     I.T Skills:    LAPTOP-DESKTOP INSTALLATION /FIREWALL/SWITCH/ CCTV/ LAN/WAN/ ANTIVIRUS MANAGEMENT    Education Qualification:   Diploma in CSE/IT/IS/ECE/EEE or B.Sc. (CS/EC/IT/IS)     RoleHardware Installation & Maintenance,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer hardwareWANLANWindowsCCNATroubleshootingMCSEMPLSFirewallSystem administration","['Computer hardware', 'WAN', 'LAN', 'Windows', 'CCNA', 'Troubleshooting', 'MCSE', 'MPLS', 'Firewall', 'System administration']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
" The New Indian Express Group is the one of the oldest and largest media houses in India founded by Late Shri Ramnath Goenka. The company publishes dailies The New Indian Express, Dinamani, The New Sunday Express, The Morning Standard, The Sunday Standard and weeklies Malayalam Vaarika, The Morning Standard, Indulge and its group sites are ww.newindianexpress.com ,www.dinamani.com,www.samakalikamalayalam.com,www.malayalamvaarika.com,www.kannadaprabha.com,www.edexlive.com, www.indulgexpress.com","RoleHardware - Other,","₹ 2,00,000 - 3,50,000 P.A. ",0 - 5 years,Bhubaneswar,"Job description Skillset Windows, Linux      , Hardware & Networking, Network Security.Working Knowledge and      maintenance of web servers in Linux operating system.Maintaining and      administering computer hardware ,network, systems software and      applications software.Performing disaster      recovery operations and data backups when required.Protecting data,      software, and hardware by coordinating, planning, and implementing network      security measures.Troubleshooting,      diagnosing, and resolving hardware, software, and other network and system      problems.Replacing faulty network      & hardware components when required.Virus Control &      Recovery Procedures, Firewall Management, positioning of appropriate      software and monitoring.Coordinating computer      network access and use.Providing support for      user (Editorial, Marketing & Administration) departments to enable      that there is no delay in operations.RoleHardware - Other,Industry TypeHardware & Networking,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Tech/B.E. in Electronics/Telecommunication, ComputersKey SkillsSkillset WindowsLinuxNetwork Securitycomputer hardwareHardware & NetworkingSkills highlighted with ‘‘ are preferred keyskills","['Skillset Windows', 'Linux', 'Network Security', 'computer hardware', 'Hardware & Networking']","['UG :B.Tech/B.E. in Electronics/Telecommunication, Computers']","Industry TypeHardware & Networking,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
CM Architecture  Designing,"RoleHead - Tech Support,","₹ 6,00,000 - 12,00,000 P.A. ",0 - 5 years,Hyderabad/Secunderabad,"Job descriptionTechnical bent of mind to isolate a problem quickly.Basic troubleshooting of desktop/laptop and gadgets.Email configuration.Customer service approach.Excellent verbal and written communication skills.Required Candidate profileGood communication skills-both written and verbal.A positive attitude toward your job in general.Coming to work on timeTo know more about this job email us your Resume - cmdesignings@gmail.comPerks and benefitsHealth Insurance,Retirement Benefits,Sick LeavesRoleHead - Tech Support,Industry TypeArchitecture / Interior Design,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT SupportEducationUG :Graduation Not RequiredKey SkillsTechnical Support L1technical supportTechnical Support EngineerTechnical Analysissystem adminLaptopSAPSupportconfigurationnetworkingwindowssystem administrationdesktopTechnicalUklinuxcomputer hardwaredesktop supporttroubleshootingccnahardwareSkills highlighted with ‘‘ are preferred keyskills","['Technical Support L1', 'technical support', 'Technical Support Engineer', 'Technical Analysis', 'system admin', 'Laptop', 'SAP', 'Support', 'configuration', 'networking', 'windows', 'system administration', 'desktop', 'Technical', 'Uk', 'linux', 'computer hardware', 'desktop support', 'troubleshooting', 'ccna', 'hardware']",['UG :Graduation Not Required'],"Industry TypeArchitecture / Interior Design,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Support
 The GLOBAL ZONE HR SERVICES believes in enduring long-term success against short term fame and therefore we are your reliable partners on the recruitment front! ,"RoleHardware Engineering Manager,","₹ 2,00,000 - 6,50,000 P.A. ",0 - 5 years,Mumbai,"Job descriptionRoles and Responsibilities: Installation and configuration of WAN , LANTake care of Computer LabsTo identify , reproduce & resolveNetworking problems of internal usersKnowledge of web hostingExperience in a Cisco environment with various network protocolsInstall , maintain and troubleshoot network equipmentMaintain network routingFix any hardware or software issues.Installation of Software, printers, outlook, web browsers, .Perform regular maintenance checks.Keeping a record of all IT equipment.To visit of the sites for routine checkup or as per need.Desired Candidate Profile: knowledge of CC TV , NVR GPS , Router , lan , switches , Trouble shooting and other related IT work.The Candidate should be dynamic and ready to accept the responsibility for the field maintenance and installation Note: Diploma holder can also apply   Mail @ reception.globalzonehr@gmail.com or WhatsApp CV @ 7303-444-101 (only CV submit)RoleHardware Engineering Manager,Industry TypeHardware & Networking,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :Any GraduatePG :Any PostgraduateKey SkillsNetworkingTroubleshootingEngineeringHardwareSoftwareLaptopServerWANLanguagesNetwork SupportWindowsCCNArouterHubComputer HardwareVPNlanCameraRepairTestingInstallationConfiguringMaintenanceITSystem SupportSwitchingCablesOperating SystemsFirewallDesktopSkills highlighted with ‘‘ are preferred keyskills","['Networking', 'Troubleshooting', 'Engineering', 'Hardware', 'Software', 'Laptop', 'Server', 'WAN', 'Languages', 'Network Support', 'Windows', 'CCNA', 'router', 'Hub', 'Computer Hardware', 'VPN', 'lan', 'Camera', 'Repair', 'Testing', 'Installation', 'Configuring', 'Maintenance', 'IT', 'System Support', 'Switching', 'Cables', 'Operating Systems', 'Firewall', 'Desktop']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
"DXC Technology is an American multinational information technology services and consulting company headquartered in Ashburn, Virginia.","RoleIT Support - Other,","₹ 2,50,000 - 3,00,000 P.A. ",0 - 1 years,Bangalore/Bengaluru,"Job descriptionROLE: Technical Support Engineer L1Profile:Troubleshooting Hardware / Networking/OS related queries of our global customers Over Phone which involves working in different time zones Take calls from Global customers and initiate the right response to them, positively and professionallyProvide remote solutions to problems, probe problems and explain the solution in such a way that non-technical users understandWilling to work in night shifts; Excellent written & spoken communication skillsResponsibilitiesAnswer contacts promptly and professionallyLog/Validate all contacts Call Handling DatabaseResolve a high percentage of customer problems using the relevant tools and systemsManage end to end all calls logged, providing regular updates to customers on call statusComplete follow-on actions as appropriateInvoke Escalation Procedures within defined time framesAdhere to Policies & ProceduresWork to achieve individual and team goalsProtect confidential and sensitive information and materialsObserve strict compliance to licensing, copyright and trademark legislationAccomplish other duties as requiredHigh Technical skill sets & Hands on technical support experience Super user of Microsoft OfficeAdherence to policy and procedures (compliance)Ability to multi-task and prioritizeAbility to manage commitments to customer, manager etcAbility to diagnose problems and take corrective actionAbility to assess progress against SLA and intervene as necessaryAbility to work with individuals to review measures and to coach towards meeting SLAsAbility to escalate as appropriateRoleIT Support - Other,Industry TypeIT Services & Consulting,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT SupportEducationUG :Any GraduateKey Skillstechnical supporthardware networkingvoice supportTroubleshooting Skillscommunication skillsSkills highlighted with ‘‘ are preferred keyskills","['technical support', 'hardware networking', 'voice support', 'Troubleshooting Skills', 'communication skills']",['UG :Any Graduate'],"Industry TypeIT Services & Consulting,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Support
Technical / Customer Support,"RoleTechnical Support - Voice / Blended,","₹ 50,000 - 3,00,000 P.A. ",0 - 5 years,Pune,"Job descriptionMega Drive in top MNC'sDesignation: Technical Support / Customer SupportGraduation: Any Graduate / Under graduate Salary Upto 6lpaLocation: Bangalore / PuneFlexible with rotational shiftsFor more info contact: HR Simran 9108308619  (Whatsapp)RoleTechnical Support - Voice / Blended,Industry TypeBPO / Call Centre,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Graduation Not RequiredKey SkillsbcaCustomer Servicegood communication skillsNetworkingb.techUS ShiftVoice ProcessTroubleshootingaustralian shiftCustomer SupportComputer HardwareInternational BPOInternational Voice ProcessSkills highlighted with ‘‘ are preferred keyskills","['bca', 'Customer Service', 'good communication skills', 'Networking', 'b.tech', 'US Shift', 'Voice Process', 'Troubleshooting', 'australian shift', 'Customer Support', 'Computer Hardware', 'International BPO', 'International Voice Process']",['UG :Graduation Not Required'],"Industry TypeBPO / Call Centre,","Functional AreaCustomer Success, Service & Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice / Blended
Nanigans arms marketing teams to drive incremental revenue with the most powerful and transparent cross-channel buying platform. Sophisticated commerce advertisers currently optimize more than $700M in annual ad spend through the Nanigans platform.,"RoleNetwork (Support) Engineer,",Not Disclosed,0 - 3 years,Bangalore/Bengaluru,"Job description   The Technical Support Engineer is primarily responsible for delivering high quality experience to end users using excellent technical and communication skills. As a Sprinklr Technical Support Engineer, you will interact directly with our customers to resolve support issues. Support Engineers will be required to be on-call on a regular basis throughout the year 24/7 rotational.       What Are Your Responsibilities      Troubleshoot issues and provide efficient and prompt resolution to customers within timelines.     Ensure quality resolution to avoid escalations from customers and reopening of issue tickets.     Escalate critical issues to cross functional teams to ensure quick resolution and coordinate with the product development team on bug fixes.     Assume responsibility for developing detailed knowledge about specific products.     Ensure internal knowledge reference pages are updated.        Who You Are & What Makes You Qualified      Graduation from Tier-1 Engineering College.     Strong analytical and problem-solving skills.     Excellent communication skills, both written and verbal.     A drive to dig into the details of a system or process to solve customer problems.     Zeal to learn and constantly upgrade skills in a fast changing work environment.     Ability to think on your feet and remain calm under pressure.     Self-motivated, takes initiative, assumes ownership.     Ability to work in a highly collaborative and fast-paced environment.     Strong teamwork - willingness and ability to get help from team members when required, and the good judgment to know when to seek help.        Bonus Points      Experience coding or scripting in one or more of JavaScript, Python, Java, Node.js.     Understanding of data storage technologies. Ex- MongoDB, MySQL, etc.    RoleNetwork (Support) Engineer,Industry TypeAdvertising & Marketing,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :Any GraduatePG :Any PostgraduateKey SkillsCareer developmentCodingAnalyticalMySQLCustomer experience managementWellnessdigital transformationEnterprise softwareTechnical supportPython","['Career development', 'Coding', 'Analytical', 'MySQL', 'Customer experience management', 'Wellness', 'digital transformation', 'Enterprise software', 'Technical support', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeAdvertising & Marketing,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
