company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com","RoleData Scientist,",Not Disclosed,6 - 8 years,Kolkata,"Job descriptionThis role will be a part of Survey Solutions and Analytics team. The Analytics and Modeling Specialist will be working on developing advanced statistical models, machine learning methods and high-end solutions based on various datasets, helping Accenture improve various business outcome indicators.    KEY RESPONSIBILITIES (BULLETS)  Conceptualize, develop, test and implement various advanced Statistical models on business data.  Integrate the outcomes from various analytics techniques to provide insights beyond the obvious, which helps create value for Accenture and its clients.  Leverage a combination of multiple approaches for project execution, including internal assets, third-party and open source solutions to create unique methods of delivery.  Collaborate with stakeholders, subject matter experts, client teams and other functional teams globally to understand business problems and conceptualize, design and execute solutions using various data sources and advanced analytics approach.  RoleData Scientist,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsBfsiConsultingMachine learningOpen sourcePythonBusiness processMarket researchOutsourcingdata visualizationSkills highlighted with ‘‘ are preferred keyskills","['Bfsi', 'Consulting', 'Machine learning', 'Open source', 'Python', 'Business process', 'Market research', 'Outsourcing', 'data visualization']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"CitiusTech is a specialist provider of healthcare technology services and solutions to healthcare technology companies, providers, payers and life sciences organizations. With over 6000+ professionals worldwide, CitiusTech enables healthcare organizations to drive clinical value chain excellence - across integration & interoperability, data management (EDW, Big Data), performance management (BI / analytics), predictive analytics & data science and digital engagement (mobile, IoT).CitiusTech helps customers accelerate innovation in healthcare through specialized solutions, platforms, proficiencies and accelerators. With cutting-edge technology, world-class service quality and a global resource base, CitiusTech consistently delivers best-in-class solutions and an unmatched cost advantage to healthcare organizations worldwide. CitiusTech has been awarded the Best Companies to Work Award for 10 years in a row by the Great Place to Work Institute - in recognition of its ability to recruit, groom and retain exceptional healthcare technology professionals. CitiusTech has also been featured in Healthcare Informatics 100 list for 3 consecutive years (2016 2018) It is also a recipient of the prestigious 2015 Gold Stevie Award at the 13th annual American Business Awards in the category of Most Innovative Tech Company of the Year ","RoleData Scientist,",Not Disclosed,5 - 9 years,Mumbai,"Job descriptionRoles and Responsibilities  As an Assistant Manager  Data Science, you will be a part of an Agile team to build healthcare applications and implement new features while adhering to the best coding development standardsYour key responsibilities include:Develop advanced algorithms that solve problems of      large dimensionality in a computationally efficient and statistically      effective mannerImplement statistical and Data Mining techniques e.g.      Hypothesis Testing, Machine Learning, and Retrieval Processes on a large      amount of data to identify trends, patterns, and other relevant      informationCollaborate with clients and other stakeholders to      effectively integrate and communicate analysis findingWork with OMICs, image, med device and RWE data to      power various use cases in the areas of digital trials and personalized      medicineEvaluate emerging datasets and technologies that may      contribute to our existing analytical platformsDesired Candidate Profile Post-Graduation in Statistics/Mathematics Mandatory SkillsData ScienceNLPAdvanced Analytical conceptsRegression AnalysisDecision TreeTime Series AnalysisRandom Forest Desired SkillsPythonR and R ShinyDatabasesData ModellingRoleData Scientist,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationPG :MS/M.Sc(Science) in Any Specialization, Any Postgraduate, M.Tech in Any Specialization, M.Pharma in Any SpecializationKey SkillsData ScienceNLPMachine LearningDeep LearningPythonRModel BuildingImage AnalysisSkills highlighted with ‘‘ are preferred keyskills","['Data Science', 'NLP', 'Machine Learning', 'Deep Learning', 'Python', 'R', 'Model Building', 'Image Analysis']","['PG :MS/M.Sc(Science) in Any Specialization, Any Postgraduate, M.Tech in Any Specialization, M.Pharma in Any Specialization']","Industry TypeIT Services & Consulting,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"Wipro Ltd (NYSE:WIT) is a global information technology, consulting and outsourcing company with 170,000+ workforce serving clients in 175+ cities across 6 continents. Wipro helps customers do business better by leveraging our industry-wide experience, deep technology expertise, comprehensive portfolio of services and vertically aligned business model. Our 55+ dedicated emerging technologies €˜Centers of Excellence€™ enable us to harness the latest technology for delivering business capability to our clients.Wipro is globally recognized for its innovative approach towards delivering business value and its commitment to sustainability. Wipro champions optimized utilization of natural resources, capital and talent. Today we are a trusted partner of choice for global businesses looking to €˜differentiate at the front€™ and €˜standardize at the core€™ through technology interventions.In today€™s world, organizations will have to rapidly reengineer themselves and be more responsive to changing customer needs. Wipro is well positioned to be a partner and co-innovator to businesses in their transformation journey, identify new growth opportunities and facilitate their foray into new sectors and markets.At Wipro, integrity is of utmost importance.We receive a number of complaints from candidates who are offered employment at Wipro that require payment of cash deposit into specified bank accounts. These are fake job offers. All Wipro mails to candidates have a clear warning against payment of cash for securing jobs at Wipro. At Wipro, Integrity is of utmost importance and Wipro does not entertain payment of any kind from candidates for employment.","RoleData Scientist,",Not Disclosed,6 - 11 years,Pune,"Job descriptionRoles and Responsibilities  Job Description / Roles & Responsibilities   (in Detail) NLP, Deep Learning (sequence models), Python,   • Document (pdfs/word) processing, Document digitization   • Hands on experience with RapidMiner. Should have completed 3-4 projects   using RapidMiner   • Hands on knowledge on Python and NLP.   • Experience in working with libraries like NumPy, Pandas, SpaCy.   • Experience with Deep learning architectures like LSTM, BERT, CNN etc.   • Experience building web application using Python - Python Flask, Django   • Should be able to write rules in python and train and evaluate models using   NLP   • Working knowledge on messaging platforms like Apache Kafka/Rabbit MQ/Azure   Event Hub is desirable   • Working knowledge on .doc/.docx/pdf type of documents is desirable   • Education:    Graduation or Masters in Operations Research, Computer Science Desired Candidate Profile Mandatory SkillsNLP, RapidMiner, Deep Learning (sequence models),   Python, Preferred SkillsApache Kafka/Rabbit MQ/Azure Event Hub, Document   (pdfs/word) processingPerks and Benefits RoleData Scientist,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :B.Tech/B.E. in Any SpecializationKey SkillsRapidMinerNLPDeep Learning PythonSkills highlighted with ‘‘ are preferred keyskills","['RapidMiner', 'NLP', 'Deep Learning Python']",['UG :B.Tech/B.E. in Any Specialization'],"Industry TypeIT Services & Consulting,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"Headquartered in Troy, Michigan, USA, with offices throughout North America, Europe and Asia, Altair Engineering is a leading global product design, consulting and commercial software product company. Altair India is a fully owned subsidiary of Altair Engineering-USA. Altair India's activities encompass (1) Software development for our MCAE suite of products - HyperWorks (2) Software development for our Grid computing framework PBS-Pro (3) CAE consulting projects for various customers worldwide (4) International technical support of our software products (5) Marketing, sales and support of our MCAE and Grid computing solutions in India and ASEAN Headquartered in Bangalore, Altair-India provides you a refreshing, open and rewarding work environment, where you challenge yourself constantly, discover your potential and enrich your growth. At Altair we offer you a career full of possibilities and progress. Altair is looking for young, energetic and ambitious professionals, with a desire to excel, who like to think 'out of the box' and who are driven to overcome challenges.","RoleData Scientist,",Not Disclosed,2 - 7 years,Hyderabad/Secunderabad,"Job descriptionThe candidate must have the unique capability to create, design, and build systems for collecting, storing, and analyzing data at scale & implement methods to improve data reliability and quality, which would be used to transform data into knowledge. They should have a good verse of different data mining techniques, data exploration, data modelling, training & Validation, and model deployment. Experience Level: 2-10 years Technical Skills Required Programming language - Python, SQL, Rapid Miner, Java(Optional), R(optional), SAS(optional) Data Science & Machine Learning Knowledge Statistical Modelling knowledgeStrong Knowledge of Data modelling, data mining, and segmentation techniques MLOps / Model Management and Deployment in Cloud or On-Premises. • Worked on end-to-end implementation of Data Science project in Cloud as well as on premise. • Knowledge in Apache Spark / Apache Kafka for big data processing.Knowledge of Time Series Forecasting, NLP, Computer Vision, Transfer Learning, and Reinforcement Learning is a plus • Experience with using cloud services (AWS/ Google/ Azure) and cloud concepts (IaaS, PaaS, and SaaS)Good understanding of databases core concepts and familiarity with SQL and NoSQL databases (e.g., MySQL, MongoDB)Awareness of data warehouse and ETL concepts.Working with any of these data science tools: SAS, DataIku, Azure ML Studio, Amazon Sage Maker, DataRobot, KNIME Analytics will have added advantage.Comfortable as a single contributor as well as a team playerStrong problem solving and analytical skillsNature of work:Work on Data Analytics professional service projects, POCs based on business requirements.Provide data preparation, data modelling and deployment solution with Altair portfolioBuild applications that collect, manage, and convert raw data into usable information for data modelling, data visualization and real time analytics.RoleData Scientist,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduateKey SkillsPythonData ScienceJavaMLOpsNLPData ScientistData ModelingR ProgramSQLSkills highlighted with ‘‘ are preferred keyskills","['Python', 'Data Science', 'Java', 'MLOps', 'NLP', 'Data Scientist', 'Data Modeling', 'R Program', 'SQL']",['UG :Any Graduate'],"Industry TypeIT Services & Consulting,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholdersempowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.","RoleData Scientist,",Not Disclosed,5 - 10 years,Mumbai,"Job description     In this role, you ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations across a variety of industries    As the field of advanced analytics is rapidly evolving, the SDS is responsible for staying current on leading-edge business applications, tools and approaches, proactively working with the Analytics Leadership to enhance offerings that deliver competitive advantage to BCG   Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative   You will also get the chance to travel we have clients across the globe Make sure your passport is ready to go!          What Youll Bring (Experience Qualifications)      Candidate should hold Bachelor s Degree in Technology/ Economics/ Statistics from Tier 1 school OR Master s degree in Management/ Economics/ Statistics from Tier 1 schools with 5+ years of relevant industry work experience providing advanced analytics solutions strongly preferred.       Strong record of extracurricular activity, professional accomplishment, and leadership        Additional experience in core analytic methods such as predictive modeling, customer segmentation/clustering, network analysis, supply chain optimization, etc.        Fluency in at least one scripting language (e.g. Python, R).        Fluency in English and local office language is required.     RoleData Scientist,Industry TypeManagement Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSupply chainadvanced analyticsDue diligenceNetwork analysisConsultingManagement consultingMachine learningPredictive modelingBusiness strategyPrivate equity","['Supply chain', 'advanced analytics', 'Due diligence', 'Network analysis', 'Consulting', 'Management consulting', 'Machine learning', 'Predictive modeling', 'Business strategy', 'Private equity']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeManagement Consulting,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"Bizongo was founded in 2015 by three IIT graduates Aniket Deb, Sachin Agrawal, and Ankit Tomar, to digitally   transform the fragmented and unorganised yet unique and ubiquitousB2B segment of customised goods.  “Today, Bizongo is India’s largest tech-enabled B2B  E-commerce & supply chain platform for packaging, apparels & other customised goods.Itworks as an operating   system for businesses to digitally transform their vendor management &supply chain.”   The company focuses upon packaging, textiles, apparel & other contract manufacturing goods as its product portfolio   and has a network of 1500+ curated manufacturers across these categories.Through its proprietary digitalplatforms,   such as ProcureLive, Partner Hub,and Artwork Flow, Bizongo offers Digital Vendor Management, Supply Chain   Automation & Supply Chain Financ-ing as key services to its enterprise customers. The B2B e-commerceplatform   services more than 125 enterprise customers in fashion & lifestyle, pharmaceuticals, consumer discretionary, consumer   staples,home & personal care,and e-commerce.","RoleData Scientist,",Not Disclosed,3 - 6 years,India,"Job descriptionRoles and Responsibilities What you will work on:- Build business analytics solutions to serve various product lines within Bizongo- Work with varied data ranging from e-commerce data, financial data, user data, structured and unstructured documents, sensor data- Work and drive cutting-edge new initiatives like AI and blockchainDesired Candidate Profile You’ll be a great fit for Bizongo if you:- Have experience with working and deploying state-of-the-art analytics solutions aligned with business goals and designed to drive business impact- Have experience working in Data Analytics & ML- Can write high-quality, robust, maintainable and production-quality code - Are comfortable with the open-end nature of business analytics problems and problems which don’t have perfect solutions- Are familiar with deploying analytics solutions on the server-side and creating robust deployments to be used by end-user at scale- Good coding skills in Python and familiarity with Java, the know-how of different ML & AI libraries in PythonExtra brownie points:- Have worked on text mining & NLP- Have worked with neural networks and similar AI implementations- Have worked with financial data and financial risk evaluation- Have a good command of DSARoleData Scientist,Industry TypeSoftware Product,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :B.Tech/B.E. in Any SpecializationPG :M.Tech in Any Specialization, MCA in Any SpecializationKey SkillsBusiness AnalyticsRisk AnalyticsArtificial IntelligenceCredit RiskData AnalyticsMachine LearningPython","['Business Analytics', 'Risk Analytics', 'Artificial Intelligence', 'Credit Risk', 'Data Analytics', 'Machine Learning', 'Python']","['UG :B.Tech/B.E. in Any Specialization', 'PG :M.Tech in Any Specialization, MCA in Any Specialization']","Industry TypeSoftware Product,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"Fractal is one of the most prominent players in the Artificial Intelligence space. Fractals mission is to power every human decision in the enterprise and brings AI, engineering, and design to help the worlds most admired Fortune 500companies.Fractals products include Qure.ai to assist radiologists in making better diagnostic decisions, Crux Intelligence to assists CEOs, and senior executives make better tactical and strategic decisions, Theremin.ai to improve investment decisions, and Eugenie.ai to find anomalies in high-velocity data & Samya.ai to drive next-generation Enterprise Revenue Growth Management.","RoleData Scientist,",Not Disclosed,6 - 10 years,Mumbai,"Job description   Research AI-ML applications in the financial investments space and generate ideas for Theremin.   Build Deep Learning and Reinforcement Learning models to develop investment algorithms. Develop NLP models in medium term.   Identify and setup datasets and generate features.   Enhance current platform for Data, ML modelling and testing.   Develop deeper understanding of quantitative investing.   Refine ML-driven investment process.   Lead and guide ML team in developing models and implementing ideas.   Recruit talent for ML and technology, as needed.     6-10 years experience in data science and ML.   Advanced knowledge of machine learning, probability theory, statistics, and algorithms.   Knowledge/experience in applying data science to investing or quantitative finance a big plus.   Strong research, analytical and problem solving skills.   Programming experience using Python.   Academic degree(s) in analytical fields like Computer Science, Maths, Engineering from top-tier institute(s).   Self-starter and team player with a strong work ethic willing to work in an unstructured environment.   Technology: Linux environment, PyTorch, TensorFlow, etc.  RoleData Scientist,Industry TypeAnalytics / KPO / Research,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduatePG :Any PostgraduateKey Skillsdeep learningLinuxdata scienceAnalyticalMachine learningManager TechnologyResearchPythonInvestment","['deep learning', 'Linux', 'data science', 'Analytical', 'Machine learning', 'Manager Technology', 'Research', 'Python', 'Investment']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeAnalytics / KPO / Research,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"A top-tier oilfield service company with a century-long track record, Baker Hughes delivers solutions that help oil and gas operators make the most of their reservoirs.","RoleData Scientist,",Not Disclosed,6 - 8 years,Mumbai,"Job description  As a Senior Data Scientist, you will be responsible for:    Contributing in development and deployment of applied, predictive and prescriptive analytics. Develop self-learning systems that can predict failures and autocorrect based on data   Gathering analysing data, devising data science solutions for high-performance models in scalable code. Propose innovative algorithms and pursue patents where appropriate.   Working with engineering teams to incorporate solutions and create intuitive UX stories. Partner with data engineers on data quality assessment, cleansing and analytics.   Researching and evaluating emerging technology and market trends to assist in project development and operational support for multiple teams or complex scenarios.   Contributing to the development of software and data delivery platforms that are service-oriented with reusable components across multiple teams.   Creating reports and other artifacts to document your work and outcomes. Communicating methods, findings, and hypotheses with stakeholders.       Fuel your passion    To be successful in this role you will:    Have a MS Degree in Computer Science or in STEM, Majors. 6+ years as data scientist and technical hands-on coding experience.   Have experience in Machine Learning/AI techniques including Deep learning (RNN, CNN, GAN, etc), Support Vector Machines; Regularization Techniques; Boosting, Random Forests, Ensemble Methods, image/video/audio processing, Bayesian and time series modelling.   Have experience in Parallel programming frameworks for GPUs, TPUs and developed containerized solutions (Docker/Mesos etc).   Have good implementation experience with R, Python, Perl, Ruby, Scala, Apache Spark, Storm, SAS and ability to work with a variety of Deep learning frameworks including TensorFlow, Keras, Caffe, CNTK, etc   Have hands-on skills in sourcing, manipulating and analysing large volumes of data including SQL and NoSQL databases   Have proven experience in using well-established supervised and unsupervised machine learning methods for large industry-strength data analysis problems.   Reviews, analyses and develops architectural requirements at domain level, aligning architectural requirements with software development strategy. Leads and facilitates the domains architecture governance process based on EAs governance structure.   RoleData Scientist,Industry TypePower,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceData analysisSASCodingMachine learningPerlRubyAnalyticsSQLPython","['Computer science', 'Data analysis', 'SAS', 'Coding', 'Machine learning', 'Perl', 'Ruby', 'Analytics', 'SQL', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypePower,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com","RoleData Scientist,",Not Disclosed,4 - 6 years,Bangalore/Bengaluru,"Job descriptionKey Responsibilities : DM-369- Understanding of machine learning algorithms2 Experience in working with graph databases and document DBs3 Hands on experience in writing complex SQL queries4 Hands on experience in building machine learning solutions in Python6 Basic understanding of statistical distributions and probability theory7 Proficiency in general python programming8 Experience in data visualization using opensource libraries in python, javascript and dashboarding tools like superset or powerBI Technical Experience : Experience in DevOps practices for machine learning Experience with building KPIs for customer, product and market insights Experience in Spark based data processing and machine learning Experience in building and deploying solutions on AWS Hands on experience with sagemaker pipelines Hands on experience with airflow Professional Attributes : oDefines success in terms of the entire team oAction oriented and has exceptional attitude and work ethic oStrong Desire to learn and improve technical and interpersonal skills RoleData Scientist,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsConsultingMachine learningJavascriptData processingPythonSQL queriesInterpersonal skillsdata sciencedata visualizationSkills highlighted with ‘‘ are preferred keyskills","['Consulting', 'Machine learning', 'Javascript', 'Data processing', 'Python', 'SQL queries', 'Interpersonal skills', 'data science', 'data visualization']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com","RoleData Scientist,",Not Disclosed,3 - 5 years,Bangalore/Bengaluru,"Job description Domain - Data Science   Demonstrated experience in appying several ML algorithms.  []Lead data Science team, working with domain experts, Data Engineers and web Application developers  [] Expertise in Timeseries , forecasting algorithms   Skills:  ML Algorithm selection  Time series and forecasting algorithms  Model Performance evaluation  Deep learning  MLOps  Azure ML Tools  Tools:  Scikit learn, Tensorflow, Mlflow/Kubeflow  Azure ML toolsRoleData Scientist,Industry TypeIT Services & Consulting,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduatePG :Post Graduation Not RequiredKey Skillsdeep learningdata scienceWeb applicationConsultingForecastingNetworkingCloudSkills highlighted with ‘‘ are preferred keyskills","['deep learning', 'data science', 'Web application', 'Consulting', 'Forecasting', 'Networking', 'Cloud']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaData Science & Analytics,","Employment TypeFull Time, Permanent",Role CategoryData Science & Machine Learning
