company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"Palo Alto Networks is the next-generation security company, leading a new era in cybersecurity by safely enabling applications and preventing cyber breaches for thousands of organizations worldwide.  Built with an innovative approach and highly differentiated cyber threat prevention capabilities, our game-changing security platform delivers security far superior to legacy or point products, safely enables daily business operations, and protects an organizations most valuable assets.","RoleNetwork Manager / Administrator,",Not Disclosed,4 - 8 years,Bangalore/Bengaluru,"Job description  This position will be a part of a new Operations Infrastructure team. You will be combining elements of cloud architecture, IT operations, application development, security, and regulatory compliance to manage cloud-based applications and services across 1000s of VMs, Container Clusters, Load Balancers, API Gateways. We want passionate engineers who raise the bar constantly. You will have excellent problem-solving skills, ability to multi-task and prioritise, work independently thrive under pressure.   Must Have - Cloud Administration - Compute, DB, Storage, Networking, DB, Cloud Security    Nice to have - Cloud Security Engineering Certification or drive to get one.   We are heavily invested in GCP but will consider AWS or Azure experience.   You must be analytical, agile, and influential who can quickly deliver meaningful results and solutions with the flexibility to accommodate evolving business needs and shifting priorities.    CloudOps Engineer role requires maintaining reliable, fault tolerant infrastructure and application availability to meet the demands of our growing business. The role will be responsible for production operations and releases of SaaS applications deployed in the public cloud. Are you a motivated, intelligent, creative, and hardworking individual who wants to contribute and make a differenceIf yes, this job is for you!    Your Impact     Manage the applications and related cloud environments across the globe in GCP, AWS environments     Troubleshoot and resolve infrastructure issues, ensure proper security controls are in place.     Drive Security vulnerability management, Posture management of OS, application stack.     Design and implement network, compute and application-level monitoring solutions     Implement integrated and automated processes that drive operational excellence     Advise on industry best practices as it relates to new product selection     Drive operational cadences around business planning and performance management to ensure the efficient running of the IT org     Participate in SOC/ISO audits and ensure all audit controls are adhered to     Able and be willing to provide on-call duty     Lead development of IT metrics and dashboard     Provides regular status, operational reports, incident and change reports     Partner with IT leaders to understand the Infrastructure needs for their respective functions    Qualifications     Your Experience     BE/Btech Engineering or technical degree     7 plus years of relevant work experience     Linux. Should have a strong understanding of the Linux operating system. Should understand the architecture, maintenance and administration of Linux servers.     Networking. Should understand virtual networks and general network management functions(TCP/IP, DNS, VLANs, NSGs, VPN etc.).     DevOps. Hands-on understanding of DevOps practices and CI/CD tools. We use Git/JFrog/Jenkins/Harness along with Ansible, Terraform and Vault.     Containerization. Should have proficiency of containerization tools and understand .     Virtualization. Should have the knowledge to deploy and run application software on virtual machines - VMWare, KVM and Windows.     Understanding of cloud providers. Infrastructure administration experience in GCP preferred. Although we will consider strong experience in AWS and Azure if you are willing to learn GCP.      Security. Have to have a strong interest in Cloud Security and security best practices - Vulnerability management, Security policy implementation, IAM/PKI knowledge.     Web services and application programming interfaces (APIs). Understanding of how APIs are engineered. Experience managing and configuring API Gateways and Load Balancers and troubleshooting end-to-end across several layers.     Nice to have some of the following:     Database skills. Cloud Database management skills and knowledge of RDBMS, NoSQL and Object Databases. Understand Data Security, Disaster Recovery.     Programming. We believe Cloud engineers should have strong general programming skills, along with knowledge of programming languages such as SQL, Java, , Ruby, Golang, PHP and .NET.   RoleNetwork Manager / Administrator,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :B.Tech/B.E. in Production/IndustrialPG :Any PostgraduateKey SkillsVMwareLinuxNetworkingRDBMSDevelopment LeadPHPApplication developmentWindowsmicrosoftSQL","['VMware', 'Linux', 'Networking', 'RDBMS', 'Development Lead', 'PHP', 'Application development', 'Windows', 'microsoft', 'SQL']","['UG :B.Tech/B.E. in Production/Industrial', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
"Marlabs designs and develops advanced digital solutions that help our clients improve their business outcomes swiftly and precisely. We succeed by harnessing the power of the Digital Collective, which brings together design-led digital innovation with human experience, composable digital platforms, and our collaborative ecosystem of first-class technology partners and innovators. We provide digital-first strategy and advisory services, digital labs for rapid solution incubation and prototyping, and agile engineering to build and scale digital solutions, as well as prize-winning products and platforms in AI and analytics, cybersecurity, and IoT. Our offerings help leading companies around the world make operations sleeker, keep customers closer, transform data into decisions, de-risk cyberspace, boost legacy system performance and seize novel opportunities and new digital revenue streams.","RoleOther,",Not Disclosed,3 - 5 years,Bangalore/Bengaluru,"Job description   Point of contact for human resources, RMG, delivery and practice.   Maintain operational data and publish to leadership team   Track utilization parameters, prepare weekly/monthly updates for DU Head   Create /close hiring request in SuccessFactors and in hiring Tracker ( For clients and Internal ). Single point of contact for escalations and issues/others during the hire process.   Archive SoWs, POs, and timesheets, client approvals, and important communication for compliance   Maintain dashboard of headcount, resignation, project exits, new joiners.   Capture action items of weekly status meeting and follow up with concern stakeholders for the closure.   Provide ad-hoc reports /dashboard based on the need to leadership team   Provide revenue forecast to leadership team on weekly basis, maintain cost trackers   Follow up with employees for timesheet submission on time.   RoleOther,Industry TypeIT Services & Consulting,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :Any GraduatePG :Any PostgraduateKey SkillsHead Business DevelopmentComplianceHRArchivingOperationsForecastingCostRecruitment","['Head Business Development', 'Compliance', 'HR', 'Archiving', 'Operations', 'Forecasting', 'Cost', 'Recruitment']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
"ACI Worldwide is a global software company that provides mission-critical real-time payment solutions to corporations. Customers use our proven, scalable and secure solutions to process and manage digital payments, enable omni-commerce payments, present and process bill payments, and manage fraud and risk. We combine our global footprint with local presence to drive the real-time digital transformation of payments and commerce.","RoleFull Stack Developer,",Not Disclosed,6 - 10 years,Bangalore/Bengaluru,"Job description  Requirements:    10 years experience supporting enterprise application development, preferably in Java and / or C on Unix / Linux environments.   4 years experience in a DevOps/SRE type role.   Solid understanding of the various phases of the software development lifecycle, and the principles of continuous integration and continuous deployment.   Experience with automated build and deployment toolsets (Jenkins, Maven, Make, Helm, Ansible).   Experience with version control systems (ex. GIT, Bitbucket).   Familiarity with Linux and automation tools like Terraform, Ansible.   Experience with scripting languages like: Bash, Groovy, Python.   Experience with container and container management technologies (Docker).   Familiarity with containerization and/or container orchestration platforms (ex. Kubernetes, OpenShift, AKS).   Experience with Kubernetes, software-defined networking, availability zones, regions and region failover, managed services, PaaS, deployment automation supportability and operations on public cloud. Preference for Azure, but experience on others would be considered.    Nice to have:    Experience with agile backlog management tools such as Atlassian Jira or similar.   Monitoring tooling (Elastic stack, Prometheus, Grafana).   Experience with SQL Databases ( ex. Oracle/Postgres ).   Experience with NoSQL Databases ( ex. Cassandra ).   Experience with Kafka.   RoleFull Stack Developer,Industry TypeEducation / Training,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsUnixMavenAutomationLinuxAgileApplication developmentOracleMonitoringSQLPython","['Unix', 'Maven', 'Automation', 'Linux', 'Agile', 'Application development', 'Oracle', 'Monitoring', 'SQL', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeEducation / Training,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"ACI Worldwide is a global software company that provides mission-critical real-time payment solutions to corporations. Customers use our proven, scalable and secure solutions to process and manage digital payments, enable omni-commerce payments, present and process bill payments, and manage fraud and risk. We combine our global footprint with local presence to drive the real-time digital transformation of payments and commerce.","RoleFull Stack Developer,",Not Disclosed,4 - 7 years,Bangalore/Bengaluru,"Job description   Requirements:     7 years experience supporting enterprise application development, preferably in Java and / or C on Unix / Linux environments.   3 years experience in a DevOps/SRE type role.   Solid understanding of the various phases of the software development lifecycle, and the principles of continuous integration and continuous deployment.   Experience with automated build and deployment toolsets (Jenkins, Maven, Make, Helm, Ansible).   Experience with version control systems (ex. GIT, Bitbucket).   Familiarity with Linux and automation tools like Terraform, Ansible.   Experience with scripting languages like: Bash, Groovy, Python.   Experience with container and container management technologies (Docker).   Familiarity with containerization and/or container orchestration platforms (ex. Kubernetes, OpenShift, AKS).   Experience with Kubernetes, software-defined networking, availability zones, regions and region failover, managed services, PaaS, deployment automation supportability and operations on public cloud. Preference for Azure, but experience on others would be considered.     Nice to have:     Experience with agile backlog management tools such as Atlassian Jira or similar.   Monitoring tooling (Elastic stack, Prometheus, Grafana).   Experience with SQL Databases ( ex. Oracle/Postgres ).   Experience with NoSQL Databases ( ex. Cassandra ).   Experience with Kafka.     Our tech stack  :    Ansible, Terraform, Helm, Jenkins, Docker, SonarQube, Sonatype Nexus, Bitbucket, groovy, Java, C, YAML, Linux, OpenShift, Oracle, Kafka, Cassandra, Azure, AKS  RoleFull Stack Developer,Industry TypeEducation / Training,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsUnixMavenAutomationLinuxAgileApplication developmentOracleMonitoringSQLPython","['Unix', 'Maven', 'Automation', 'Linux', 'Agile', 'Application development', 'Oracle', 'Monitoring', 'SQL', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeEducation / Training,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleOperations Engineer,",Not Disclosed,7 - 12 years,Bangalore/Bengaluru,"Job descriptionRole Description:- The Lead CloudOps Engineer is a critical part of our HB technology platform strategy. In this role he will work closely with engineering and security teams to ensure the security, monitoring, availability, performance and cost optimization of cloud infrastructure and environments. He will join an newly setup Cloud Operations team.- As a Lead CloudOps Engineer, he will master all components of the projects and oversee the relationships and dependencies between the platform and the products deployed on it. He will shape the scope of our own work, as well as the scope of team members. He will work across functional teams to shape business goals into engineering achievements, he will align technical decisions to business goals. He will have a high influence on the technical, team and production direction as it relates to cloud environments. He will be recognized as an influencer by other teams and departments.Responsibilities:- Responsible for supporting Cloud service measurement, monitoring, and reporting .- Support technology and customer operational environments.- Building the effectiveness, productivity and performance of the team.- Hire, on-board, train new staff with new cutting edge Cloud technologies.- Sound knowledge in engineering, and administration in supporting an exceptionally large distributed clustered Splunk environment consisting of search heads, indexers, deployers, deployment servers, heavyuniversal forwarders, and Splunk Enterprise Security premium app.- Responsible for the supporting efforts that improve operational performance and availability of HB Production environments.- Improving overall operational quality through common practices and by working with engineering, QA, IaaS, and DevOps teams.- Create Proof-of-concept design studies to implement new tools or services.- Ensure security and compliance of cloud environment.- Provide technical leadership to operations team, act as an interface between stakeholders.- Maintain SOC2 and ISO 27001 compliance.Desired Skills & Competencies:- Strong verbal and written communications skills in English.- Strategic problem solving and collaboration skills.- Demonstrated ability to adapt to new technologies and learn quickly.- At least 5 to 8 years of hands-on working experience in building & supporting large scale environments.- Working knowledge of software development tools and methodologies.- Presentation skills with a high degree of comfort speaking with executives, IT Management, developers, and at large events.- Experience using modern Monitoring and Alerting tools (Prometheus, Grafana, AWS CloudWatch, Opsgenie etc.)- Professional experience architectingoperating solutions built on AWS.- Sound knowledge of compliance regulations like HIPPA, PCI DSS, GDPR, ISOIEC 27001, NIST, NERC.- Achieved Associate andor Professional AWS certifications.- AWS and Azure Cloud knowledge (Level = Expert).- Linux (Level = Expert).- Scripting Language ( Shell Bash YAML ) (Level = Expert).- IaC (Level = Expert).RoleOperations Engineer,Industry TypeIT Services & Consulting,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryOperations SupportEducationUG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsOperations EngineeringCloud Operationssoftware developmentSkills highlighted with ‘‘ are preferred keyskills","['Operations Engineering', 'Cloud Operations', 'software development']","['UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaCustomer Success, Service & Operations,","Employment TypeFull Time, Permanent",Role CategoryOperations Support
Shell India Markets Private Limited,"RoleIT Operations Management,",Not Disclosed,5 - 7 years,Bangalore/Bengaluru,"Job descriptionThe RoleIn Shell, we continue to deliver a process that will work for multiple stakeholders which is a game changer for everyone. Join us, as we continue to deliver a smooth operation in technology and provide speedy and quality problem resolution.Where you fitIn this role, you will be accountable for ensuring reliable and secure operations of the in-scope applications, that support one or more business processes and an ITSO interface to the IT Business Interface organization. They ensure IT applications and services remain available, are delivered in a secure manner, and perform appropriate oversight on any changes to the landscapes. They also will work using DevOps to maintain and develop the existing infrastructure and applications.What’s the role?As IT Operations Engineer, you will work on the latest technology and innovations in Shell as part of the Technology and Digital SOM (TDSOM) in Digital IT Services and Operations (ITSO). This team specifically looks after analytical applications on Shell.ai Self-Service. The purpose of TDSOM is to operate the Projects & Technology Landscapes by delivering differentiating IT capabilities (products & services), thus supporting technology development, application, and deployment as a major competitive advantage for Shell. The ""Landscape"" element emphasizes that infrastructure, applications, and data management practices need to come together in an integrated fashion to effectively support Business workflows.Technical Focus areas are as follows:Support citizen data scientists on the Shell.ai Self-Service platform in their development activities.Support proof-of-concept development workMaintain Azure and AWS PoC infrastructure environments.Build new advanced analytics technology platforms to prove the technology.Assist in building new platforms part of Shell.ai Self-Service.Identify and implement opportunities for continuous improvement.Responsible for adequate response and execution of support activities and ensuring minimal operational escalations and minimizing the impact on development work.Evergreening and service quality improvements to improve user experience across the platform.What We Need from YouGraduate with any bachelor’s degree with a minimum of five (5) years of total IT experienceExperience in applications support and support processes, specifically Azure, Linux, DevOpsPrior experience in IT with applications support and IT services management.Strong stakeholder, interpersonal relationship, and negotiation skillsProven ability to deliver results in a matrix organization driving delivery excellence through influence and team workingAbility to operate in a virtual cross-cultural organizationSelf-starter with Good analysis and problem-solving skillsStrong interpersonal and communication skillsAbility to deal with conflict and ambiguity effectivelyAbility to handle concurrent tasks with appropriate priorityStrong relationship skills to work with multiple stakeholders across organizational and business boundaries at all levelsUnderstanding of business support requirementsExperience preferably in Application Development & Service Management Operations / Project ManagementActual understanding of the IT business environment will be considered as advantageousRoleIT Operations Management,Industry TypePetrochemical / Plastics / Rubber,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduatePG :Any PostgraduateKey SkillsIT OperationApplication Developmentproject managementoperations managementinterpersonal  skillsLinuxdevopsawsService ManagementazureSkills highlighted with ‘‘ are preferred keyskills","['IT Operation', 'Application Development', 'project management', 'operations management', 'interpersonal  skills', 'Linux', 'devops', 'aws', 'Service Management', 'azure']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypePetrochemical / Plastics / Rubber,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
Shell India Markets Private Limited,"RoleIT Operations Management,",Not Disclosed,7 - 9 years,Bangalore/Bengaluru,"Job descriptionThe RoleIf you are looking for a career with solid job prospects for the foreseeable future, understanding, delivering, or improving the range of activities to support the digital and energy transition, then this role will suit you. Join Shell and let us help you grow in a business that encourages both personal and professional development.Where you fitIn this role, you will be virtually working in a global environment with culturally diverse teams, managing multiple delivery priorities, and working with multiple stakeholders in various organizations.What’s the role?As IT Operations Engineer you will be the Technical Change management for ERP, you will plan and coordinate technical change across landscapes. Inclusive of application updates, operating systems & DB updates, security fixes, and hardware migrations.End-to-End responsible for managing changes across the landscape including yearly change planning, business communication and approval.Assess the implication of changes (desktop, hosting, middleware and applications) impacting the landscape.Contribute to planning and forecasting for capacity and asset integrity.Participate in reviews of proposed technical designs for new solutions and contribute to impact assessment.Review infrastructure or application technical changes and contribute to AtO and AtD sign-off for projects impacting the DS ERP landscapes.Works with Technical OLM and affected systems or CAP OLMs to make sure the right resources are assigned to the detailed tasks.Contribute to service restoration for severe incidents caused by infrastructure, interface or performance issues, using the global, 24x7 reach of the Shell and Eco-system organization (Suppliers, SAP). Contribute to complex RCAs across multi-vendor and multi-disciplinary teams.Responsible for fast response and execution of operational escalations with business impact.Act as a subject matter expert and assist with complex operational issues and ensure support is delivered against service levels and in line with support models.Provide guidance and consultation during problem management reviews to ensure complex problems are being worked on appropriately.Contribute or lead continuous improvements for reliable end-to-end performance or reduced costs, ensuring delivery via suppliers and project organization. This includes coordinating deep dives with software vendors and suppliers and following up on SAP Early-Watch Alert.Ensure operation runbooks, support guidelines and procedures are maintained for use.Ensure regulatory and compliance controls are embedded in landscape operations and assist with evidence collection.No direct reports. Indirect Reports in Managed Service teams supporting our applications.Approximately 44 application landscapes in the portfolio, mainly SAP. The majority is business critical and 7x24, with complex landscapes including ERP, Sap Cloud platform as well as Hana and Focused run.Risks - License to Operate, Global reputation, $100's of millions at risk. Failure within these systems could have effects on Shell's reputation.What We Need from YouGraduate / Post Graduate with overall 7 years of experience and a minimum of 5 years relevant experience in SAP Application Development & Support or SAP project delivery, e.g. working with SAP technical upgrades or supporting/developing SAP integrations.Experience in applications support and support processes, specifically ITIL.Sound understanding of the technical layers in the SAP landscape.Knowledge of SAP Cloud Platform, Cloud Integrations and monitoring capabilities will be an asset.Understanding of key business processes in SHELLExperience in IT Service Management.Proven ability to lead operations teams, either formal leadership of technical teams or indirect management of suppliers.Strong relationship skills to work with multiple stakeholders across organizational and business boundaries at all levels. Strong communication skills.Ability to deal with conflict and ambiguity effectively. Ability to handle concurrent tasks with appropriate priority.Ability to operate in a virtual cross-cultural organization.RoleIT Operations Management,Industry TypePetrochemical / Plastics / Rubber,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduatePG :Any PostgraduateKey SkillsIT OperationsCloud IntegrationsSAP Application DevelopmentSAP Application SupportTechnical Change managementSAP project deliverySAP Cloud PlatformSkills highlighted with ‘‘ are preferred keyskills","['IT Operations', 'Cloud Integrations', 'SAP Application Development', 'SAP Application Support', 'Technical Change management', 'SAP project delivery', 'SAP Cloud Platform']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypePetrochemical / Plastics / Rubber,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
"Asteria Aerospace is a robotics and artificial intelligence company that develops drone based solutions to provide actionable intelligence from aerial data. Our capabilities and intellectual property across the entire drone technology stack of hardware, software and analytics enable us to build deeply customized aerial remote sensing tools.For security and surveillance applications, Asteria provides specialized solutions for military, paramilitary and police forces with best-in-class performance and proven reliability in challenging environments. For our industrial clients, we provide end-to-end solutions to autonomously survey, inspect and monitor assets in industries such as oil and gas, mining, construction and agriculture. Our mission is to develop drone based solutions that integrate seamlessly into operational workflows, increasing safety while saving time and money.","RoleCorporate Training - Other,",Not Disclosed,2 - 7 years,Bangalore/Bengaluru,"Job description   Specific Responsibilities   :          Conducting product training programs on Asteria s Unmanned Aircraft Systems.     Operating Asteria s Quadcopters, Hybrid VTOLs and other products which will be introduced in the future.     Managing theory and practical classes as per the designed schedule.    Coordinate with the engineering team on timely updates of the system to implement the same in the training program.    Training content creation for internal training, external training, process training and update familiarization training programs.    Stay connected with external trainees and follow up regarding their operations.    Preparing manuals, Emergency checklists, Dos Donts, Pilot handbooks.    Generating reports, correspondences maintaining training records, files batch folders.          Qualifications:     Bachelors or master s degree in Aeronautical/Mechanical/Other applicable engineering field.          Relevant Experience:   2 Years in Drone Training/ Operations          Desired Skills Characteristics:       Passionate about the work and quick learning through self-initiatives.    Good interpersonal communication skills in English Hindi.    Knowledge of RC aircraft/UAV/Multirotor dynamics, control flight operations.    Experience in operating Fixed wing/ Quadcopters/ Hybrid VTOL systems.    Preferred experience in survey mapping/ asset inspection/ surveillance missions.    Experience in conducting product training on Unmanned Aircraft Systems.    Excellent skills in MS word, excel PowerPoint.    Knowledge on types of logs and maintaining Pilot, Instructor, RPA, Batt Maintenance logbooks.    Knowledge on creating training manuals and reports in Microsoft word.    Preferred hands-on skills in training content creation using video editing software like Filmora/ After effects/ Premiere pro etc.    RoleCorporate Training - Other,Industry TypeAviation,Functional AreaTeaching & Training,Employment TypeFull Time, PermanentRole CategoryCorporate TrainingEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPilotProduct trainingReport generationProcess trainingInstructorVideo editingMS WordmicrosoftContent developmentAuditing","['Pilot', 'Product training', 'Report generation', 'Process training', 'Instructor', 'Video editing', 'MS Word', 'microsoft', 'Content development', 'Auditing']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeAviation,","Functional AreaTeaching & Training,","Employment TypeFull Time, Permanent",Role CategoryCorporate Training
syniti,"RoleTechnical Architect,",Not Disclosed,12 years,Hyderabad/Secunderabad,"Job description             Responsible for working with the development team in early design phases to ensure the right applications are chosen for optimal operations delivery while also meeting the needs of the development team                  Responsible for implementing sustainable, scalable predictable applications across the operations environment that can be readily automated for frequently used workstreams based on the needs of the development team                  Work with SREs to build a CMDB framework and related design patterns to allow for Infrastructure-as-code provisioning at the application level and minimize                   Manage and administer the high availability, resiliency and performance demands of all application tiers within Kubernetes and a container framework                   Continuous development of application self-healing in order to reduce toil                   Partake in a rotation providing incident and request handling support, identifying improvement opportunities where automation or rearchitecting of solutions can improve overall outcomes and reduce toil.                   Will serve as a primary application engineer for the cloud operations team on major projects inside of private and public cloud environments including AWS                   Responsible for training SRE team members, project engineers, technical support staff and application development staff on the application architecture, configuration management, and related application lifecycle processes                 Professional Skills Abilities                Desire and ability to thrive in a fast-paced, highly demanding, dynamic business and cloud operations environment.                  The role requires analytical acumen and solution orientation to probe for understanding and to make appropriate decisions to address the nuances of technical and business challenges in order to achieve the targeted outcome                 Strong customer service orientation                 Excellent communication skills and experience in driving cross department initiatives to obtain organizational objectives meet customer needs                 Strong communication, presentation, business and technical writing skills                  The ability to provide excellent customer service as well as manage and build strong relationships both internally and externally                  Strong interest in further developing and integrating operations with technology in business value creating ways                   Awareness of emerging issues, including regulations, industry practices and technology                  Technical Skills Experience                 12+ years of experience in job specific skills.                   8+ years of experience in scalable application architecture, implementation, and management                   5+ years of experience in scalable microservice architecture design, implementation, and management including redis, spark, nginx, iis, apache, kafka or rabbitmq and other similar front and middle end applications                   3+ years of experience in script development in python or powershell related to application lifecycle management                   3+ years of experience in application container management and orchestration with Kubernetes                   3+ years of experience working with SQL servers, writing SQL queries and understanding how they interoperate with the application architecture                   3+ year of NoSQL systems including Cassandra and MongoDB and/or MapReduce systems such as Hadoop                   Degree in Computer Science or equivalent experience.           RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :CA in CA, M.A in JournalismKey SkillsComputer scienceAutomationIISCustomer service orientationData managementTechnical writingAnalyticalConfiguration managementApplication developmentCustomer service","['Computer science', 'Automation', 'IIS', 'Customer service orientation', 'Data management', 'Technical writing', 'Analytical', 'Configuration management', 'Application development', 'Customer service']","['UG :Any Graduate', 'PG :CA in CA, M.A in Journalism']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Guidewire Software, Inc.","RoleBack End Developer,",Not Disclosed,3 - 7 years,Bangalore/Bengaluru,"Job description  As a Cloud Operations Engineer, you will be part of a team that is passionately trying to automate everything possible to make Guidewire systems run more efficiently.   The CloudOps team is dedicated full-time to creating and running software that improves the reliability of systems in production, serving hundreds of customers and supporting millions of transactions each day.   You will be operating Guidewire s flagship cloud platform and InsuranceSuite products and building tooling to help ensure efficient operations and optimal availability of all SaaS multi-tenant and customer-focused systems.   Cloud engineers collaborate closely with Guidewire s product developers to ensure that the Guidewire core cloud products address functional and non-functional requirements such as availability, performance, observability, and maintainability.    This role requires a high degree of independence, ownership and responsibility. If you like to be challenged and have a passion for solving problems at scale with systems like Kubernetes and Aurora, then we would love to hear from you.   The ideal candidate is someone who exemplifies the ethics of, ""If you have to do something more than once, automate it,"" and who can rapidly self-educate on new concepts and tools.   Bonus points if you have prior experience doing production support of a SaaS platform, and are comfortable working with bleeding edge highly containerized cloud-native environments in AWS.     Essential Duties and Responsibilities     Deploy and operate shared multi-tenant infrastructure for a SaaS microservice-based containerized systems in addition to customer-centric application environment   Administer and automate the team s growing presence in AWS    Operational support for Guidewire s flagship highly integrated Java-based InsuranceSuite web applications   Implement and operate a complex single sign-on SAML/OAuth-based central authentication platform   Develop and deploy tooling to aid in driving 24x7x365 service operations of critical world-wide systems    Automate deployment tasks for core product and infrastructure tools and maintain automation infrastructure   Create system documentation and training materials to empower and educate our own and other CCO teams     Required Skills and Experience      Education and Work Experience     Bachelor s Degree in Computer Science or related fiel   Cloud computing experience- AWS preferred.   Familiarity with the Agile software development lifecycle   Background with Linux systems administration and strong scripting skills in Bash, Python, Go, etc.   Experience supporting web applications running on Java / Apache / Tomcat in a live production environment   Demonstrable experience with automating systems and infrastructure with Terraform   Production-At-Scale support background in a heavily microservice-based world   Working with Kubernetes is a plus.   Strong understanding of Single-Sign On, SAML, oAuth (Bonus points if hands-on experience with Okta)   Background utilizing and supporting log analytical tools such as DataDog (Logging and APM)   Great understanding of DevOps tools, CI/CD and hands-on experience with git, Bitbucket and TeamCity   Seasoned expertise around certificate technology and basic concepts of encryption   Solid understanding of concepts surrounding containerized networking and all things IP   Experience working with Relational Databases such as Aurora Postgres and/or Oracle RDS   Advanced exposure to broad technical skills such as application development, web UI (design and development), JSON, application architecture   Ability to read and interpret application server thread dumps, Catalina outputs, CloudTrail, and other critical logging outputs.     Personal Qualities and Soft Skills     A no-fear approach to ambiguity and a startup-like culture   You greatly prefer CLIops to ClickOps   You enjoy teaching and being a mentor to others   Outstanding troubleshooting skills; ability to think critically and display an aptitude for problem-solving   Strongly analytical mind with a penchant for process development and enhancement   Display a strong work ethic and do whatever it takes to get the job done   A highly positive can-do attitude with a knack for being a team player   Excellent communication skills and ability to explain complex technical concepts to a varied audience   Demonstrate strong follow-through and consistently keep commitments to customers and employees  RoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsJavaSoftware DevelopmentLinuxCloudComputer ScienceCi / CdAwsDevopsProduction SupportPython","['Java', 'Software Development', 'Linux', 'Cloud', 'Computer Science', 'Ci / Cd', 'Aws', 'Devops', 'Production Support', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
