company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
https://www.manavenergy.com/,"RoleResearch & Development - Other,",Not Disclosed,0 - 3 years,Bangalore/Bengaluru,"Job descriptionResponsibilities:Understand existing designs and make changes as applicable.Read component data sheets and designing circuits.Design, Develop, and test the hardware system.Integrate and validate new product designs.Troubleshoot the production/R&D productsBe creative and willing to learn the latest technology.Assess third party and open-source software.Interface with Software and Hardware development.Basic knowledge on firmware:Design, develop, code, test, and debug system software.Review code and design.Skill Requirements:Hands-on Experience on IoT.Electrical knowledge could be an added advantage.Minimum of 3-5 years of Schematics & PCB design experience.Experience with designing multiple layer PCBs, Power Electronic, RF, DSP, and Analog Design.Experience in RF products, BLE, WIFI, IoT devices or other wireless technology like LORA etc., preferable.Expert in IoT technology stack  from IoT devices, sensors, actuators, and gateways to IoT platforms. Designation: Embedded Hardware EngineerJob Type: Work from Office Education: BE/Btech/Diploma (EEE), Mtech/ME(EEE)Experience: 2-4 YearsLocation: BangaloreRoleResearch & Development - Other,Industry TypeHardware & Networking,Functional AreaResearch & Development,Employment TypeFull Time, PermanentRole CategoryResearch & Development - OtherEducationUG :B.Tech/B.E. in Electrical, Diploma in ElectricalPG :M.Tech in ElectricalKey Skillshardware developmentpcb designingnew productSkills highlighted with ‘‘ are preferred keyskills","['hardware development', 'pcb designing', 'new product']","['UG :B.Tech/B.E. in Electrical, Diploma in Electrical', 'PG :M.Tech in Electrical']","Industry TypeHardware & Networking,","Functional AreaResearch & Development,","Employment TypeFull Time, Permanent",Role CategoryResearch & Development - Other
" Optimized Electrotech Private Limited (OEPL) is an Indian Electro-Optics company making Indigenously Designed, Developed and Manufactured (IDDM) Surveillance systems. The company was established in 2017 with a vision of creating a footprint in Indian Surveillance industry by providing cutting edge solutions customized to Indias requirements. ","RoleEmbedded Hardware Engineer,","₹ 4,00,000 - 8,00,000 P.A. ",2 - 5 years,Bangalore/Bengaluru( Whitefield ),"Job descriptionRoles and Responsibilities The candidate would be responsible for carrying out detailed spec requirement based on functionality, translating spec into actual system requirement and implementation. Candidate needs to be good at high speed Digital and Mixed Signal design concepts.  Candidate needs to have a very good understanding of high speed PCB layout, all relevant issues pertaining to high speed PCB designing like Signal Integrity, Power Integrity, Impedance Matching, Transmission line issues, Signal termination, single ended and differential routing etc. Candidate needs to have good experience in high-speed interfaces like DDR3, USB3, Ethernet. Knowledge of PSPICE or equivalent to validate functionality is essential to carry out Mixed Signal Design. Candidate is required to have sound knowledge of PCB layout concepts and requirement for high-speed communication interface like USB, Ethernet as well as DDR communication for PCB design. Candidate would be required to work on Firmware aspect in case of Microcontroller. The candidate is expected to carry out the board bring up, debug and production support activity. Candidate is expected to have good hands on and expertise of ECAD tool for PCB and Schematic entry like CADSTAR or Ki CAD or Altera or Allegro. Candidate should be responsible for BoM creation. Candidate should work on Test Checklist and Test report as part of PCB bring up. Candidate is expected to carry out soldering with 0402 or QFN packages as part of initial board bring up and debug exercise. Desired Candidate Profile  Very good understanding of basic electronics  both digital and mixed signalVery good ability to work with schematics  both implementation as well as being able to read and debug. Hands on experience of High Speed Digital and Mixed Signal based PCB DesignHands on experience of Signal Integrity, Power Integrity, Thermal management, Signal termination associated with high speed and mixed signal PCBWorking experience with PCB CAD tools like CADSTAR, ORCAD or Allegro or AlteraBOM creation and procurement managementBoard bring up working across teams – HW design, FW design and SW designSoldering of SMT packages like 0402,QFN,etc;Hands on experience of test equipment like Multimeter, CRO, etc;Strong fundamentals in Digital Electronics DesignSound knowledge of FPGA or Microcontroller based designsGood understanding of PSPICE based functionality simulation and validationAbility to start development from scratchPerks and Benefits RoleEmbedded Hardware Engineer,Industry TypeDefence & Aerospace,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Tech/B.E. in Electronics/TelecommunicationPG :M.Tech in Electronics/TelecommunicationKey SkillsEMImixed signal designBoard DesignSignal IntegrityschematicEMC DesignThermal AnalysisSkills highlighted with ‘‘ are preferred keyskills","['EMI', 'mixed signal design', 'Board Design', 'Signal Integrity', 'schematic', 'EMC Design', 'Thermal Analysis']","['UG :B.Tech/B.E. in Electronics/Telecommunication', 'PG :M.Tech in Electronics/Telecommunication']","Industry TypeDefence & Aerospace,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
"IBM has been present in India since 1992. IBM India's solutions and services span all major industries including financial services, healthcare, government, automotive, telecommunications and education, among others. As a trusted partner with wide-ranging service capabilities, IBM helps clients transform and succeed in challenging circumstances. IBM has been expanding its footprint in India - and has a presence in over 200 cities and towns across the country - either directly or through its strong business partner network. IBM India has clearly established itself as one of the leaders in the Indian Information Technology (IT) Industry - and continues to transform itself to align with global markets and geographies to grow this leadership position. Widely recognised as an employer of choice, IBM holds numerous awards for its industry-leading employment practices and policies. The diversity and breadth of the entire IBM portfolio of research, consulting, solutions, services, systems and software, uniquely distinguishes IBM India from other companies in the industry. To know more about business units at IBM India, click on the “About Us” link above.","RoleHardware Engineering Manager,",Not Disclosed,1 - 4 years,Bangalore/Bengaluru,"Job descriptionAs a Hardware Developer at IBM, you ll get to work on the systems that are driving the quantum revolution and the AI era. Join an elite team of engineering professionals who enable IBM customers to make better decisions quicker on the most trusted hardware platform in today s market.Your Role and ResponsibilitiesIBM Systems group has developed some of the most powerful supercomputers in the World. The technology which is used to develop the circuits is shrinking. The newer technologies and foundries need a faster turnaround time to develop the physical designs which eventually get fabricated on silicon. The layout design also known as a mask layout design is constrained by the foundry and increased challenges with the of new technologies. New methodologies are the need of the hour to develop processors and its components namely, Array, Register files, Synthesizable designs, large blocks etc. ISDL Processor Development teams works on the development of latest generation processors that power IBM Z Systems (Mainframe) & IBM Power Systems.The team is involved in defining the methodology for the circuit-layout design and on the post layout optimization. Timing requirements, reduction in noise numbers, staying on the defined Power ranges and at the same time build robust layout in an automated way have been the key challenges. You will be involved in collating various data from the historical designs and would be required to propose solutions to define the methodology resulting in pathbreaking innovations. You will acquire a deep knowledge of the layout design and physical design flow.Skills required Working knowledge of VLSI Design cycle, Digital Electronics, Computer Architecture, Hardware based encryption engines and Operating systemsGood programming and scripting skills are highly desiredResponsibility: The Server memory development team at IBM India Systems Development Lab (ISDL) works on the latest Server class memory technology which includes developing memory subsystem architecture with DDR4 & DDDR5 DRAM DIMM, MRAM, SSD/FLASH and Storage class memory. You shall get an opportunity to learn about server memory subsystem architecture and emerging memory technology trends. You could expect to perform validation & competitive analysis of new technologies and prototype/engineering samples from suppliers along with hands-on experience in a POWER Server Lab. At the end of the project, you should be able to demonstrate good understanding of a POWER server, suggest improvements on the present validation techniques and show a deeper understanding of server memory architecture.Required Technical and Professional ExpertiseWorking knowledge of VLSI Design cycle, Digital Electronics and Computer systems Proficient in different memory technologies and their end uses Proven programming and scripting skills (Python/PERL) are highly desiredPreferred Technical and Professional ExpertiseStrong Communication, analytical, interpersonal & problem-solving skillsAbility to deliver on agreed goals and the ability to coordinate activities in the team/collaborate with others to deliver on the team visionAbility to work effectively in a global team environmentRoleHardware Engineering Manager,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Tech/B.E.PG :Post Graduation Not RequiredKey SkillsPrototypeAnalyticalPerlPhysical designPythonLayout designCompetitive analysisDigital electronicsSiliconVLSI designSkills highlighted with ‘‘ are preferred keyskills","['Prototype', 'Analytical', 'Perl', 'Physical design', 'Python', 'Layout design', 'Competitive analysis', 'Digital electronics', 'Silicon', 'VLSI design']","['UG :B.Tech/B.E.', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
"IBM has been present in India since 1992. IBM India's solutions and services span all major industries including financial services, healthcare, government, automotive, telecommunications and education, among others. As a trusted partner with wide-ranging service capabilities, IBM helps clients transform and succeed in challenging circumstances. IBM has been expanding its footprint in India - and has a presence in over 200 cities and towns across the country - either directly or through its strong business partner network. IBM India has clearly established itself as one of the leaders in the Indian Information Technology (IT) Industry - and continues to transform itself to align with global markets and geographies to grow this leadership position. Widely recognised as an employer of choice, IBM holds numerous awards for its industry-leading employment practices and policies. The diversity and breadth of the entire IBM portfolio of research, consulting, solutions, services, systems and software, uniquely distinguishes IBM India from other companies in the industry. To know more about business units at IBM India, click on the “About Us” link above.","RoleHead - QA,",Not Disclosed,1 - 4 years,Bangalore/Bengaluru,"Job description As a Hardware Developer at IBM, you ll get to work on the systems that are driving the quantum revolution and the AI era. Join an elite team of engineering professionals who enable IBM customers to make better decisions quicker on the most trusted hardware platform in today s market.  Your Role and Responsibilities  We are seeking highly motivated engineers with a BS, MS degree in Computer Science/Computer Engineering to be part of Memory Development team. Join a great team of engineering professionals who are involved in development, characterization, and validation of memory subsystem for IBM s next generation servers.       Responsibilities: -          Collaborate with cross-organizational memory development engineers (ASIC, PCB, BIOS/FW Memory Software Initialization, Characterization, Modelling), memory subsystem PMs, as well as engagement with global execution team to enable the Memory Subsystem for IBM Power and Z Servers Systems Group roadmap.          Work with global memory suppliers to co-develop, manage, and analyse memory certification testing as well as memory verification and validation tests at suppliers locations.          Participate and interlock with leadership team for execution optimization and on-going process improvements.          Execute electrical, functional, and system test plans to verify system functionality and product specification using hardware and software validation tools.          Utilize customized-scripts, lab equipment such as oscilloscopes or logic analyser to analyse & debug electrical and functional test data in supporting of production risk-call decisions.        Required Technical and Professional Expertise         Demonstrated technical expertise in hardware development, Embedded software procedures, system Bring-Up & Methodology and, Characterization          Knowledge of modern Server arch (Power, Z, x86, ARM)          Knowledge of modern OS kernel (Linux, AIX) would be a plus      RoleHead - QA,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryQuality Assurance and TestingEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceAixASICLinuxEmbedded softwareBIOSArchitectureFunctional testingX86hardware developmentSkills highlighted with ‘‘ are preferred keyskills","['Computer science', 'Aix', 'ASIC', 'Linux', 'Embedded software', 'BIOS', 'Architecture', 'Functional testing', 'X86', 'hardware development']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryQuality Assurance and Testing
"We are a consumer technology company, focused on ideation, research, and development of a digital notebook that enables a user to read, write, sketch and collaborate on it without losing the touch and feel of pen and paper.  Econote was conceptualized with a vision to change the way world will write paperless. We aim to create a global paperless ecosystem, transform the digital reading and writing experience altogether and emerge as a global leader in paperless reading and writing solutions.  ","RoleEmbedded Hardware Engineer,",Not Disclosed,2 - 6 years,Bangalore/Bengaluru,"Job description JOB DESCRIPTIONEconote is looking for a passionate and dedicated hardware developer who has experience in designing & developing embedded systems. You will engage yourself in a collaborative and passionate environment to create embedded solutions & become a part of the team that fosters creativity and innovation. Join us to create & develop solutions that are able to impact the mass markets. We would empower you to engage with emerging technologies to question the limitations and develop yourself into an engineer with engineering excellence.ROLE AND RESPONSIBILITIESUnderstand the hardware requirement and identify the components for developmentDraw the block diagram and collect the datasheetsSelection and ordering of components from the manufacturerResponsible for hardware bring-up testingDesign the PCB schematic with proper instructionWrite a detailed Engineering SpecificationPrepare a Test Plan and Acceptance CriteriaPerform the system integration and testingCreate and optimize BOM (Bill of Material)Hardware support for any new development and improving the existing designsWillingness to accept the industrial challenges to design a new productEDUCATIONAL QUALIFICATIONS AND WORK EXPERIENCEBachelor's degree in BE/B.Tech/M.Tech in Electronics, Electrical, and Electronics or Mechanical Engineering and a strong knowledge of embedded systems & related fields2+ years experience working as an embedded system/ Electronic hardware developerSKILLS REQUIREDGood knowledge of Hardware Development Life CycleExpert in schematic designComplete knowledge of PCB layout and componentsProficient in PCB designing tools, e.g. MATLAB, Simulink, Altium, Eagle etc.A clear understanding of various Microprocessors used in the industryKnowledge of Assembly language and C, C++Knowledge of ISO and other standards required for electronic product development and compliance testingExcellent debugging and problem-solving skillsStrong written and verbal communicationRoleEmbedded Hardware Engineer,Industry TypeSoftware Product,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Tech/B.E. in Electronics/Telecommunication, ComputersPG :M.Tech in Electronics/Telecommunication, Computers, MS/M.Sc(Science) in Computers, ElectronicsKey Skillshardware engineeringC++CMATLABSkills highlighted with ‘‘ are preferred keyskills","['hardware engineering', 'C++', 'C', 'MATLAB']","['UG :B.Tech/B.E. in Electronics/Telecommunication, Computers', 'PG :M.Tech in Electronics/Telecommunication, Computers, MS/M.Sc(Science) in Computers, Electronics']","Industry TypeSoftware Product,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
Reputed IT client of Sapwood ventures,"RoleEmbedded Hardware Engineer,",Not Disclosed,4 - 8 years,Bangalore/Bengaluru,"Job description Responsibilities :- The candidate would be responsible for carrying out detailed spec requirement based on functionality, translating spec into actual system requirement and implementation. Essential Qualifications :- Strong Leadership quality in terms of driving an architecture from top functionality to actual implementation- Being able to lead a team of 2-3 engineers working under the candidate- Having good understanding of various Standards like CE, FCC, RoHS, MIL-461 from EMI-EMC point and being able to drive products meeting the standard and leading the validation of the product for the same.- Having good understanding of how to manage life cycle of the product and aging related issues and how to handle them upfront.- Strong fundamentals in Digital Electronics Design- Sound knowledge of FPGA or Microcontroller based designs- Good understanding of PSPICE based functionality simulation and validation- Skilled with Schematic Design tools- Very good understanding of PCB layout design for high speed interface based systems- Essential to have understanding of firmware and programming with firmware- Ability to convert requirements into design RoleEmbedded Hardware Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Tech/B.E. in Any SpecializationKey SkillsDesign And ImplementationmicrocontrollerDigital Electronics DesignFPGAschematicfirmwarepcbSkills highlighted with ‘‘ are preferred keyskills","['Design And Implementation', 'microcontroller', 'Digital Electronics Design', 'FPGA', 'schematic', 'firmware', 'pcb']",['UG :B.Tech/B.E. in Any Specialization'],"Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
RCPC,"RoleEmbedded Hardware Engineer,",Not Disclosed,4 - 6 years,Bangalore/Bengaluru,"Job description• Embedded hardware development of wireless IOT gateway, data logger and Controllers• Technologies related to PIC/ARM CPU, PMIC, USB, ethernet, Zigbee/WiFi/3G, RTOS,C etc.• Involve in battery power design, environmental proofing, site pilot test etc.• Involves in schematic / PCB design, Certification, prototyping, technical manual etc.• Liaise with software engineer, industrial designer and external vendors, completedevelopment cycle from product concept to commercialisationo Work on products that are meant to go into production.o Make clients happy by understanding them, solving their problems, and keepingthem engaged.o Identify constraints and risks on project objectives related to technical, cost, andschedule limitations.o Create schematics and PCB layouts for projects ranging from proof of concept tohigh volume productiono Work collaboratively as part of a team with diverse skills.o Provide excellent documentation for your designs from initial research tocalculations to finished specifications for manufacturing.RoleEmbedded Hardware Engineer,Industry TypeHardware & Networking,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Sc in Computers, Electronics, B.Tech/B.E. in Electronics/Telecommunication, Computers, BCA in ComputersPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey Skillshardware developmentRTOSPMICPCB designhardware engineeringSkills highlighted with ‘‘ are preferred keyskills","['hardware development', 'RTOS', 'PMIC', 'PCB design', 'hardware engineering']","['UG :B.Sc in Computers, Electronics, B.Tech/B.E. in Electronics/Telecommunication, Computers, BCA in Computers', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeHardware & Networking,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
Hiring for reputed client of Sapwood  Venture.,"RoleEmbedded Hardware Engineer,",Not Disclosed,5 - 10 years,Chennai,"Job descriptionUrgently Required Embedded Hardware EngineerRole: Embedded Hardware EngineerExperience: 5 + yearsLocation: Chennai/ BangaloreNotice Period:Less than 1 month or Immediate JoinerRoles and Responsibilities:Designing and building embedded systems (hardware and firmware).Performing tests to ensure proper integration and functioning of the systems.Troubleshooting embedded systems and diagnosing issues & flaws.Liaising with other teams, to understand the business problem and challenges, and provide solutions.Delegating work and assignments to team membersCollaborating with the team to identify and fix technical problems and day to day issuesAnalyse user requirements and provide comprehensive solutionProviding post production support.Desired Candidate Profile /Required Skillset:A bachelors degree from Electronics and Communication Engineering.Excellent hands-on experience in STM32 Microcontrollers. Work experience on LoRa/Wireless technologies is an added advantage.Good programming capability and proficiency in C and C++ programming languages.Strong knowledge of micro controller-based hardware design and development.Good knowledge of hardware architectures like AVR, NXP and STM32.Proficiency in hardware interfaces like UART, I2C, SPI and USB.Strong knowledge of transducers and analog & digital signals design.Excellent diagnostic skills.Strong analytical and problem-solving abilities.Ability to keep abreast with the latest advancements in technology and techniques.RoleEmbedded Hardware Engineer,Industry TypeElectronics Manufacturing,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :B.Tech/B.E. in Electronics/TelecommunicationKey Skillsc++uarti2cusbavrspifirmwareSkills highlighted with ‘‘ are preferred keyskills","['c++', 'uart', 'i2c', 'usb', 'avr', 'spi', 'firmware']",['UG :B.Tech/B.E. in Electronics/Telecommunication'],"Industry TypeElectronics Manufacturing,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
"TekPillar Consultants is the pioneer of organized recruitment services in India. Over the years, we have acted as preferred talent acquisition partner to multinationals and leading Indian businesses to emerge as the leading recruitment brand nationally.Website: www.tekpillar.comLinkedIn: https://www.linkedin.com/in/tekpillar/Instagram: https://www.instagram.com/itekpillar/Twitter : https://twitter.com/tekpillar?lang=en","RoleEmbedded Hardware Engineer,","₹ 15,00,000 - 30,00,000 P.A. ",5 - 10 years,Bangalore/Bengaluru,"Job descriptionRoles and Responsibilities ""We are looking Embedded Hardware Engineer in Automotive Domain for Bangalore Location""Experience: 5+ YearsLocation: BangaloreRequired SkillsExcellent functional knowledge of embedded systems including microprocessors, microcontrollers, regulators, standard digital logic ICs, and discrete semiconductors (diodes, transistors, FETs etc). Experience with designs involving PCIe, SATA, USB, Ethernet, Display & Audio interfaces.Experience with RF design, WiFi-BT/GSM/GPS ModulesExperience in circuit design & simulation. High speed digital circuit design experience using Orcad, Allegro, Altium.Experience in Automotive IOT products, ISO 16750 standards, Design Verification for Electrical Test / EMC/ CISPR 25/ ISO 7637 / Environmental testsExperience with industrial and automotive grade designs. Experience with Reliability analysis, FMEA and MTBF. Experience in Electrical Compliance for EMI/EMCGood familiarity with high-speed wireless schematics, layouts and protocols.Experience with troubleshooting / root cause techniques for electronic assemblies.Experience in using Multi-meter, Oscilloscope, Network analyzer and power supplies is required.Knowledge of design for EMI/EMC compliance and testability.Experience with NXP/TI/Renesas platforms will be added advantageGood written and oral skillsAbility to work with minimum guidanceRole & Responsibilities:Develop embedded hardware systems that includes multiple high speed processors, memories, power system, and communication systems (including wireless).Develop schematics & BOM, support PCB designer for PCB layout design, and support NPI for prototyping, Functional testing and support software team during application testing and debug.Board bring up, debugging and bug tracking.Integrate two or more such embedded systems at the communication level (I2C, UART, SPI, and CAN).Support the development of embedded systems including writing requirements, standards, manuals, test procedures and test reports.Support the development and execution of testing and troubleshoot issues during testing at both internal and external test labs.Contact Details:Share cv on drashti.d@tekpillar.comRoleEmbedded Hardware Engineer,Industry TypeElectronic Components / Semiconductors,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :Any GraduateKey SkillsAltiumAutomotiveEmbedded HardwareEMISemiconductorBluetoothCircuit DesignFMEAMicrocontrollerUSBUARTPCIEPCB LayoutSPIPCBIOTMicroprocessorsHardware EngineeringEMCEmbedded SystemsWiFiSATASkills highlighted with ‘‘ are preferred keyskills","['Altium', 'Automotive', 'Embedded Hardware', 'EMI', 'Semiconductor', 'Bluetooth', 'Circuit Design', 'FMEA', 'Microcontroller', 'USB', 'UART', 'PCIE', 'PCB Layout', 'SPI', 'PCB', 'IOT', 'Microprocessors', 'Hardware Engineering', 'EMC', 'Embedded Systems', 'WiFi', 'SATA']",['UG :Any Graduate'],"Industry TypeElectronic Components / Semiconductors,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
"TekPillar Consultants is the pioneer of organized recruitment services in India. Over the years, we have acted as preferred talent acquisition partner to multinationals and leading Indian businesses to emerge as the leading recruitment brand nationally.Website: www.tekpillar.comLinkedIn: https://www.linkedin.com/in/tekpillar/Instagram: https://www.instagram.com/itekpillar/Twitter : https://twitter.com/tekpillar?lang=en","RoleEmbedded Hardware Engineer,","₹ 15,00,000 - 30,00,000 P.A. ",5 - 10 years,Bangalore/Bengaluru,"Job descriptionRoles and Responsibilities ""We are looking Embedded Hardware Engineer in Automotive Domain for Bangalore Location""Experience: 5+ YearsLocation: BangaloreRequired SkillsExcellent functional knowledge of embedded systems including microprocessors, microcontrollers, regulators, standard digital logic ICs, and discrete semiconductors (diodes, transistors, FETs etc). Experience with designs involving PCIe, SATA, USB, Ethernet, Display & Audio interfaces.Experience with RF design, WiFi-BT/GSM/GPS ModulesExperience in circuit design & simulation. High speed digital circuit design experience using Orcad, Allegro, Altium.Experience in Automotive IOT products, ISO 16750 standards, Design Verification for Electrical Test / EMC/ CISPR 25/ ISO 7637 / Environmental testsExperience with industrial and automotive grade designs. Experience with Reliability analysis, FMEA and MTBF. Experience in Electrical Compliance for EMI/EMCGood familiarity with high-speed wireless schematics, layouts and protocols.Experience with troubleshooting / root cause techniques for electronic assemblies.Experience in using Multi-meter, Oscilloscope, Network analyzer and power supplies is required.Knowledge of design for EMI/EMC compliance and testability.Experience with NXP/TI/Renesas platforms will be added advantageGood written and oral skillsAbility to work with minimum guidanceRole & Responsibilities:Develop embedded hardware systems that includes multiple high speed processors, memories, power system, and communication systems (including wireless).Develop schematics & BOM, support PCB designer for PCB layout design, and support NPI for prototyping, Functional testing and support software team during application testing and debug.Board bring up, debugging and bug tracking.Integrate two or more such embedded systems at the communication level (I2C, UART, SPI, and CAN).Support the development of embedded systems including writing requirements, standards, manuals, test procedures and test reports.Support the development and execution of testing and troubleshoot issues during testing at both internal and external test labs.Contact Details:Share cv on drashti.d@tekpillar.comRoleEmbedded Hardware Engineer,Industry TypeElectronic Components / Semiconductors,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryHardwareEducationUG :Any GraduateKey SkillsAltiumAutomotiveEmbedded HardwareEMISemiconductorBluetoothCircuit DesignFMEAMicrocontrollerUSBUARTPCIEPCB LayoutSPIPCBIOTMicroprocessorsHardware EngineeringEMCEmbedded SystemsWiFiSATASkills highlighted with ‘‘ are preferred keyskills","['Altium', 'Automotive', 'Embedded Hardware', 'EMI', 'Semiconductor', 'Bluetooth', 'Circuit Design', 'FMEA', 'Microcontroller', 'USB', 'UART', 'PCIE', 'PCB Layout', 'SPI', 'PCB', 'IOT', 'Microprocessors', 'Hardware Engineering', 'EMC', 'Embedded Systems', 'WiFi', 'SATA']",['UG :Any Graduate'],"Industry TypeElectronic Components / Semiconductors,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryHardware
