company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
bangalore,"RoleSystem Administrator / Engineer,","₹ 18,00,000 - 20,00,000 P.A. ",10 - 13 years,Bangalore/Bengaluru,"Job descriptionRoles and Responsibilities  IT Operations Manager with Infrastructure skills, Any experience wintel,vm ware adminLooking for immediate to 10days joiner Interested means kindly share your  resume on shanthi.mailan@adecco.comDesired Candidate Profile Replay with updated resumeCurrent organiztion official Notice period:currently Serving Notice :Yes/No,(mention within how many days will join with us)Current CTC:Expected CTC:Location preferred:Desired Candidate Profile Perks and Benefits RoleSystem Administrator / Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :Any GraduateKey SkillsIT Infrastructure ManagementIT OperationsSkills highlighted with ‘‘ are preferred keyskills","['IT Infrastructure Management', 'IT Operations']",['UG :Any Graduate'],"Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
Leading Client,"RoleHR Operations - Other,",Not Disclosed,7 - 12 years,Bangalore/Bengaluru,"Job descriptionWhat the role entails :(Key Responsibilities) :- Own HR Operations for India employee - Entire Lifecycle- Employee Records/File management- Statutory compliance- Drive benefits administration- Will be responsible for creating and executing processes related to HR Operations - payroll process, contract employment, Lifecycle updations, Increment administration etc.- SPOC for grievances related to HRIS, benefits, payroll etc.- S/he will develop a broad understanding of all HR programs, and provide support in execution in areas of Benefits, Policy Making and Talent Management & Analytics.- Driving strong sense of integrity, ethics and culture in the organization by having tight controls and policies.- Anticipate potential compliance issues and take pre-emptive measures to negate or manage the risks.What we are looking for in you :(Skills, Knowledge, Special Attributes, Mobility) :- Strong exposure to different facets of HR - Operations- Excellent communication and facilitation skills- Demonstrated ability to manage organizational change- Ability to Independently work and execute- Global Mind set, System & Process Orientation, Good Interpersonal skillsRoleHR Operations - Other,Industry TypeIT Services & Consulting,Functional AreaHuman Resources,Employment TypeFull Time, PermanentRole CategoryHR OperationsEducationUG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsHR Operationsbenefits administrationFile managementStatutory complianceHRSkills highlighted with ‘‘ are preferred keyskills","['HR Operations', 'benefits administration', 'File management', 'Statutory compliance', 'HR']","['UG :Any Graduate', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaHuman Resources,","Employment TypeFull Time, Permanent",Role CategoryHR Operations
Shell India Markets Private Limited,"RoleIT Operations Management,",Not Disclosed,15 - 18 years,Bangalore/Bengaluru,"Job descriptionThe RoleIDT Operations Manager is a key role within Sectors Decarbonisation & Global Lubricants Information & Digital Technology Service & Operations Management (SOM) teams that consists of fast-growing portfolios in Global Lubricants and Sectors & Decarbonisation Business.We are looking for a highly flexible and adaptable individual who has high resilience to ambiguity, uncertainty, and transformational change.Where you fit inThe IDT Operations Manager is accountable for the overall management of operations and service delivery along with implementing Artificial Intelligence & Future of Operations roadmap. The Operations Manager ensures that services provided by third parties are secure and reliable while exercising contractual clauses to ensure key KPIs (e.g., Critical Service Levels, Key Measures) are upheld and owns the IDSO contracts with key Infrastructure Service Providers and Application Suppliers.The Operations Manager acts as the escalation point between IDT, business, and 3rd party for any deterioration in service levels. The Operations Manager will have end to end accountability for the application landscape performance, IDT control effectiveness, budget management, Supplier management and stakeholder management (operations, innovation, business confidence and financials) which includes working across a delivery chain that involves many players: applications, infrastructure, software vendors, outsource partners, business partners etc. to meet business defined service levels.What is the roleThe IDT Operations Manager is responsible in supporting delivery of the day-to-day application and infrastructure services according to the agreed Service Levels and Operate Level Agreements. They are experts in their field providing efficient and effective support and services whilst ensuring compliancy. Depending on area of expertise, the IDT Operations Managers (team members) may be part of a DevOps team improving product features and flow reliability and security. In areas where there are Business Critical products and applications, the IDT Operations Manager in that role ensures the integrity of the application and infrastructure landscape (in most cases 24 X7), works with appropriate parties for BC incident resolution.The IDT Operations Manager is also accountable for supportability and transition activities of enhancements and project solutions. This includes analysing and understanding business functional and non-functional requirements for supportability impact, as well as assessing implications of landscape and portfolio changes and reviewing for enhancement and continuous improvement opportunities.Principal Accountabilities:Ensure reliable, secure, and affordable IDT landscape operationsStakeholder management and engagement in Business and IDT OrganizationSupplier management, performance, and engagement.Implement Artificial Intelligence Operations & Future of Operations roadmapFinancial management such as Budget, contracts, Invoices, Accruals, Latest EstimatesIDT, Regulatory, Compliance Controls effectiveness and operationsDeliver through others and able to influence stakeholdersCoaches, mentors and provide leadership to team membersStrong focus on business value, customer centricity and business impactEnsures key services for product lines are measured, monitored, raising alerts when neededAccountable for reviewing the landscapes for enhancement and continuous improvement opportunities.Resolve incidents or problems, conduct root cause analysis and Major Problem ReviewsDrive efficiencies in systems and process: capacity planning, performance tuning, monitoring, ITIL processes etc.Assist projects in operational readiness activitiesPart of product line team delivering business capability and valueContinuous Improvement activities for landscape enhancementEstablish solutions to known errors to expedite resolution of incidents and performs root cause analysis to minimize reoccurrence.Change/release management including automation of Deployment and Configuration (CI/CD)Accountable for Operational Readiness for new demand, changes and projects impacting the portfolio and provides sign off, with Agreement to Deploy and Agreement to Operate as key milestones.Accountable for the identification of systemic issues on application landscapes, driving structural improvements while balancing costs with business value; supporting Service Operations Management (SOM) in optimizing landscape Total Cost of Ownership.Accountable for coordination of Disaster Recovery (DR) plans and Test execution for the critical business applications within the landscape including maintaining the application and infrastructure landscape documentation on an annual basis, document failover process, criteria, and timingsAct as the escalation point for operation-related issues.What we need from you15 + years of IT Operations, IT delivery experience.Minimum Education or Certification: 4-year Degree related to ITSelf-starter with Good analysis and problem-solving skills.Experience in IT applications support, ITIL processes and IT services management.Ability to deal with conflict and ambiguity effectivelyA good understanding of large-scale distributed systems in practice, including multi-tier architectures, application security, monitoring, and storage systemsProven record of delivering against stretch targets and has learner mindsetStrong stakeholder, interpersonal, communication, and negotiation skillsProven ability to deliver results in a matrix organization driving delivery excellence through influence and team working.Ability to operate in a virtual cross-cultural organizationAbility to take periodic calls outside of working hours to facilitate working in a global environment.Be end-to-end accountable for the Operate Landscape lifecycle. RoleIT Operations Management,Industry TypePetrochemical / Plastics / Rubber,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateKey SkillsIT Operationsperformance tuningIT services managementTest executionIT applications supportArtificial Intelligence OperationsSupplier managementIT deliveryITIL processesStakeholder managementroot cause analysisIDT landscape operationsSkills highlighted with ‘‘ are preferred keyskills","['IT Operations', 'performance tuning', 'IT services management', 'Test execution', 'IT applications support', 'Artificial Intelligence Operations', 'Supplier management', 'IT delivery', 'ITIL processes', 'Stakeholder management', 'root cause analysis', 'IDT landscape operations']","['UG :B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate']","Industry TypePetrochemical / Plastics / Rubber,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
"Aeries Technology Group is a global services company offering technology, BPM and outsourcing solutions to organisations seeking higher operational effectiveness, greater flexibility and lower operating costs. We offer business value to our clients by combining operational excellence with deep domain expertise. Our bespoke solutions drive agility and excellence in our client?s business processes. Our deep domain expertise, client partnership approach and global delivery network help create sustainable business efficiency for our clients.","RoleNetwork Manager / Administrator,",Not Disclosed,6 - 9 years,Bangalore/Bengaluru,"Job description       Position Description      Constant Contact is seeking a Technical Operations Manager to manage engineers across the TechOPS IT team. This position will manage multiple, different technical operations teams and is expected to oversee complex business critical projects. The ideal candidate will meet timelines with optimal solutions, can recommend alternative technical and business approaches, and is a collaborative and influential team player able to effectively work across multiple teams.     Requirements    10 years of experience in the operations space.   3 years of experience managing engineers.   Experience working on large scale systems.   Experience building distributed systems in a Cloud Computing environment such as AWS strongly preferred.   Be a proponent of proper documentation.   Ability to work in a deadline focused, dynamic environment.   Ability to facilitate learning and collaboration by expressing strategy, technical knowledge, and processes in easily understood terms.   BS in Computer Science or related field or equivalent experience.        Specific Responsibilities    Grow and retain a team of Operations Engineers across IT.   Set high-performance standards, foster a culture of operational excellence.   Provide career development and support to individual contributors.   Be a trusted advisor to leadership and peers.   Collaborate with stakeholders, engineers and product owners to establish long term vision, set objectives and build technical roadmaps.   Identify and manage priorities within the context of overall CTCT objectives.   Regularly and proactively communicate status, risks, and other issues related to current work under development.   Manage on-call rotations and continuous support as needed.      RoleNetwork Manager / Administrator,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSocial media marketingComputer scienceCloud computingCareer developmentTechnical operationsOperational excellenceEmail marketingIT operationsEvent marketingDistribution system","['Social media marketing', 'Computer science', 'Cloud computing', 'Career development', 'Technical operations', 'Operational excellence', 'Email marketing', 'IT operations', 'Event marketing', 'Distribution system']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
" About TresVistaTresVista is a global enterprise offering a diversified portfolio of services, including investment diligence, industry research, business development, fund administration, accounting, and data analytics. Working with a wide array of clients, including asset managers, advisors, corporates, and entrepreneurs, TresVista currently has over 1,000 employees across offices in Mumbai, Pune, Bengaluru, New York, London, and Singapore and provides high-caliber support and operating leverage for over 1,000 clients across geographies and asset classes. TresVista is a Great Place to Work-Certified from February 2022 - February 2023 by the Great Place to Work®.","RoleIT Operations Management,",Not Disclosed,5 - 8 years,Pune,"Job description Role & Responsibilities:Managing day-to-day IT operations, including but not limited to monitoring system performance, configuration, maintenance, and repairEnsuring that records of system downtime and equipment inventory are properly maintainedDeveloping a new system and applying implementation plans, custom scripts, and testing procedures to ensure operational reliabilityTroubleshooting as required, which further leads to problem-solving efforts often involving outside vendors and other support personnel and organizations Following the guidelines and methods for installation and management of the host computer operating systems, disk arrays, fiber channel switches, tape libraries, and other componentsAdministering and supporting core Microsoft, Cisco, Citrix, and VMware technologiesAssisting with hardware, firewall, telecom, and software vendor evaluation, recommendation, and negotiationsMentoring and training team members on existing and new technologiesEnsuring high availability and acceptable levels of performance of mission-critical host computer resourcesDeveloping procedures to maintain security and protect systems from unauthorized use, acts of nature, and user abuseDeveloping procedures, programs, and documentation for backup and restoration of host operating systems and host-based applicationsHandling the data center and computer host systems including hardware, software, and equipment such as air-conditioning system, uninterrupted power system (UPS), and fire protection systemPrerequisites:Experience in infrastructure architecture, data centers, servers, and networksMicrosoft (MCSE, MCITP), Cisco (CCNA, CCNP), or equivalent certifications would be preferredManaging large scale Citrix/2X/Terminal Server installationsA solid understanding of LAN/WAN networkingGroup Policy design and configurationMicrosoft IIS administration and configurationStrong knowledge of multiple technologies including but not limited to Servers, Virtualization, VMWare, Hyper-Converged Infrastructure, SAN, TCPIP, Office365, UTM, Symantec, wireless LAN, Citrix, etc.Experience:5 - 8 years of relevant work experienceEducation:Any graduateCompensation: The compensation structure will be as per industry standardsRoleIT Operations Management,Industry TypeFinancial Services,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduateKey Skillsinfrastructure architectureCitrixdata centersTerminal Server installationsSkills highlighted with ‘‘ are preferred keyskills","['infrastructure architecture', 'Citrix', 'data centers', 'Terminal Server installations']",['UG :Any Graduate'],"Industry TypeFinancial Services,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
"DXC is the worlds leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Created by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise, DXC Technology is a $25 billion company with a 60-year legacy of delivering results for thousands of clients in more than 70 countries. Our technology independence, global talent and extensive partner network combine to deliver powerful next-generation IT services and solutions.","RoleTechnical Architect,",Not Disclosed,6 - 10 years,Bangalore/Bengaluru,"Job description  1. Good Project Management Skills   2. Through understanding of Data Centres, should be able to Architect build Solutions from ground up   3. In depth understanding of Bandwidth Scoping, Networks,   4. Understanding of Sever Builds, Application foot printing   5. Good knowledge of Backup Solutions and tools   6. Skilled in IT Security   7. Understanding of DC related New Solutions Organic Growth   8. Should be able to solution and scope with Costing    RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPrintingassociate manager itArchitectCostingIT securityProject management","['Printing', 'associate manager it', 'Architect', 'Costing', 'IT security', 'Project management']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"We're a team of 7000+ Atlassians supporting an international group of 250,000+ customers. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned.","RoleProduct Manager,",Not Disclosed,10 - 20 years,Bangalore/Bengaluru,"Job description   You will focus on building/enhancing ITOPs capabilities for Atlassians IT solutions    You will help unify and define multiple ITOPs capabilities (incident management, alert management, analytics, mobile apps, and more) across ITSM and DevOps markets   This is a strategic role that requires you to directly drive complex areas and help a small PM team to lead specific features   This role will require you to independently create strategies, and influence/align multiple teams both internally and externally   You will help the leadership in long term planning and team development      10+ years of PM experience building enterprise software products and/or tech services and/or platforms   3 years of experience in ITSM, ITOPs, DevOps or related product management   Have led or guided PMs and engineers in building complex products or platform (large TAM)   Have understanding of cloud tech, IT and Dev environments   Have written multiple vision/strategy documents and internal/external technology talks   Have worked in large-scale collaborative companies across timezones   Experience with enterprise IT org structures, buying/refresh/adoption cycles   Experience working directly with customers in collaboration with sales/systems engineering teams for large deployments or deals.  RoleProduct Manager,Industry TypeIT Services & Consulting,Functional AreaProduct Management,Employment TypeFull Time, PermanentRole CategoryProduct Management - TechnologyEducationUG :Any GraduatePG :Any PostgraduateKey SkillsProduct managementTAMdevopsITSMCloudManager TechnologyIncident managementdigital transformationEnterprise softwareAnalytics","['Product management', 'TAM', 'devops', 'ITSM', 'Cloud', 'Manager Technology', 'Incident management', 'digital transformation', 'Enterprise software', 'Analytics']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaProduct Management,","Employment TypeFull Time, Permanent",Role CategoryProduct Management - Technology
** ALL DETAILS WILL BE SHARED WITH SHORTLISTED CANDIDATES **,"RoleSales Support & Operations - Other,","₹ 30,00,000 - 45,00,000 P.A. ",10 - 15 years,Bangalore/Bengaluru,"Job description- SKILLED USE OF SFDC - SALESFORCE.COM- ACCOUNT PLANNING , MONITORING & TRACKING ( WEEKLY / MONTHLY / QUARTERLY )- REVENUE FORECASTING , TRACKING REALIZATION- HANDLE MULTIPLE CLIENTS - HANDLE SALES ORDER BOOK OF 1000 CR PARequired Candidate profile10+ YEARS EXPERIENCE IN SALES OPERATIONS IN IT SERVICES COMPANIESEXCELLENT COMMUNICATIONS TO INTERACT WITH CLIENTSSTAKEHOLDER MANAGEMENTBASED IN BENGALURU ( BANGALORE )RoleSales Support & Operations - Other,Industry TypeIT Services & Consulting,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategorySales Support & OperationsEducationUG :Any GraduateKey SkillsSales OperationsIT ServicesSalesforceSalesforce AdministrationSkills highlighted with ‘‘ are preferred keyskills","['Sales Operations', 'IT Services', 'Salesforce', 'Salesforce Administration']",['UG :Any Graduate'],"Industry TypeIT Services & Consulting,","Functional AreaSales & Business Development,","Employment TypeFull Time, Permanent",Role CategorySales Support & Operations
Call Deepak @+91 9446432235 or Email : deepak@myitbridge.com,"RoleIT Operations Management,","₹ 18,00,000 - 25,00,000 P.A. ",10 - 14 years,Bangalore/Bengaluru,"Job descriptionCandidates with 12 years of experience as Business Operations Manager in  Cloud, IT Infrastructure, Networking, Cybersecurity, IT Procurement & IT Managed Services. Experience heading an independent unit in IT Infrastructure domain.,Required Candidate profileBuild, Develop and expand the Technical Support Centre, Operations management. Exposure with Networking tools, Cloud, Cybersecurity and project management tools.RoleIT Operations Management,Industry TypeIT Services & Consulting,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :B.Tech/B.E. in Any SpecializationKey SkillsCyber SecurityNetworkingCloud ServicesIT Infrastructure ManagementIT InfrastructureIT Infrastructure ServicesTechnical SupportBusiness OperationsIT Service DeliveryOperations ManagementSkills highlighted with ‘‘ are preferred keyskills","['Cyber Security', 'Networking', 'Cloud Services', 'IT Infrastructure Management', 'IT Infrastructure', 'IT Infrastructure Services', 'Technical Support', 'Business Operations', 'IT Service Delivery', 'Operations Management']",['UG :B.Tech/B.E. in Any Specialization'],"Industry TypeIT Services & Consulting,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
" About MPSMPS, a leading global provider of platforms and content solutions for the digital world, was established as an Indian subsidiary of Macmillan (Holdings) Limited in 1970. The long service history as a captive business allowed MPS to build unique capabilities and talents through strategic partner programs. MPS is now a global partner to the worlds leading enterprises, learning companies, publishers, libraries, and content aggregators. After change of majority stake in 2011-12 and with an entrepreneurial mindset MPS developed significant momentum as a result of consistent reinvestment in the business and five successful acquisitions in the same number of years. MPS is listed on the major stock exchanges in India with a market capitalisation upward of INR 1,000 crores. More than 2,500 professionals power MPS across seven delivery centers in India and seven client-servicing offices in the US. Websitewww.mpslimited.com ","RoleIT Infrastructure Services - Other,","₹ 12,00,000 - 15,00,000 P.A. ",8 - 12 years,Noida,"Job description Primary Duties & Responsibilities:We, at MPS Limited, are looking for Manager IT Infrastructure, who will be responsible for overall IT day to day operations to improve infrastructure costs, performance and end users satisfaction with minimum escalation. As a Manager IT Infrastructure - your primary responsibilities would include-Good knowledge/familiarity of Server Virtualization, clustering, consolidation as well as data Backup solutions.In-depth Knowledge on AWS architecture, open source implementation and Linux.In-depth knowledge of LAN/ WAN topology, protocols, VLANs, QOS, VPNs, TCP/IP, Routing, Switching and Firewall.In-depth knowledge of Server administration including AD, DHCP, DNS, WSUS, FTP, Proxy, Webserver etc. used in an IT enterprise environment.Good knowledge of standard and frameworks e.g. ISO27001, ISMS, QMS, PCI-DSS, ITIL, GDPR and ensure the compliance.Ensure the all process, procedures and policies of IT Operation are reviewed on time and up to date. Exposure to IT enterprise environment, including using of change management practices, incident management processes, and ownership of support cases opened / logged with IT team and IT vendors.Hands on experience in problem identification and resolution for industry standard hardware platform.Experience on Monitoring / logging tools for servers and networks.Manage the BCP and DR requirement as per company policies on-prem Infrastructure as well as Public/Private cloudExcellent technical knowledge of server room environments including racks, Structured and UTP cabling standards, Server room power distribution and management, cooling and physical security. Lead IT asset management to ensure assets full lifetime cycle value is achieved. Detailed Technical and Administrative skills:-Active directory, DHCP, DNS, FTP and SMTPMicrosoft 365 portalDell Blade server, Nutanix Server and VMWare Security updates deploymentKnowledge of WSUS, SCCMData backup, retention policies and restoration testingVLAN creation, SSL VPN InfraCommissioning and maintenance MPLS, ILLRouting and switching (including Firewall configuration /management)Network commissioning, monitoring & supportIT Security products i.e. Antivirus, IPS signatures, Forte Gate firewalls etc.Writing IT SOPs, procedures, and policies as per ISO standard Team management capabilitiesDocumentation and computer system validationSoftware licensing knowledge, asset management and IT complianceVendor managementHardware support, IT asset management & E- wasteUser & Role ManagementIT budget preparationMonthly IT report generationQualificationUG/PG degree in Engineering/Technology or equivalent degree from a reputed institution8-12 years of experience in Managing IT Infrastructure and IT Operation Higher level Microsoft/networking/info security qualification/accreditation Ability to work effectively & guide technical team members. Degree qualification in IT-related discipline Highly self-motivated; able to operate autonomously in a dynamic environment Strong oral and written communication skills.Ability to multitaskGood time management skills.Please note:- We are looking for immediate joiner only (max. NP 20 days).RoleIT Infrastructure Services - Other,Industry TypeIT Services & Consulting,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :BCA in Any Specialization, B.Tech/B.E. in Any SpecializationKey Skillsit infrastructure managementit asset managementIT Operations ManagementIT Service Delivery ManagementVendor ManagementSkills highlighted with ‘‘ are preferred keyskills","['it infrastructure management', 'it asset management', 'IT Operations Management', 'IT Service Delivery Management', 'Vendor Management']","['UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization']","Industry TypeIT Services & Consulting,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
