company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
Replicon Software (India) Pvt Ltd,"RoleMIS Manager,",Not Disclosed,6 - 10 years,Bengaluru,"Job description  Key Responsibilities:      Lead the development of the company s information systems strategy, working collaboratively with the management team.    Develop and oversee process, configuration, and limited customization activities and ensure they meet business requirements.    Ability to acquire a deep business understanding of every department and translate requirements into systems.    Analyse technology, industry and market trends to determine potential impact on the organization.    Effectively manage daily activities of the team, ensuring high quality of systems and data, security and tactical issue resolution.    Establish and maintain an IS Continuity Program to mitigate damage/loss from any incident; quickly restore technology services and IS operations after an incident.    Work closely with internal and external parties to ensure service delivery and system availability.      Compliance:      Managing and ensuring all system and customer data retention requirements in are met as per law and compliance frameworks    Ensure adherence to company policies, with periodic review of regional application      Qualification:      Bachelor of Computer Science, Management Information Systems or equivalent degree, with preference for additional business education.    Minimum of 5 years proven, progressive experience within an IS environment, with specific experience related to cloud-based infrastructure.    Demonstrated experience leading the delivery of CRM and ERP systems for a growing company    Significant project management experience in managing budgetary resources, technological resources and suppliers.    Experience leading a small, focused team in an environment with multiple demands and a lean structure.    Experience in continuously interacting, participating and soliciting input from a multidisciplinary team of professionals.    Experience working with business departments in the selection, deployment and on-going support of IS systems.    Knowledge of IS and cloud computing practices and procedures, including the tools used to implement.    Successful track record of managing effective relationships with technology vendors and suppliers.    Excellent verbal and written communication skills with the ability to synthesize complex technical concepts into plain language.    Strong problem solving and critical thinking skills with a proven ability to source and implement practical, scalable and efficient business solutions on a timely basis.     RoleMIS Manager,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDBA / Data warehousingEducationUG :B.Sc in ChemistryPG :Post Graduation Not RequiredKey SkillsComputer scienceCloud computingERPdata securityProject managementManager TechnologyIssue resolutionBusiness solutionsCRMBusiness operations","['Computer science', 'Cloud computing', 'ERP', 'data security', 'Project management', 'Manager Technology', 'Issue resolution', 'Business solutions', 'CRM', 'Business operations']","['UG :B.Sc in Chemistry', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDBA / Data warehousing
"Founded in 1976, CGI is among the largest IT and business consulting services firms in the world. Operating in hundreds of locations across the globe, CGI delivers end-to-end services and solutions, including strategic IT and business consulting, systems integration, intellectual property, and managed IT and business process services","RoleFinancial Analyst,",Not Disclosed,1 - 3 years,Bangalore/Bengaluru,"Job description Key interface between business and finance teams  Active participation in the planning and budgeting exercise and ensure appropriate targets are assigned in line with the growth strategy of the BU and in line with the management guidance and projections  Accountable for producing and validating presentations for executive reviews (Annual Business Plans, Quarterly Global Operations, Monthly BU/SBU reviews, BU Cabinet reviews, etc.)  Design and implement key performance indicators to track and review major profit levers/parameters providing early warning signals to all stake holders for corrective action  Produces and analyzes a range of Management Information System (MIS) reports gauging various performance metrics of the BU   Manages queries of the BU and support in decision making  Supports Business Leaders in simulating the impact of various business circumstances to the Financials  Tracks variances, explanations and recommend corrective actions  Enhances project managers visibility into financial information and aide in improving their financial prudence & training key stakeholders   Ensures Accuracy and timeliness in producing reports and analysis, and drives process improvements   Knowledge and Skills Required:   Service oriented attitude  Excellent Business Acumen  Superior understanding of Financial Analysis and Accounting principles  Top notch analytical and problem solving abilities  Consulting and communicative capabilities  MS Excel and PowerPoint skills      Skills:    Finance   RoleFinancial Analyst,Industry TypeIT Services & Consulting,Functional AreaFinance & Accounting,Employment TypeFull Time, PermanentRole CategoryFinanceEducationUG :Any GraduatePG :Any PostgraduateKey SkillsCGIFinancial analysisAnalyticalConsultingBudgetingBusiness servicesmanagement information systemdigital transformationSkills highlighted with ‘‘ are preferred keyskills","['CGI', 'Financial analysis', 'Analytical', 'Consulting', 'Budgeting', 'Business services', 'management information system', 'digital transformation']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaFinance & Accounting,","Employment TypeFull Time, Permanent",Role CategoryFinance
"Universal Manpower Online aims to provide quality service to job seekers and genuinely help  in connecting with the right companies. We are doing hiring for MNC BPOs, KPOs and LPOs in Delhi, Gurgaon, Noida, Mumbai, Hyderabad and Bangalore.","RoleOther,","₹ 4,50,000 - 5,00,000 P.A. ",1 - 6 years,Bangalore/Bengaluru( Bellandur ),"Job descriptionRole is of  Analyst - Work Force Management Employment is on company payrollCandidate should be from BPO background onlyMinimum two years experience in similar roleShift 7 am to 1 am  any 9 hoursCall 9315508814,  9289057961Required Candidate profileMinimum two years experience in WFM roleExcellent skills in Excel and VBAReporting experience of call center metricsImmediate joiners neededRoleOther,Industry TypeBPO / Call Centre,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :Any GraduateKey SkillsWFMMIS PreparationRosteringSchedulingAdvanced ExcelMacroslead wfmVBAWorkforce ManagementAvaya CMSReal Time AnalysisMISwfm excecutivecall center  metricsManagement Information SystemRTASkills highlighted with ‘‘ are preferred keyskills","['WFM', 'MIS Preparation', 'Rostering', 'Scheduling', 'Advanced Excel', 'Macros', 'lead wfm', 'VBA', 'Workforce Management', 'Avaya CMS', 'Real Time Analysis', 'MIS', 'wfm excecutive', 'call center  metrics', 'Management Information System', 'RTA']",['UG :Any Graduate'],"Industry TypeBPO / Call Centre,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
"Universal Manpower Online aims to provide quality service to job seekers and genuinely help  in connecting with the right companies. We are doing hiring for MNC BPOs, KPOs and LPOs in Delhi, Gurgaon, Noida, Mumbai, Hyderabad and Bangalore.","RoleOther,","₹ 5,00,000 P.A. ",2 - 7 years,Bangalore/Bengaluru( Bellandur ),"Job descriptionRole is of Analyst - Work Force Management Employment is on company payrollCandidate should be from BPO background onlyMinimum two years experience in similar roleShift 7 am to 1 am  any 9 hoursCall 9315508814, 9289062361Required Candidate profileMinimum two years experience in WFM roleExcellent skills in Excel and VBAReporting experience of call center metricsImmediate joiners neededRoleOther,Industry TypeBPO / Call Centre,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :Any GraduateKey SkillsWFMMIS PreparationRosteringSchedulingAdvanced ExcelMacrosWorkforce Planninglead wfmVBAWorkforce ManagementAvaya CMSReal Time AnalysisMISwfm excecutivecall center  metricsManagement Information SystemRTASkills highlighted with ‘‘ are preferred keyskills","['WFM', 'MIS Preparation', 'Rostering', 'Scheduling', 'Advanced Excel', 'Macros', 'Workforce Planning', 'lead wfm', 'VBA', 'Workforce Management', 'Avaya CMS', 'Real Time Analysis', 'MIS', 'wfm excecutive', 'call center  metrics', 'Management Information System', 'RTA']",['UG :Any Graduate'],"Industry TypeBPO / Call Centre,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
" Pippin is a real estate tech start-up specializing in title services in the US. Through our advanced technology, we help insurance companies, property developers, governments, and financial institutions to produce title documents quickly and easily for residential and commercial properties. ","RoleMIS Executive,",Not Disclosed,4 - 9 years,Bangalore/Bengaluru( Electronics City Phase 1 ),"Job description Senior Analyst - MISResponsibilitiesThe successful candidate will use cross-functional team coordination experience and excellent communication skills to support various data analysis and dashboarding functions.Duties and responsibilities will include, but are not limited to:Provide operational support for dashboarding/reporting to included ongoing management and collection of data covering various operational functions to include:Single point of contact for all data in the organization, responsible for authentic and accurate information.Creating and maintaining productivity and quality reports for individuals, teams, and organizational levels periodically (daily, weekly, monthly quarterly, and annually).Creating and maintaining incentive reports for individuals, team leads, and teams.Creating and maintaining performance reports of all individuals, team leads, and managers.Provide input into requirements for dashboarding/reportingWork directly with content owners and understand the authoritative data sources for data pointsExecute the processes to pull data from the program authoritative datasources and create high-quality dashboards and/or reportsCreate visual representations that clearly depict program information and status (eg: Knowledge test results, Training results, Trainee performance details, etc.).Contribute to program deliverables related to reporting (i. e. Weekly, Monthly, Quarterly, Annual performance Reports, etc.)Provide suggestions to improve the dashboarding and reporting processesCreating routine and ad hoc reports, ensuring they are operations readyProvide an oral and written discussion of analytical findings using narrative and graphic formsDevelop and/or recommend additional mechanisms to track and report the implementation of initiatives, guidance, and controls across the customer environmentBasic QualificationsBachelor's degree in any field or related field with a minimum of 2-4 years of related experience.Minimum 2 years of experience in data analysis, stat using, monitoring, and reportingExcellent verbal communication skillsAbility to submit high-quality dashboards and reports and follow quality standards outlined by the Quality Management teamAble to provide data efficiently and effectively to stakeholders with high quality and integrityExcellent analytical and problem-solving skillsExperience with Microsoft Office.Experience with MS Access.Optimistic attitude, poise, and team playerPreferred Qualifications • Preferred familiarity with Google Sheets, Microsoft Excel.. Good to have basic power BI and Tableau but not mandatory.  4 plus years of experience.RoleMIS Executive,Industry TypeIT Services & Consulting,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryOperations SupportEducationUG :Any GraduateKey SkillsmisManagement Information SystemData Validationdata analysisCountifms accessFormulasConditional FormattingMacrosHLOOKUPdashboardsPivot TableSUMIFExcelquality managementVLOOKUPms officeSkills highlighted with ‘‘ are preferred keyskills","['mis', 'Management Information System', 'Data Validation', 'data analysis', 'Countif', 'ms access', 'Formulas', 'Conditional Formatting', 'Macros', 'HLOOKUP', 'dashboards', 'Pivot Table', 'SUMIF', 'Excel', 'quality management', 'VLOOKUP', 'ms office']",['UG :Any Graduate'],"Industry TypeIT Services & Consulting,","Functional AreaCustomer Success, Service & Operations,","Employment TypeFull Time, Permanent",Role CategoryOperations Support
"The Manufacturers of India's leading watch brand and India's only national jewellery brand - using design, technology and people for unchallenged market leadership.	Joint Venture between India's most respected business organization - the Tata Group and the Tamil Nadu Industrial Development Corporation (TIDCO), World's sixth largest manufacturer brand of watches and India's leading producer of watches under the Titan and Sonata brand names.	Product portfolio includes watches, clocks, accessories and jewellery, in both contemporary and traditional designs.	Exports watches to about 40 countries around the world with manufacturing facilities in Hosur, Dehradun, Goa and manufactures precious jewellery under the Tanishq brand name, making it India's only national jewellery brand.	Exports Tanishq jewellery to Europe, U.S.A., Middle East and Australia.	Extensive domestic distribution network, amongst the world's largest retail chain of exclusive retail showrooms called 'The World of Titan' with 164 showrooms and multibrand outlets named Time Zones with 144 outlets for watches.	Titan watches crossed 50 Million customers- an endorsement of customer delight.	 The Tanishq Jewellery Division has 83 Tanishq boutiques.","RoleMarketing - Other,","₹ 2,00,000 - 3,50,000 P.A. ",1 - 3 years,Bangalore/Bengaluru( Electronic City ),"Job descriptionRoles and Responsibilities MIS/Data reportingPO+invoices managementMaterial tracking, Fixtures/VM tracking, Basic coordination job in marketing campaigns,Printing of POSM. RoleMarketing - Other,Industry TypeRetail,Functional AreaMarketing & Communication,Employment TypeFull Time, Temporary/ContractualRole CategoryMarketingEducationUG :Any GraduateKey SkillsmisAdvanced ExcelMarketing Executivemarketing campaignsManagement Information SystemSkills highlighted with ‘‘ are preferred keyskills","['mis', 'Advanced Excel', 'Marketing Executive', 'marketing campaigns', 'Management Information System']",['UG :Any Graduate'],"Industry TypeRetail,","Functional AreaMarketing & Communication,","Employment TypeFull Time, Temporary/Contractual",Role CategoryMarketing
"VARITE is a global IT company providing software consulting and staffing services to Fortune 1000 Companies in USA, CANADA and INDIA. VARITE is currently a primary and direct vendors to the leading corporations in the areas of Networking, Infrastructure Application Software, Semiconductor, EAI, Portal technologies, ERP, Wireless Service Providers, Lending - Mortgage and Financial Services.","RolePMO Executive,",Not Disclosed,6 - 10 years,Bangalore/Bengaluru,"Job description    Manages a broad, complex portfolio of projects   Projects will have large teams and will be globally dispersed, both with IT and business team members   The projects and programs usually have global impact and have complex business and technicalchallenges   Defines program value proposition, work plan, resource needs, timeline and budget for global programs   Viewed internally as a project management expert   Monitors project performance in the Project Reporting System   Conducts project management (PM) Metrics and Practices Reviews   Facilitates Peer Project Reviews and Management Project Reviews   Supports PM Help Desk   Manages multiple simple or standard projects or at least one larger, more complex project   In addition to regular project communications,responsible to prepare, present, and distribute project information to both internal and external stakeholders; may be asked to represent the organization to clients, the public, or government   Contributes to the area through delivery of end results and contribution to planning for the area   Provides thought leadership, guidance and advice in own field   Works across the organization to effectively obtain and allocate resources to complete programs and projects on time   Adapts communication techniques for audiences at multiple internal and external levels   Presents facts and information to negotiate mutually acceptable solutions   Delegates clearly and comfortably   Cultivates, develops and manages strong, lasting client relationships at senior management level   May manage vendor relationships   Exceptional understanding of IT project management principles and techniques   Exceptional expert proficiency in the specific tools that are available and required as part of the company s project management information system   Exceptional ability to identify, develop and quantify any required corrective action plans   Exceptional ability to ensure that effective project controls are in place to monitor project or program performance   Exceptional capability at providing effective performance reporting for the client and company in order to monitor the progress of the project   Exceptional facilitation and communication skills   Exceptional ability to lead global project teams of large scope and high complexity    RolePMO Executive,Industry TypeManagement Consulting,Functional AreaProject & Program Management,Employment TypeFull Time, PermanentRole CategoryOther Program / Project ManagementEducationUG :Any GraduatePG :Any PostgraduateKey Skillsmanagement information systemIT project managementProject reportsHelpdeskProgram managementmanagementBudgetingManagementVendorMonitoring","['management information system', 'IT project management', 'Project reports', 'Helpdesk', 'Program management', 'management', 'Budgeting', 'Management', 'Vendor', 'Monitoring']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeManagement Consulting,","Functional AreaProject & Program Management,","Employment TypeFull Time, Permanent",Role CategoryOther Program / Project Management
"TALENT ZONE Consultants is a unique and flourishing Human Resource Consultancy in Bangalore, Karnataka. This company is known for offering best recruitment solutions possible, to both IT and Non-IT industries in all over the world. We host a wide spectrum of Placement Services namely HR Services, Campus Placement, Outsourcing Services, and Manpower Recruitment Services. TALENT ZONE Consultants has gained a considerable network of contacts and a database of quality Candidates, which is generated through networking, referrals and advertising across a wide range of media. Our primary goal is to assist our clients with building the strongest management teams possible. To that end, we endeavor to thoroughly understand our clients'? staffing objectives and profile the skills and background required for a job. We effectively understand our client’s manpower requirements and have been successfully delivering to their ongoing demands that are best suited to our clients'? needs.","RoleMIS Manager,",Not Disclosed,3 - 5 years,Bengaluru,"Job description Job Openings for 2 MIS Coordinator Jobs with minimum 3 Years Experience in Dooravani Nagar Bangalore having Educational qualification of : Professional Degree, M.B.A/PGDM with Good knowledge in Microsoft Office, advanced excel, MIS Reporting, Variance Analysis, Management Information System etc.  mba is mandatory    Telecom /ISP Industry is mandatory RoleMIS Manager,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDBA / Data warehousingEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsMIS reportingTelecommanagement information systemComputer OperatorAdvanced ExcelMS OfficeVariance analysisMIS CoordinatorData Entry OperatorMIS Executive","['MIS reporting', 'Telecom', 'management information system', 'Computer Operator', 'Advanced Excel', 'MS Office', 'Variance analysis', 'MIS Coordinator', 'Data Entry Operator', 'MIS Executive']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDBA / Data warehousing
Altem Technologies (P) Limited,"RoleChannel Partner / Client Relations,",Not Disclosed,1 - 2 years,Bengaluru,"Job description  Job description     Roles and Responsibilities     Handling all basic administrative functions including user account management, reports, dashboards, workflows and routine tasks.     Manage OEM s Salesforce data feeds and other integrations.     Complete lifecycle of Customer accounts, starting from Opportunity Registrations till Real time Quote Submission in SFDC.     Setting-up new users.     Handling user account management and maintenance.     creating reports and dashboards for complete sales team.     Security and data management training for new users using Salesforce.     Management Information System (MIS reporting).     Associated with marketing to support latest trending campaigns     Listing and maintaining accurate sales forecasts, data gathering with reports for Product managers.     Manage Complete Sales Opportunities and Report.     Participate in management meetings and take responsibility for Sales Review and QBR for Sales forecast report and other assigned action items.     Requirements     Education Qualification     Preferably Graduates, preferably in Diploma/Engineering stream or must have worked in similar companies.  RoleChannel Partner / Client Relations,Industry TypePharmaceutical & Life Sciences,Functional AreaMarketing & Communication,Employment TypeFull Time, PermanentRole CategoryCorporate CommunicationEducationUG :Diploma in Mechanical, Any GraduatePG :Post Graduation Not RequiredKey SkillsMIS reportingAdministrationmanagement information systemCRM ExecutiveData managementSales forecastingAccount managementManagementManagement reportingSalesforce","['MIS reporting', 'Administration', 'management information system', 'CRM Executive', 'Data management', 'Sales forecasting', 'Account management', 'Management', 'Management reporting', 'Salesforce']","['UG :Diploma in Mechanical, Any Graduate', 'PG :Post Graduation Not Required']","Industry TypePharmaceutical & Life Sciences,","Functional AreaMarketing & Communication,","Employment TypeFull Time, Permanent",Role CategoryCorporate Communication
"We,  at NIRAMAI,  are developing a novel software to detect breast cancer at a much earlier stage than traditional methods or self- examination.  Our solution is a low cost,  accurate,  automated,  portable cancer screening tool that can be operated by a simple clinician.  Unlike mammography,  our imaging method is radiation free,  non- touch,  not painful and works for women of all ages.  The core technology of our solution is an artificial intelligence led diagnostic platform that uses patented thermal image processing and machine learning algorithms for reliable and accurate breast cancer screening.  This unique solution can be used as a cancer diagnosis test in hospitals,  used for regular preventive health checkups,  and also for large scale screening in rural and semi- urban areas.","RoleProgram Manager - Technology / IT,",Not Disclosed,7 - 12 years,Bangalore/Bengaluru,"Job description   Primary role responsibilities:     Organizing screening programs and activities in accordance with Project Goals     Develop/identify new screening programs to support the strategic objectives of Niramai     Manage the team of screening technicians in the given Zone     Manage and utilize resources across projects     Create Maintain Project Management information system      Plan, monitor ensure the overall Program/ Project progress against defined schedule     Manage risks, handle issues and take corrective action     Customer Perspective: Strive towards excellence in Customer experience feedback, Excellence in execution of the screening operations in assigned zone     Client Management: Organise manage periodic client meeting, liaise with various stakeholders in the zone and manage program documentation     Jointly plan the screening/camps at various zones.     Requirements for the role     Education Graduate/ Post Graduate     Experience of 7+ years in executing healthcare projects/ camps/ public health initiatives for NGOs, government or corporates     Strong communication and inter personal skills   RoleProgram Manager - Technology / IT,Industry TypeIT Services & Consulting,Functional AreaProject & Program Management,Employment TypeFull Time, PermanentRole CategoryTechnology / ITEducationUG :Any GraduatePG :Any PostgraduateKey SkillsClient meetingmanagement information systemInterpersonal skillsProject managementCorporateHealthcareManagementCustomer experienceClient managementPublic health","['Client meeting', 'management information system', 'Interpersonal skills', 'Project management', 'Corporate', 'Healthcare', 'Management', 'Customer experience', 'Client management', 'Public health']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaProject & Program Management,","Employment TypeFull Time, Permanent",Role CategoryTechnology / IT
