company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"Marriott International, Inc. is based in Bethesda, Maryland, USA, and encompasses a portfolio of more than 7,500 properties in 30 leading hotel brands spanning 132 countries and territories. Its heritage can be traced to a root beer stand opened in Washington, D.C., in 1927 by J. Willard and Alice S. Marriott.Marriott International is an equal opportunity employer committed to hiring a diverse workforce and sustaining an inclusive culture. Marriott International does not discriminate on the basis of disability, veteran status or any other basis protected under federal, state or local laws.Community Guidelines: We reserve the right to remove without any notice content that we determine in our sole discretion is offensive or illegal, contains personally identifiable information, trademarks or copyrights belonging to a third party, advertises a third partys products or services, or is otherwise inappropriate.","RoleIT Operations Management,",Not Disclosed,5 - 7 years,Bangalore/Bengaluru,"Job description   In addition to the functions of a property systems manager, the Director of property Technology manages a revenue-generating function in a large property or multiple properties with a shared infrastructure. Works with property management and Regional IR leadership to participate in the acquisition of technology services for guests through an understanding of the properties specific business/customer base (i.e., convention). Provides strategic leadership for IR services surrounding initiatives and projects and coordinates with regional IR leadership on systems/services to enhance services in a specific property. May have direct reports (property systems manager, property systems technicians) or direct work of on-site shared services staff.      CANDIDATE PROFILE       Education and Experience    BS/BA or equivalent work experience. Additionally, 5-7 years experience in like position.   System-related professional certifications preferred.   Previous management experience and demonstrated matrix management skills   Experienced in network hardware, desktop, peripherals, protocols, communications, operating systems and Marriott internal applications (MARSHA, PMS, NGS, SFA, etc)      CORE WORK ACTIVITIES       Managing Projects and Policies     Functions as on-site project manager who plans and manages both new systems and system upgrades for property site.   Performs assessments of needs ensuring compliance with budget, standards.   Determines priorities, schedules, plans and necessary resources to ensure completion of property projects on schedule and according to specification.   Prepares project plans and monitors on-site.   Coordinates multiple-vendor projects.   Verifies compliance to technology-related vendor contracts.   Responsible for property compliance with appropriate Marriott International Policy and Information Security Manual. Accountable to take action to address deficiencies. Determines solutions and implements per SOP.   Provides timely, accurate, and detailed status reports as requested.      Meeting Technology Needs    Evaluates and makes recommendations regarding technology/asset life-cycles. Verifies that necessary property is properly equipped in terms of PCs, hardware, servers, etc   Foresees, identifies and resolves system(s) performance problems.   Certifies software applications for use at property.   Creates and verifies implementation of disaster recovery and business continuity plans as they relate to technology.   Verifies property s technology assets are secure and maintained in accordance with Marriott International policies and standards.   Possesses advanced knowledge in the areas of data communications, desktop support, and servers/networks. Uses knowledge to solve 2nd level support issues and train/develop junior staff.   Verifies availability of current documentation for cabling, network systems, and applications exist.   Reviews networks performance and performs design/re-design as needed to meet property needs.   Verifies that periodic inventories of applications and hardware are conducted.      Forecasting and Complying with Financial Parameters    Analyzes, communicates and implements property strategy to drive technology revenue and contribute to property s overall business success.   Manages technology profit and loss. Responsible for monitoring and controlling all technology-impacted revenues and expenses generated by the property including, but not limited to: telecommunications, HSIA, business center technologies and A/V.   Verifies that property management has realistically budgeted CAPEX and department operating budgets based on anticipated IT projects and property support/needs requirements.   Advises and verifies that property management has adequately addressed technology needs in short- and long-term planning.   Reviews vendor proposals and selects appropriate vendor for technologies/hardware.      Building Successful Relationships    Communicates IR standards and best practices.   Is expected to present proposals, analyses, projects, cost-models, etc in a well- written and/or verbally articulate manner.   Is viewed as a credible leader by subordinates, peers, and senior management.   Provides exceptional customer service.      Managing and Conducting Human Resource Activities     May have direct management responsibility for property-based system managers and technicians. Provides work direction to cluster--based systems technicians and managers.   Responsible for hiring, training, development, compensation, performance management of direct reports. Additionally, provides performance feedback to Area System Manager on cluster support positions.   RoleIT Operations Management,Industry TypeTravel & Tourism,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPerformance managementInformation securityDisaster recoveryHRCustomer serviceProperty managementBusiness continuityInformation technologyForecastingMonitoring","['Performance management', 'Information security', 'Disaster recovery', 'HR', 'Customer service', 'Property management', 'Business continuity', 'Information technology', 'Forecasting', 'Monitoring']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeTravel & Tourism,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
Arrow Electronics India Pvt ltd,"RoleIT Project Manager,",Not Disclosed,5 - 7 years,Bangalore/Bengaluru,"Job description   ERP Analyst provides project coordination, functional expertise, and contributes to improvements and enhancements for mission-critical, enterprise-wide information systems.   The ERP Analyst is responsible for project tracking and control for assigned modules or systems, serving as a liaison between functional and technical resources to manage the development of new system functionality, upgrades, system modifications, and day-to-day problem analysis, issue tracking, and resolution.   Solves complex problems; takes a new perspective using existing solutions   Works independently; receives minimal guidance   Acts as a resource for colleagues with less experience   Represents the level at which career may stabilize for many years or even until retirement   Contributes to process improvements   Typically resolves problems using existing solutions   Provides informal guidance to junior staff   Works with minimal guidance       What We Are Looking For     Typically requires 5-7 years of related experience with a 4 year degree; or 3 years and an advanced degree; or equivalent work experience.   Requires in-depth knowledge and experience - MS-AX functional       What s In It For You     Training and professional development   Performance coaching   Work with fun team in a supportive environment   Work at a strong and growing company   Community involvement opportunities   RoleIT Project Manager,Industry TypeHardware & Networking,Functional AreaProject & Program Management,Employment TypeFull Time, PermanentRole CategoryTechnology / ITEducationUG :Any GraduatePG :Any PostgraduateKey SkillsJunior StaffProject trackingERP AnalystManager Information TechnologySalesInformation Technology AssociateProject coordinationTechnology solutionsManagementInformation technology","['Junior Staff', 'Project tracking', 'ERP Analyst', 'Manager Information Technology', 'Sales', 'Information Technology Associate', 'Project coordination', 'Technology solutions', 'Management', 'Information technology']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaProject & Program Management,","Employment TypeFull Time, Permanent",Role CategoryTechnology / IT
Arrow Electronics India Pvt ltd,"RoleBusiness Development Manager (BDM),",Not Disclosed,4 - 7 years,Bangalore/Bengaluru,"Job description   What You ll Be Doing     X++ dev best practises, Batch/ SysOperation/Dimension framework / posting / Eventing / IDMF / Document Attachment / Credit card payments/Address book / Date effective/XDS/Number Sequence /Organization Model / Policy   Framework /Alerts / initFrom / Multi-threading   How to debug a batch   How to use Maps   How to use XLST for exporting different bank file formats       What We Are Looking For    The candidate should/must possess below skillset for the position of Associate Manager:    MUST be Technically strong in X++ {Non-Advance areas}   SSRS, DIXF, Trace parser, Security roles, Workflow, AIF etc..   MUST be Technically good in X++ advanced areas   MUST possess skills to perform strict and efficient Code Reviews    MUST possess skills to translate the Functional Design Document into a good scalable technical design and should be able to challenge the developer where applicable regarding the same   MUST possess soft skills to interact with the team, hold them accountable for their work   MUST possess skills to review the technical design documents   Good to have worked in the on-shore offshore model in the past to quickly pickup, adjust and understand the challenges he/she may come across   Willing to work in CET time zone even if from home because of COVID restrictions   Should have good knowledge of Change Management process   Should have past experience of managing a dev team   Having some experience in Production Support is good to have. {but not mandatory}   Should have fluent communication and interpersonal skills   RoleBusiness Development Manager (BDM),Industry TypeHardware & Networking,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryBD / Pre SalesEducationUG :Any GraduatePG :Any PostgraduateKey SkillsChange managementManager Information TechnologyProduction supportInformation Technology AssociateTechnical designSSRSWorkflowX++Technology solutionsInformation technology","['Change management', 'Manager Information Technology', 'Production support', 'Information Technology Associate', 'Technical design', 'SSRS', 'Workflow', 'X++', 'Technology solutions', 'Information technology']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaSales & Business Development,","Employment TypeFull Time, Permanent",Role CategoryBD / Pre Sales
Arrow Electronics India Pvt ltd,"RoleIT Operations Management,",Not Disclosed,8 - 11 years,Bangalore/Bengaluru,"Job description   Job Complexity    Manages professional employees and/or supervisors or supervises large, complex technical or business support or production operations team(s)  Is accountable for the performance and results of a team within own discipline or function  Adapts departmental plans and priorities to address resource and operational challenges    Decisions are guided by policies, procedures and business plan; receives guidance from senior manager  Provides technical guidance to employees, colleagues and/or customers  Accountable for results of a small team   Exercises limited management authority; sets employee performance objectives, conducts performance reviews and recommends pay actions   Defines team operating standards and ensures essential procedures are followed based on knowledge of own discipline      What we are looking for:      Typically requires a minimum of 8 years of related experience with a 4 year degree; or 6 years and an advanced degree; or equivalent experience.      RoleIT Operations Management,Industry TypeHardware & Networking,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT Infrastructure ServicesEducationUG :Any GraduatePG :Any PostgraduateKey SkillsCareer developmentData analysisPerformance managementProject managementProduction operationsBusiness process analysisTechnology solutionsInformation technologyOperationsPrincipal","['Career development', 'Data analysis', 'Performance management', 'Project management', 'Production operations', 'Business process analysis', 'Technology solutions', 'Information technology', 'Operations', 'Principal']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaIT & Information Security,","Employment TypeFull Time, Permanent",Role CategoryIT Infrastructure Services
"Unusual Hire, an enthralling platform that enables businesses, start-ups to hire freelancers for all their dynamic hiring needs from a network of the top talent in the world and enables freelancers to work on clients' projects.","RoleNon Tech Support - Voice / Blended,",Not Disclosed,1 - 3 years,Bengaluru,"Job description   Job roles & responsibilities  :     Establishing and maintaining a constructive relationship between the service provider and the customer based on understanding the customer and their business drivers     Identifying changes to the customer environment and technology trends that could potentially impact the type, level or utilization of services provided     Establishing and articulating business requirements for new services or changes to existing services     Ensuring that the current and future service level requirements (service warranty) of customers are identified, understood and documented in SLA (Service Level Agreement) and service level requirements (SLR) documents     Negotiating and agreeing levels of service to be delivered with the customer (either internal or external); formally documenting these levels of service in SLAs     Negotiating and agreeing OLAs (Operational Level Agreements) and, in some cases, other SLAs and agreements that underpin the SLAs with the customers of the service     Ensuring that targets agreed within underpinning contracts are aligned with SLA and SLR targets     Ensuring that service reports are produced for each customer service and that breaches of SLA targets are highlighted, investigated and actions taken to prevent their recurrence     Ensuring that service performance reviews are scheduled, carried out with customers regularly and documented, with agreed actions progressed     Reviewing service scope, SLAs, OLAs and other agreements on a regular basis, ideally at least annually     Ensuring that all changes are assessed for their impact on service levels, including SLAs, OLAs and underpinning contracts, including attendance at change advisory board (CAB) meetings if appropriate     Identifying all customers and other key stakeholders to involve in SLR, SLA and OLA negotiations     Managing customer complaints including their recording, management, escalation (where necessary) and resolution      Essential qualification:      S. degree in Computer Science, Software Engineering, Electrical Engineering, Applied Mathematics or related field of study.     1-3 years of experience developing, delivering, and/or supporting data engineering, advanced analytics or business intelligence solutions     Strong mathematics background, analytical, problem solving, and organizational skills  RoleNon Tech Support - Voice / Blended,Industry TypeIT Services & Consulting,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceService levelManager Information TechnologyAnalyticalMathematicsCustomer serviceBusiness intelligenceOperationsSLASRecruitment","['Computer science', 'Service level', 'Manager Information Technology', 'Analytical', 'Mathematics', 'Customer service', 'Business intelligence', 'Operations', 'SLAS', 'Recruitment']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaCustomer Success, Service & Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice / Blended
"Arrows incredibly broad portfolio brings a unique vantage over the entire technology landscape to every conversation with every customer as we help them design, source, build and launch products that improve the quality of life for people around the world and make the benefits of innovation more accessible to all.","RoleBusiness Development Manager (BDM),",Not Disclosed,3 - 6 years,Bangalore/Bengaluru,"Job description   What You ll Be Doing     X++ dev best practises, Batch/ SysOperation/Dimension framework / posting / Eventing / IDMF / Document Attachment / Credit card payments/Address book / Date effective/XDS/Number Sequence /Organization Model / Policy   Framework /Alerts / initFrom / Multi-threading   How to debug a batch   How to use Maps   How to use XLST for exporting different bank file formats       What We Are Looking For    The candidate should/must possess below skillset for the position of Associate Manager:    MUST be Technically strong in X++ {Non-Advance areas}   SSRS, DIXF, Trace parser, Security roles, Workflow, AIF etc..   MUST be Technically good in X++ advanced areas   MUST possess skills to perform strict and efficient Code Reviews    MUST possess skills to translate the Functional Design Document into a good scalable technical design and should be able to challenge the developer where applicable regarding the same   MUST possess soft skills to interact with the team, hold them accountable for their work   MUST possess skills to review the technical design documents   Good to have worked in the on-shore offshore model in the past to quickly pickup, adjust and understand the challenges he/she may come across   Willing to work in CET time zone even if from home because of COVID restrictions   Should have good knowledge of Change Management process   Should have past experience of managing a dev team   Having some experience in Production Support is good to have. {but not mandatory}   Should have fluent communication and interpersonal skills   RoleBusiness Development Manager (BDM),Industry TypeElectronic Components / Semiconductors,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryBD / Pre SalesEducationUG :Any GraduatePG :Any PostgraduateKey SkillsChange managementInterpersonal skillsProduction supportInformation Technology AssociateTechnical designSSRSWorkflowX++Technology solutions","['Change management', 'Interpersonal skills', 'Production support', 'Information Technology Associate', 'Technical design', 'SSRS', 'Workflow', 'X++', 'Technology solutions']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeElectronic Components / Semiconductors,","Functional AreaSales & Business Development,","Employment TypeFull Time, Permanent",Role CategoryBD / Pre Sales
"Arrow's incredibly broad portfolio brings a unique vantage over the entire technology landscape to every conversation with every customer as we help them design, source, build and launch products that improve the quality of life for people around the world and make the benefits of innovation more accessible to all.","RoleTechnical Lead,",Not Disclosed,12 - 15 years,Bangalore/Bengaluru,"Job description   What You ll Be Doing      Manage a team of IT professionals that define, develop, and maintain information systems within the organization.   Coordinate studies and implement new procedures and techniques.   Supervise team members; respond to complex, escalated enquiries; and check the work of others to ensure projects are conducted effectively and recommendations and reports are accurate and timely.   Prioritize and assign tasks to ensure that the team's resources are used effectively and that work schedules and targets are met.   Manage a team of 20+ resources during night shift (Providing coverage during US hours from India)   Well versed with production support modalities, driving bridge call, handling P1 issues, continuous improvements etc etc   Have led Oracle ERP Production support for a large enterprise clients for over 5+ years. Can we either from Oracle EBS functional or technical stream, Techno-functional is preferred   Also handled other custom apps build on JAVA / Angular and out of the box solutions like SFDC prod support plus releases   Willing to work during night shift on a rotation basis   Well versed with SLA's, metrics, stakeholder management, people practices etc   Prior experience in working in night shift is preferred   Should have interacted with the key stakeholders / Sr. leadership team both from IT and business in the recent past (2-3 years before)          What We Are Looking For        Typically requires 12-15 years of related experience with a 4 year degree; or 3 years and an advanced degree; or equivalent work experience.   Coordinates and supervises the daily activities of business or technical support or production team   Sets priorities for the team to ensure task completion; coordinates work activities with other supervisors   Decisions are guided by policies, procedures and business plan; receives guidance and oversight from manager   Typically does not spend more than 20% of time performing the work supervised   Accountable for the results of a large and/or moderately complex support or production operations team including subordinate work leaders   Applies acquired expertise to analyze and solve problems without clear precedent   Provides input on resource planning and policy development   Coaches team members on performance, completes employee performance evaluations and recommends pay actions              Time Type:   Full time     Job Category:   Information TechnologyRoleTechnical Lead,Industry TypeElectronic Components / Semiconductors,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsApplication supportProduction supportInformation Technology AssociateProduction operationsManagementTechnology solutionsOracleStakeholder managementResource planningTechnical support","['Application support', 'Production support', 'Information Technology Associate', 'Production operations', 'Management', 'Technology solutions', 'Oracle', 'Stakeholder management', 'Resource planning', 'Technical support']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeElectronic Components / Semiconductors,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Arrow Electronics India Pvt ltd,"RoleTechnical Lead,",Not Disclosed,6 - 9 years,Bangalore/Bengaluru,"Job description    What You ll Be Doing      Manage a team of IT professionals that define, develop, and maintain information systems within the organization.   Coordinate studies and implement new procedures and techniques.   Supervise team members; respond to complex, escalated enquiries; and check the work of others to ensure projects are conducted effectively and recommendations and reports are accurate and timely.   Prioritize and assign tasks to ensure that the teams resources are used effectively and that work schedules and targets are met.   Manage a team of 20+ resources during night shift (Providing coverage during US hours from India)   Well versed with production support modalities, driving bridge call, handling P1 issues, continuous improvements etc etc   Have led Oracle ERP Production support for a large enterprise clients for over 5+ years. Can we either from Oracle EBS functional or technical stream, Techno-functional is preferred   Also handled other custom apps build on JAVA / Angular and out of the box solutions like SFDC prod support plus releases   Willing to work during night shift on a rotation basis   Well versed with SLAs, metrics, stakeholder management, people practices etc   Prior experience in working in night shift is preferred   Should have interacted with the key stakeholders / Sr. leadership team both from IT and business in the recent past (2-3 years before)          What We Are Looking For        Typically requires 12-15 years of related experience with a 4 year degree; or 3 years and an advanced degree; or equivalent work experience.   Coordinates and supervises the daily activities of business or technical support or production team   Sets priorities for the team to ensure task completion; coordinates work activities with other supervisors   Decisions are guided by policies, procedures and business plan; receives guidance and oversight from manager   Typically does not spend more than 20% of time performing the work supervised   Accountable for the results of a large and/or moderately complex support or production operations team including subordinate work leaders   Applies acquired expertise to analyze and solve problems without clear precedent   Provides input on resource planning and policy development   Coaches team members on performance, completes employee performance evaluations and recommends pay actions         RoleTechnical Lead,Industry TypeHardware & Networking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsApplication supportProduction supportInformation Technology AssociateProduction operationsManagementTechnology solutionsStakeholder managementResource planningInformation technologyTechnical support","['Application support', 'Production support', 'Information Technology Associate', 'Production operations', 'Management', 'Technology solutions', 'Stakeholder management', 'Resource planning', 'Information technology', 'Technical support']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeHardware & Networking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
BrainScale,"RoleIT Project Manager,",Not Disclosed,5 - 10 years,Pune,"Job description  The ideal candidate is a self-motivated, multi-tasker, and demonstrated team-player and is responsible for planning, directing, and coordinating IT /Cloud projects. The incumbent ensures project objectives are accomplished within the prescribed time frame and funding parameters while adhering to quality standards. The incumbent also prepares or facilitates the preparation of project deliverables and communicates status with stakeholders as appropriate.   ESSENTIAL FUNCTIONS, DUTIES AND RESPONSIBILITIES:     Leads small to large-sized virtual groups of multi-disciplinary teams of highly-talented professionals     Develops and refines project charters/plans specifying goals, strategy, staffing, scheduling, risks, and contingency plans     Leads the execution of tasks as defined in the project plan in order to achieve project goals     Manages project scope, schedule, and budget using appropriate verification techniques     Ensures a common understanding by setting expectations to align team members and stakeholders     Documents detailed requirements, constraints, and assumptions in order to establish project deliverables using requirement-gathering techniques (planning sessions, brainstorming, focus groups, etc)     Measures project performance using appropriate tools and techniques in order to monitor the progress, identify and quantify variances, perform any required corrective actions, and communicate to stakeholders     Documents project risks, assumptions, and constraints using historical data and expert judgment in order to understand project limitations     Implements approved actions and workarounds to mitigate project risk in order to minimize the project impact     Motivates teams using appropriate tools and techniques in order to increase commitment to project objectives     Develops and documents processes and workflow in support of the dynamic needs of the business     Prepares and presents statements of work and proposals for vendors and potential customers     Optimizes processes, tools, metrics, and human capital to enable effective and efficient projects delivery    MINIMUM REQUIRED QUALIFICATIONS:     Bachelor s degree in Computer Science, Business or related field AND     5+ years of experience in Information Technology AND     5+ years of experience as a Project Manager AND     3+ years of experience as a Scrum Master     Strong communication and documentation skills    OTHER REQUIRED EXPERIENCE, KNOWLEDGE, SKILLS ABILITIES:     Successful project tracking and schedule compliance     Ability to work across multiple job levels to achieve results     Proven ability to manage multiple projects simultaneously in a deadline driven environment     Consistent success in leading teams to meet aggressive deadlines     Outstanding time management and organization skills     Demonstrated use of sound and proven project management practices and tools (Microsoft Office / Project / Visual Studio Team Services)     Ability to pass required background checks     Project Management Professional (PMP) and/or Certified Scrum Master a plus     Knowledge of Cloud Technology (Azure, AWS, etc) a plus   RoleIT Project Manager,Industry TypeBPO / Call Centre,Functional AreaProject & Program Management,Employment TypeFull Time, PermanentRole CategoryTechnology / ITEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer sciencePMPhuman capitalStaffingWorkflowSchedulingScrumVisual StudioInformation technologyAnalytics","['Computer science', 'PMP', 'human capital', 'Staffing', 'Workflow', 'Scheduling', 'Scrum', 'Visual Studio', 'Information technology', 'Analytics']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeBPO / Call Centre,","Functional AreaProject & Program Management,","Employment TypeFull Time, Permanent",Role CategoryTechnology / IT
Leading Client,"RoleEnterprise Sales Manager,",Not Disclosed,1 - 2 years,Kolkata,"Job descriptionIntroduction:We are hiring a Sales Manager for our client company which is a leader in the Information Technology industry.Requirements:- Achieve growth and hit sales targets by successfully managing the sales team- Design and implement a strategic business plan that expands company's customer base and ensure it's strong presence- Own recruiting, objectives setting, coaching and performance monitoring of sales representatives- Build and promote strong, long-lasting customer relationships by partnering with them and understanding their needs- Present sales, revenue and expenses reports and realistic forecasts to the management team- Identify emerging markets and market shifts while being fully aware of new products and competition statusQualifications:- One to two years of experience- Degree in business administration or a related field- Committed to continuous education through workshops, seminars and conferences- Demonstrated ability to communicate, present and influence credibly and effectively at all levels of the organization- Proven ability to drive the sales process from plan to close- Strong business sense and industry expertise- Excellent mentoring, coaching and people management skillsRoleEnterprise Sales Manager,Industry TypeManagement Consulting,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryEnterprise & B2B SalesEducationUG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsSalessales managementpeople managementsales processbusiness planningSkills highlighted with ‘‘ are preferred keyskills","['Sales', 'sales management', 'people management', 'sales process', 'business planning']","['UG :Any Graduate', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeManagement Consulting,","Functional AreaSales & Business Development,","Employment TypeFull Time, Permanent",Role CategoryEnterprise & B2B Sales
