company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"ITC Infotech is a leading global technology services and solutions provider, led by Business and Technology Consulting. ITC Infotech provides business-friendly solutions to help clients succeed and be future-ready, by seamlessly bringing together digital expertise, strong industry specific alliances and the unique ability to leverage deep domain expertise from ITC Group businesses. The company provides technology solutions and services to enterprises across industries such as Banking & Financial Services, Healthcare, Manufacturing, Consumer Goods, Travel and Hospitality, through a combination of traditional and newer business models, as a long-term sustainable partner.","RoleSoftware Development - Other,",Not Disclosed,3 - 6 years,Bangalore/Bengaluru,"Job description Java scripting,   Service Now Service Catalog  SNOW integration to 3rd party tools ( REST, SOAP )  Work flow design  Flow Designer RoleSoftware Development - Other,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsJavaWeb technologiesWorkflowservice catalogSOAP","['Java', 'Web technologies', 'Workflow', 'service catalog', 'SOAP']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
US MNC,"RoleFull Stack Developer,","₹ 50,00,000 - 90,00,000 P.A. ",6 - 11 years,Bangalore/Bengaluru,"Job descriptionBuild robust Javascript-driven web applications Leverage different tools and strategies to help identify opportunities for site optimization Update and maintain backend codebases for our content management systems Work closely with product and program management to help prioritize items in the development roadmap Articulate technical requirements, write functional specs and set standards for site performance Perform collaboration duties such as code reviews and technical documentation for peers. A minimum of 5 years of hands-on Javascript development experience (backend NodeJS & frontend) Hands-on experience with site optimization including SEO, in-page performance, technical audits, and Core Web Vitals Expert Linux command line experience Expert knowledge integrating API endpoints Expert knowledge of Git repository workflows using CLI Outstanding communication skills to interact with technology partners, and to provide consistent technical feedback with other developers You are currently in web development with a focus and expertise on Javascript - both backend and frontend You are proficient in industry tools involving site performance, SEO and analytics You have a deep understanding of core Javascript disciplines You have a knack for finding solutions to problems - and using a full arsenal of debugging tools You have built your own custom tools to help you automate tasks You have experience with at least another backend programming language (e.g. Python, PHP) You never stop learning about web technology; never stopping at what you know, and always keeping up with the latest in all aspects of site development, performance and optimizationRoleFull Stack Developer,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersKey SkillsCLILinuxAPIJavascriptPHPNode.JsPythonWeb Applications DeveloperSkills highlighted with ‘‘ are preferred keyskills","['CLI', 'Linux', 'API', 'Javascript', 'PHP', 'Node.Js', 'Python', 'Web Applications Developer']",['UG :B.Tech/B.E. in Computers'],"Industry TypeInternet,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
" About Karkinos Healthcare Pvt. Ltd. :Karkinos Healthcare Pvt Ltd (KH), founded in July 2020, is an oncology focused, digital healthcare platform. Our mission is to ensure no person is deprived of quality care either by lack of access or affordability. KH has been founded by Mr. R Venkataramanan, former Managing Trustee of the Tata Trusts (ex board member of Tata Memorial Hospital, Tata Medical Centre Trust; Tata Centres for cancer care). A strong clinician team is led by Dr Moni Abraham K. (ex Narayana Health, visiting professor Roswell Park Cancer Institute, NYU) and Dr. R. Sankaranarayanan (former Chief of Cancer Screening Group, Early Detection & Prevention Section and Special Advisor on Cancer Control at the International Agency for Research on Cancer in Lyon, France).  Karkinos is backed by the Tata Group, Reliance Group and Rakuten Medical, a global leader in oncology care. Karkinos is proud to collaborate with Tata Memorial Hospital, and UK's Guys and St Thomas NHS Foundation Trust to ensure we are at the frontier of oncology treatment and care.  To know more about us, visit our website : http://www.karkinos.in","RoleSoftware Development - Other,",Not Disclosed,3 - 8 years,Bangalore/Bengaluru( Bellandur ),"Job description About Karkinos Healthcare Pvt. Ltd. :Karkinos Healthcare Pvt Ltd (KH), founded in July 2020, is an oncology focused, digital healthcare platform. Our mission is to ensure no person is deprived of quality care either by lack of access or affordability. KH has been founded by Mr. R Venkataramanan, former Managing Trustee of the Tata Trusts (ex board member of Tata Memorial Hospital, Tata Medical Centre Trust; Tata Centres for cancer care). A strong clinician team is led by Dr Moni Abraham K. (ex Narayana Health, visiting professor Roswell Park Cancer Institute, NYU) and Dr. R. Sankaranarayanan (former Chief of Cancer Screening Group, Early Detection & Prevention Section and Special Advisor on Cancer Control at the International Agency for Research on Cancer in Lyon, France).Karkinos is backed by the Tata Group, Reliance Group and Rakuten Medical, a global leader in oncology care. Karkinos is proud to collaborate with Tata Memorial Hospital, and UK's Guys and St Thomas NHS Foundation Trust to ensure we are at the frontier of oncology treatment and care.To know more about us, visit our website : http://www.karkinos.inRoles and Responsibility :- Looking for 4+ years experience web developer- Will be independently responsible for developing and managing multiple responsive web applications using php, MySQL.- Strong experience in code igniter framework needed- Must have solid experience in jquery/css/html- Should be able to convert designs to html/css/Javascript and then complete the backend development using php and mysql.- Should have good knowledge of database concepts and worked on any of mysql/postgress/mongodb- Understand gitlab and CI/CD practices.We are looking for people with experience in the following :- String core PHP Hands on experience.- Strong Expertise in CodeIgniter Framework.- Good Knowledge of PHP5+, MySQL, jQuery, Javascript, HTML5, CSS3, XML.- Sound knowledge of database designing and application architecture planning for Core PHP projects.- Good debugging skills.- Expertise in PHP, MVC Frameworks and good technology exposure of Codeigniter.- Assure that all user input is validated before submitting to back-end.- Good understanding of asynchronous request handling, partial page updates, and AJAX will be preferred.Education and Experience :- Bachelor's or Master's engineering degree- 4+ years experience. RoleSoftware Development - Other,Industry TypeMedical Services / Hospital,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsPHPWeb DevelopmentCodeigniterAjaxCss/Css3MVC FrameworkJavascripthtmljquerySkills highlighted with ‘‘ are preferred keyskills","['PHP', 'Web Development', 'Codeigniter', 'Ajax', 'Css/Css3', 'MVC Framework', 'Javascript', 'html', 'jquery']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeMedical Services / Hospital,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Login Systems,"RoleBack End Developer,",Not Disclosed,3 - 8 years,Coimbatore,"Job descriptionDesign,  develop,  and deploy new database- driven web applications. Lead teams to assist in enforcement of deadlines and schedules.

Required Skills: 

Web site development experience using PHP,  HTML,  Javascript MySQL Preferred skills: Apache,  Linux,  AJAX.

Minimum 3 year in open source web development with experience in handling reputed projects.RoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsdevelopmentWeb developmentDeploymentApachejavascriptHTML;JavascriptLinuxwebMySQLDatabasePHPOpen sourceAjax","['development', 'Web development', 'Deployment', 'Apache', 'javascript', 'HTML;Javascript', 'Linux', 'web', 'MySQL', 'Database', 'PHP', 'Open source', 'Ajax']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Login Systems,"RoleBack End Developer,",Not Disclosed,2 - 5 years,Bengaluru,"Job descriptionJob Desciption:  Design,  develop,  and deploy new database- driven web applications. Lead teams to assist in enforcement of deadlines and schedules.Required Skills:  Web site development experience using PHP,  HTML,  Javascript MySQL Preferred skills:  Apache,  Linux,  AJAX.Experience:  Minimum 3 year in open source web development with experience in handling reputed projects.RoleBack End Developer,Industry TypeFilm / Music / Entertainment,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey Skillsapachelinglinuxhphphtmlmysqlweb developmentajaxjavascript","['apache', 'ling', 'linux', 'h', 'php', 'html', 'mysql', 'web development', 'ajax', 'javascript']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeFilm / Music / Entertainment,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Login Systems,"RoleBack End Developer,",Not Disclosed,3 - 8 years,Bengaluru,"Job description  Job DescriptionDesign,  develop,  and deploy new database-driven web applications. Lead teams to assist in enforcement of deadlines and schedules. Required Skills: Web site development experience using PHP,  HTML,  Javascript MySQL Preferred skills: Apache,  Linux,  AJAX. Experience: Minimum 3 year in open source web development with experience in handling reputed projects. RoleBack End Developer,Industry TypeFilm / Music / Entertainment,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey Skillsopen sourceapachelinuxphphtmlmysqlweb developmenthandlingajaxjavascript","['open source', 'apache', 'linux', 'php', 'html', 'mysql', 'web development', 'handling', 'ajax', 'javascript']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeFilm / Music / Entertainment,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Zscaler enables the worlds leading organizations to securely transform their networks and applications for a mobile and cloud first world. Its flagship services, Zscaler Internet Access and Zscaler Private Access, create fast, secure connections between users and applications, regardless of device, location, or network. Zscaler services are 100% cloud-delivered and offer the simplicity, enhanced security, and improved user experience that traditional appliances or hybrid solutions are unable to match. Used in more than 185 countries, Zscaler operates the worlds largest cloud security platform, protecting thousands of enterprises and government agencies from cyberattacks and data loss.","RoleFull Stack Developer,",Not Disclosed,2 - 6 years,Bangalore/Bengaluru,"Job description  The Sr Web Developer is part of Zscaler s marketing Operations team with a specific focus on supporting Web development.    This role will significantly impact both Marketing ops and the broader company. This position will directly interact with Demand Gen, Field Marketing, and Marketing operation peers. The primary responsibilities of this role will include:     To configure, test and launch solutions within AWS, GCP      Comfortable working with the command line within a LAMP stack environment (Linux, Apache, MySQL/MariaDB, and PHP)      EC2, Lambada, S3, DNS configuration, setup and maintenance.      Planning and administration of XMMP server infrastructure, setup, scaling, updating.      Monitoring, issues debug and analysis, fixing.      Develop integrations between core business systems using both code and no-/low-code platforms, and support those integrations once deployed      Maintain security, backup, and redundancy strategies      Plan and implement systems automation as required for better efficiency and to lower the need for human intervention      Monitor and test application performance to detect potential bottlenecks, identify possible solutions and work with internal security team to implement these fixes.      Maintain security, backup and redundancy strategies.      Participate in the design of information and operational support systems.     Qualifications      Strong background in HTML, MySQL, JavaScript, query, CSS, Bootstrap, REST APIs, and Git      Proficiency in delivering high-quality PHP code making use of test-driven methodologies and modern frameworks      Experience in integrating with REST APIs and handle dynamic data on frontend      Creating and maintaining technical documentation      Good knowledge of application data security.      Good knowledge of versioning with Git and continuous integration tools processes.      Good knowledge of system / application performance monitoring.      Familiar with Bash scripting       RoleFull Stack Developer,Industry TypeHardware & Networking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsAutomationGITLinuxMySQLWeb developmentJavascriptPHPHTMLApacheTechnical documentation","['Automation', 'GIT', 'Linux', 'MySQL', 'Web development', 'Javascript', 'PHP', 'HTML', 'Apache', 'Technical documentation']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
" About Pareto Aluminum systemA Pareto Aluminum system is one of the largest Supplier of Aluminum flexible flooring systems for the wheelchair accessible Bus and Van industry in USA. With a vision to transform the Transit bus industry with extremely light weight, fast to install products, Pareto is looking for a passionate Design & Release Engineer.  Our culture is focused on building technical business leaders where Teams are given full freedom to execute the projects while they are trained to take up more challenging roles that can lead them into fast paced career growth. Pareto provide a high paced growth environment that is based on inspired productivity and extreme accountability ","RoleDigital Marketing - Other,","₹ 2,50,000 - 5,00,000 P.A. ",3 - 5 years,Bangalore/Bengaluru( Whitefield ),"Job description Job briefLooking for Senior web developer with 3-5 years of industry experience in SEO/SEM and SMM to manage all search engine optimization and marketing activities.You will be responsible for managing all SEO activities such as content strategy, link building and keyword strategy to increase rankings on all major search networks. ResponsibilitiesExecute      tests, collect and analyze data and results, identify trends and insights      in order to achieve maximum ROI in paid search campaignsMonitor      SEO and web traffic metricsDevelop      social media campaigns.Creating      content, including text posts, video and images for use on social media.Define      KPIs and KRAs for social media campaignsTrack,      report, and analyze website analytics and PPC initiatives and campaignsOptimize      copy and all pages for search engine marketing.Perform      ongoing keyword discovery, expansion and optimization.Research      and implement search engine optimization recommendations and analyze      competitor advertising linksWork      with the development team to ensure SEO best practices are properly      implemented on developed code.Work      with editorial and marketing teams to drive SEO in content creation and      content programmingRecommend      changes to website architecture, content, linking and other factors to      improve SEO positions for target keywords.Organic      trafficUnderstand conversion rate      optimization tacticsNumber      of keyword rankings & Position in searchRequirements and skills Solid  understanding of performance marketing, conversion, and online customer      acquisitionIn-depth  experience with website analytics tools (e.g, Google Analytics and others)Experience  with A/B and multivariate experimentsWorking  knowledge of HTML, CSS, and JavaScript development and constraintsKnowledge  of ranking factors and search engine algorithms.Up-to-date with the latest trends and best practices in SEO and SEM.Great interpersonal, Strong communication and presentation skillsCertification in SEO or Google Analytics is beneficialRoleDigital Marketing - Other,Industry TypeAutomobile,Functional AreaMarketing & Communication,Employment TypeFull Time, PermanentRole CategoryDigital MarketingEducationUG :Any GraduateKey SkillsOn-page OptimizationBlog SubmissionKeyword AnalysisWebsite Analysislink buildinggoogle analyticsweb developmentseoWeb DesigningContent OptimizationSkills highlighted with ‘‘ are preferred keyskills","['On-page Optimization', 'Blog Submission', 'Keyword Analysis', 'Website Analysis', 'link building', 'google analytics', 'web development', 'seo', 'Web Designing', 'Content Optimization']",['UG :Any Graduate'],"Industry TypeAutomobile,","Functional AreaMarketing & Communication,","Employment TypeFull Time, Permanent",Role CategoryDigital Marketing
"Dialpad is a cloud-based business phone system that turns conversations into opportunities and helps global teams make smarter calls--anywhere, anytime. We bring simplicity to the professional phone experience and some of the worlds most innovative companies use our platform. Dialpads products span video meetings, cloud call centers, sales coaching and dialers and enterprise phone systems--and are all infused with the latest AI technologies to help every business make smarter calls. Customers include WeWork, Uber, Motorola Solutions, Domo and Xero. Investors include Amasia, Andreessen Horowitz, Felicis Ventures, GV, ICONIQ Capital, Salesforce Ventures, Scale Venture Partners, Section 32, Softbank and Work-Bench.","RoleFull Stack Developer,",Not Disclosed,4 - 8 years,Bangalore/Bengaluru,"Job description   Who you are     You re a Senior Web Developer who will help us design, develop and optimize the next generation of features for the Dialpad website.    You have a wealth of prior experience optimizing web pages, solving SEO-related issues related to coding and site performance, and ensuring web pages and website structures are in line with SEO best practices.    You have an e   xcellent analytical and technical aptitude with proven ability to solve complex problems and    have an    ability to understand business requirements and translate them into technical requirements..    Additionally, you ve worked on large projects with multiple cross functional teams where you regularly contribute ideas to meet business objectives. You will play a critical part in defining and building our website, while working closely with a team of designers, product managers and other engineers.     Skills and Qualities:      Senior web developer with 5 years of industry experience     Prior experience primarily focusing on search optimization preferred     Expert level knowledge of semantic HTML, modern CSS/SASS/LESS, and JavaScript (ES6 syntax), Vue and jQuery     Intermediate understanding of PHP or other backend languages     Prior experience optimizing website designs, layout, and code for search      Extensive knowledge of webmaster/SEO tools such as Google Search Console, PageSpeed Insights, Screaming Frog, SEMrush and the like     Experience using hreflang tagging and/or sitemaps     Strong understanding of how to optimize for Core Web Vitals and other major Google algorithm updates     Advanced knowledge of website design principle and their SEO implication     Experience working directly with SEO teams and executing related tasks     Perform technical audits and create a roadmap to improve overall SEO performance     Experience optimizing sites for different locales and languages      Researching the latest SEO guidelines and implementing them     Solid understanding of performance marketing, conversion, and online customer acquisition     Understand conversion rate optimization tactics     A working knowledge of Schema markup and Rich Snippets     CMS experience (Wordpress, Drupal, Craft, etc)     Certification in SEO or Google Analytics is beneficial     Strong communication skills      RoleFull Stack Developer,Industry TypeElectronic Components / Semiconductors,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsBackendCodingAnalyticalJavascriptHealthcarePHPHTMLWeb designingCustomer serviceSEO","['Backend', 'Coding', 'Analytical', 'Javascript', 'Healthcare', 'PHP', 'HTML', 'Web designing', 'Customer service', 'SEO']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeElectronic Components / Semiconductors,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Wealth Creation, Financial Protection, Pension Solution, All type of Insurance, Person/Home/ SME Loans and other consultancy services","RoleBack End Developer,",Not Disclosed,2 - 5 years,Bengaluru,"Job descriptionSenior Web Developer

2+ Years of Experience

Job Description :

Note: This position is applicable for 2 to 4 years experienced candidates only. Eligible candidates must be having very good knowledge and experience in PHP ,  MySQL ,  HTML , CSS ,  HTML5 ,  CSS3 ,  Bootstrap Framework (for Responsive Web Design. Optional) ,  AJAX ,  JavaScript and JQuery.

Please apply to this position if you are able to join within 2 weeks time.

Please apply to this post if you are ready to attend face2face discussions immediately at our Bangalore office.

Required Technical Skills:

Must be strong in PHP ,  MySQL ,  HTML ,  CSS ,  JavaScript ,  JQuery ,  AJAX

Must have good knowledge in software development life cycle.

Comfortable with Linux ,  Apache ,  MySQL ,  PHP environment development

Must be willing to work from client location

Must be agile ,  flexible and a team player.

Self - motivated personality with the ability to work in a flexible ,  team - based environment.

Passionate about programming and self learner  -  should be willing to learn new technologies and work on it under guidance.

Excellent problem solving ,  time management skills with strong attention to detail.

Nice to have the candidate who have experience in CMS tools like wordpress ,  Joomla & Drupal

B.Sc(CS) ,  B.Sc(IT) ,  B.E / B.Tech ,  MCA ,  M.Sc(IT)

PHP ,  MySQL ,  HTML ,  CSS ,  Bootstrap ,  JavaScript & JQuery ,  AJAX

Open

 No. Of Positions :RoleBack End Developer,Industry TypeBanking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsDrupaljQueryLinuxMySQLJavascriptPHPHTMLApacheJoomlaAjax","['Drupal', 'jQuery', 'Linux', 'MySQL', 'Javascript', 'PHP', 'HTML', 'Apache', 'Joomla', 'Ajax']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeBanking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
