company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
Google Asia Pacific Pte. Ltd,"RoleSite Reliability Engineer,",Not Disclosed,10 - 13 years,Bangalore/Bengaluru,"Job descriptionMinimum qualifications:6 years of experience as a software engineer.Experience programming in one or more of the following languages: C, C++, Java, Python, Go, Perl, or Ruby.Experience with algorithms and data structures and/or Unix/Linux systems internals (e.g., filesystems, system calls) and administration.Experience architecting, developing, and troubleshooting systems.Preferred qualifications:Bachelor''s degree in Computer Science, similar technical field of study, or equivalent practical experience.10 years of experience in distributed systems, storage systems, or databases.Experience designing, analyzing, and troubleshooting large-scale distributed systems.Experience in MySQL or Postgres SQL in database.Excellent communication skills and a sense of ownership, with systematic problem-solving approach.About the jobSite Reliability Engineering (SRE) combines software and systems engineering to build and run large-scale, massively distributed, fault-tolerant systems. SRE ensures that Google Cloud''s services—both our internally critical and our externally-visible systems—have reliability, uptime appropriate to customer''s needs and a fast rate of improvement. Additionally SRE’s will keep an ever-watchful eye on our systems capacity and performance. Much of our software development focuses on optimizing existing systems, building infrastructure and eliminating work through automation. On the SRE team, you’ll have the opportunity to manage the complex challenges of scale which are unique to Google Cloud, while using your expertise in coding, algorithms, complexity analysis and large-scale system design. SRE''s culture of diversity, intellectual curiosity, problem solving and openness is key to its success. Our organization brings together people with a wide variety of backgrounds, experiences and perspectives. We encourage them to collaborate, think big and take risks in a blame-free environment. We promote self-direction to work on meaningful projects, while we also strive to create an environment that provides the support and mentorship needed to learn and grow.As a Senior Site Reliability Engineer (SRE), you will provide scalable, reliable, durable, and secure global database services for external Google Cloud customers and internal users. We help build highly reliable database services using a customer-first approach while innovating technically. You will understand our customer''s needs and how we can meet them.Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google''s product portfolio possible. We''re proud to be our engineers'' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.ResponsibilitiesEstablish a SRE site and help build an effective, inclusive SRE team.Provide technical leadership for the local team and work closely with partner team technical leads and cloud leadership.Provide guidance to other team members on managing availability and performance of mission critical services, on building automation to prevent problem recurrence, and building automated responses for non-exceptional service conditions.Manage execution of project priorities, deadlines, and deliverables.Lead designs of major software components, systems, and features to improve the availability, scalability, latency, and efficiency of Google''s services.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also and If you have a disability or special need that requires accommodation, please let us know by completing our .RoleSite Reliability Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :B.Sc in Computers, BCA in Computers, B.Tech/B.E. in ComputersPG :Any PostgraduateKey SkillsSite Reliability EngineeringUnixalgorithmsJavaC++PerlSQLLinuxMySQLdata structuresPostgresRubyPythonSkills highlighted with ‘‘ are preferred keyskills","['Site Reliability Engineering', 'Unix', 'algorithms', 'Java', 'C++', 'Perl', 'SQL', 'Linux', 'MySQL', 'data structures', 'Postgres', 'Ruby', 'Python']","['UG :B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
"Triangle ( A Unit of Ratein Infotech India Private Ltd) is a Recruitment Specialist Organisation with focus on Information Technology Industry. Incorporated in August 2000 with 4 offices in India at Mumbai, Pune, New Delhi & Bangalore, Triangle caters to more than 25 active clients who are Fortune 500 organizations and world¢??s largest IT organizations.  Our Core expertise is in End to End Permanent and Contract Staffing and Extended Services.  We have been Internationally recognized as WeConnect Certified woman owned and managed organization.  Triangle has featured in CIO Review Magazine as ¢??Company of the Year in Staffing and Recruitment¢? Category for year 2014.","RoleDevOps Engineer,",Not Disclosed,5 - 10 years,Gurgaon/Gurugram,"Job description     It is more of DevOps/AWS resource with Java/ KOTLIN /Python programming skills     JD is more generic, below is some more specific skills which we need in the role: Knowledge on building and Operating on Cloud ( AWS must) Programming skills - Java, KOTLIN , Python Infrastructure as Code Containerization (Docker must)   Experience and understanding of CI/CD Understanding and experience in Observability space Tools - Splunk, Datadog, AWS Cloud Watch, AWS Cloud trail ETC Shell scripting/ Python K8s Understanding of SRE principles Go programming nice to have Security / Perf Test tooling experience and automation         RoleDevOps Engineer,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :Any GraduatePG :Any PostgraduateKey SkillsAutomationdevopsShell scriptingCloudProgrammingInfrastructuresplunkcloud testingAWSPython","['Automation', 'devops', 'Shell scripting', 'Cloud', 'Programming', 'Infrastructure', 'splunk', 'cloud testing', 'AWS', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
Leading Client,"RoleSystem Administrator / Engineer,",Not Disclosed,4 - 7 years,Mumbai,"Job descriptionImmediate or less than 30 days notice periodResponsibilities :- Act as a cloud system admin (AWS primarily and knowledge of multi-cloud infrastructure).- Monitoring and maintaining networks and servers.- Creating and automating alerting and monitoring system logs.- Building tools to mitigate weaknesses in incident management or software delivery.- Troubleshooting Support Escalation requests.- Upgrading, installing and configuring new hardware and software to meet company objectives.- Implementing security protocols and procedures to prevent potential threats.- Creating user accounts and performing access control.- Performing diagnostic tests and debugging procedures to optimize computer systems.- Documenting processes, as well as backing up and archiving data.- Developing data retrieval and recovery procedures.- Designing and implementing efficient end-user feedback and error reporting systems.- Supervising and mentoring IT department employees, as well as providing IT support.- Keeping up to date with advancements and best practices in IT administration.Requirements :- Bachelor's degree in Computer Science, Information Technology, Information Systems, or similar.- Applicable professional qualification, such as Microsoft, Oracle, or Cisco certification.- At least two years' experience in a similar role.- Extensive experience with IT systems, networks, and related technologies.- Solid knowledge of best practices in IT administration and system security.- Exceptional leadership, organizational, and time management skills.- Strong analytical and problem-solving skills.Excellent interpersonal and communication skills.RoleSystem Administrator / Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :BCA in Computers, B.Sc in Computers, B.Tech/B.E. in ComputersPG :M.Tech in Computers, MCA in Computers, MS/M.Sc(Science) in ComputersDoctorate :Doctorate Not RequiredKey SkillsDebuggingTroubleshootingDevOpsSite ReliabilitySystem AdministrationNetwork SupportLog Management SystemCloud InfrastructureIT InfrastructureMonitoring ToolsServer AdministrationSkills highlighted with ‘‘ are preferred keyskills","['Debugging', 'Troubleshooting', 'DevOps', 'Site Reliability', 'System Administration', 'Network Support', 'Log Management System', 'Cloud Infrastructure', 'IT Infrastructure', 'Monitoring Tools', 'Server Administration']","['UG :BCA in Computers, B.Sc in Computers, B.Tech/B.E. in Computers', 'PG :M.Tech in Computers, MCA in Computers, MS/M.Sc(Science) in Computers', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
Global Leader in GCC,"RoleSite Reliability Engineer,",Not Disclosed,7 - 12 years,Bangalore/Bengaluru,"Job description Staff Site Reliability EngineerThe Staff Site Reliability Engineer will drive cross-team initiatives that improves Delta engineering practices through increased accountability and deliver increased uptime and performance for the business. An ideal candidate would have prior experience implementing observability plans around logs, metrics, and traces.What youll be doing? Engage in and improve the whole lifecycle of servicesfrom inception and design through deployment, operation, and refinementSupport capacity planning, availability, scalability, security and latency considerations for new infrastructure and service provisioning as appropriateResponsible for improvements to end-to-end availability and performance of mission critical services and build automation to prevent problem recurrence.Partner with other SREs to bring best practices or learnings from across the organization to themScale and optimize existing infrastructure and services sustainably through mechanisms, including automation, and evolve them by improving reliability and efficiencyManage end-to-end availability and performance of mission-critical services and build automation to prevent problem recurrenceMaintain infrastructure (infrastructure as code) and services by measuring, and monitoring system metrics to proactively identify operational efficiencies, potential outages and security threats in Development, UAT, Staging and Production environmentsPractice sustainable incident response and blameless postmortemsBuild infrastructure and drive projects that break things with the aim to improve the robustness of production systemsUse the core Site Reliability Engineering principles of change management, monitoring, emergency response, capacity planning, and production readiness reviews to run the platformStep back to observe patterns and develop innovative tools and automation to eliminate or minimize menial tasks. Use those learnings to drive the best operational practicesDevelop and maintain solution and operational documentation and designs for all infrastructure and services within the scope of SREPreserve operational visibility and response capabilities — fixing and improving our dashboards, alerts, and automationMaintain operational uptime and reliability by participating in triage and issue support calls for mission critical systemsPartner with business and technical product owners to set SLOs / SLIs / error budgets to manage reliability of infrastructure and applicationsWho are you? Strong experience setting SLOs / SLIs / error budgets and managing of reliability for infrastructure and applications using Kubernetes, AWS Native components, CloudWatch, DynatraceCan lead and mentor team of less experienced Full-stack developers who are learning the AWS environment.Proficient in one or more of the following scripting languages: JavaScript, Nodejs, Python, Maven, Ansible, Bash, etc.Experience handling large numbers of diverse systems with configuration management systems like Puppet, Chef, AnsibleUnderstanding of standard networking protocols and components such as HTTP, DNS, ECMP, TCP/IP, ICMP, the OSI Model, Subnetting and Load Balancing strategiesExperience in Serverless Application FrameworkExperience in containerized workloads and management platforms such as Docker or KubernetesFamiliarity with distributed systems is a plus including MicroservicesExperience in Infrastructure automation tools such as CloudFormation, TerraformUnderstanding of CI/CD processes and experience with deployment automation tools such as Code Pipeline, Code Deploy, Jenkins, BambooStrong debugging, troubleshooting, and problem-solving skillsEffective communication, collaboration & negotiation skills with the ability to interface with various business units and third partiesMust have the ability to listen to customers and colleagues; convey ideas effectively; prepare written documentationExperience liaising with developers, operations staff and third-party resourcesExperience with API integration projectsProven history of toil elimination by leveraging automationStrong background using tools like PagerDuty for managing incidentsStrong experience with monitoring and alerting systems like Prometheus, Grafana, Datadog.Software Engineering, Computer Science equivalent, or STEM degree (Desirable) or commensurate experience3+ years of support a production system on a DevOps team2+ years of experience Architecting using AWS CloudRoleSite Reliability Engineer,Industry TypeAviation,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :Any GraduateKey SkillsSite Reliability EngineeringDevops","['Site Reliability Engineering', 'Devops']",['UG :Any Graduate'],"Industry TypeAviation,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
"Data is powering the worlds leading innovations from autonomous vehicles to AI-powered neural networks. At Informatica, we call this Data 4.0when next-generation intelligent enterprises leverage data to make possible what never existed before.Informatica is the only proven Enterprise Cloud Data Management leader that accelerates data-driven digital transformation. Todays intelligent enterprise is fueled by data and that data must be properly managed, governed, protected, and utilized this is where Informatica drives next-generation innovation with its Intelligent Data Platform. Our Intelligent Data Platform, a complete and modular solution built on a microservices architecture and based on the AI-powered, CLAIREengine, enables companies to fuel innovation, become more agile, and realize new growth opportunities, resulting in intelligent market disruptions.","RoleSystem Administrator / Engineer,",Not Disclosed,5 - 9 years,Bangalore/Bengaluru,"Job description    Technology You ll Use not limited to the following:       Docker and Cloud Platforms (AWS, Azure. GCP), Cloud log services (ELK), Cloud application monitoring tools (Elastic APM, AppDynamics)       Jenkins and Spinnaker CI/CD tools       Git version control systems       Kubernetes, AWS EKS, Helm, Istio, Kiali, Service Mesh       Telemetry tools which include Prometheus, ELK       Your Responsibilities       Operate and administer the Informatica Cloud Services (ICS) and infrastructure using Chef/Jenkins, SumoLogic, Panopta, Elastic Search, and monitoring tools       Manage RCA, Incident Process, and Risk Analysis of Informatica Cloud Services       Perform advanced troubleshooting and monitoring of our systems to ensure adequate SLA and capacity requirements.         Scripting experience with Bash, PowerShell, Python       Excellent communication skills (written, verbal, interpersonal)       Ability to work independently with little direct supervision       Education / Experience         Bachelor s/Master s Degree in Computer Science or equivalent experience       Good knowledge of large-scale internet service architecture       Good understanding of Unix and TCP/IP fundamentals.       Strong interpersonal and team communications skills are essential       Ability to rapidly learn new software, frameworks, open-source tools and development languages.       Ability to work under considerable pressure managing multiple tasks and priorities       Good knowledge of MySQL DB schema design and performance tuning tasks is a big plus       Good knowledge across entire SDLC, CI/CD tools, with configuration release management, deployments, and troubleshooting in cloud environments       Good understanding of public clouds such as AWS, Azure, GCP       Hands on experience with CI/CD tools such as Jenkins, bamboo, Spinnaker    RoleSystem Administrator / Engineer,Industry TypeSoftware Product,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :Any GraduatePG :Any PostgraduateKey SkillsUnixPerformance tuningAutomationInformaticaTroubleshootingOpen sourceRelease managementSDLCMonitoringPython","['Unix', 'Performance tuning', 'Automation', 'Informatica', 'Troubleshooting', 'Open source', 'Release management', 'SDLC', 'Monitoring', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeSoftware Product,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
"Twilio is an American company based in San Francisco, California, which provides programmable communication tools for making and receiving phone calls, sending and receiving text messages, and performing other communication functions using its web service APIs.","RoleSite Reliability Engineer,",Not Disclosed,4 - 7 years,Bangalore/Bengaluru,"Job descriptionSoftware Engineer (L3)- SRE - BokuJoin the team as our next Software Reliability Engineer (L3), Account Security - IdentityWho we are & why were hiringTwilio powers real-time business communications and data solutions that help companies and developers worldwide build better applications and customer experiences.Although we're headquartered in San Francisco, we have presence throughout South America, Europe, Asia and Australia. We're on a journey to becoming a globally anti-racist, anti-oppressive, anti-bias company that actively opposes racism and all forms of oppression and bias. At Twilio, we support diversity, equity & inclusion wherever we do business. We employ thousands of Twilions worldwide, and we're looking for more builders, creators, and visionaries to help fuel our growth momentum.About the jobThis position is needed to build and scale our global Silent Network Auth and Identity products within the Account Security business unit.  You will be part of our team based out of Bangalore, India focussing on System Operations and Reliability of our Cloud based platform and services.ResponsibilitiesIn this role, youll:Ensure reliability, availability and security, of cloud-based distributed systems built to seamlessly scale to several million transactions per day, tackling some of the most complex and exciting technical problems in the industryConfigure, maintain, monitor and optimize AWS, Google, and other cloud infrastructures with deployments in different geographic regions.Design, code and troubleshoot CI/CD pipelines, support containerisation activities.Write automation tools in Python/Bash/Perl and use frameworks like ansible, terraform Participate in production on call rotation/support activities.Collaborate with different teams to troubleshoot applications and services for mobile and the web. Qualifications Not all applicants will have skills that match a job description exactly. Twilio values diverse experiences in other industries, and we encourage everyone who meets the required qualifications to apply. While having desired qualifications make for a strong candidate, we encourage applicants with alternative experiences to also apply. If your career is just starting or hasn't followed a traditional path, don't let that stop you from considering Twilio. We are always looking for people who will bring something new to the table!Required:5+ years of experience with SRE culture, improving reliability with automation, chaos testing, and process improvement.Experience designing and operating distributed systems and cloud infrastructure at scale.Solid Knowledge of Cloud Provider Tools, preferably in GCP or AWS stackSystem administrator level knowledge of Unix/Linux Operating systems and tools. Hands-on experience in automating and improving the deployment pipelines and CI/CD in the public cloud.Scripting programming skills such as Ansible, Terraform, Chef or other frameworks and languages like Python/Perl/BashExperience working on security evaluations and penetration testsKnowledge in techniques such as Infrastructure as code, containerization and container orchestration toolsAbility to analyze and troubleshoot in networking, performance, system and infrastructure issues using standard tools.Experience working on a distributed team, with different time zonesExperience with on call rotationDesired:Familiarity and Experience with programming in languages like Java, React and or Golang.Certification in GCP/AWSCapable of reasoning about SWE concepts such as API definitions, database modeling ,microservices architecture and common failure modes.Location This role will be based in our Bangalore, India office. (Change to standard verbiage for India)Approximately ~5% travel is anticipated. What We OfferThere are many benefits to working at Twilio, including, in addition to competitive pay, things like generous time-off, ample parental and wellness leave, healthcare, a retirement savings program, and much more. Offerings vary by location.Twilio thinks big. Do you?We like to solve problems, take initiative, pitch in when needed, and are always up for trying new things. That's why we seek out colleagues who embody our values  something we call Twilio Magic. Additionally, we empower employees to build positive change in their communities by supporting their volunteering and donation efforts.So, if you're ready to unleash your full potential, do your best work, and be the best version of yourself, apply now!If this role isn't what you're looking for, please consider other open positions.Twilio is proud to be an equal opportunity employer. Twilio is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Additionally, Twilio participates in the E-Verify program in certain locations, as required by law.Twilio is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please contact us at accommodation@twilio.com.RoleSite Reliability Engineer,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :B.Tech/B.E. in Any SpecializationKey SkillsPythonJenkinsJavaTerraformGCPAnsibleCicd PipelineSite Reliability EngineeringPerlBashAWSDevopsSkills highlighted with ‘‘ are preferred keyskills","['Python', 'Jenkins', 'Java', 'Terraform', 'GCP', 'Ansible', 'Cicd Pipeline', 'Site Reliability Engineering', 'Perl', 'Bash', 'AWS', 'Devops']",['UG :B.Tech/B.E. in Any Specialization'],"Industry TypeSoftware Product,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
"Photon is the Largest and Fastest growing provider of Mobile First Omnichannel Experiences. We work with over 35% of the F100's (including award winning presence like Walgreens (Best Retail app of the year at SXSW, Webby winner), JP Morgan Chase (winner of multiple Webby's), Western Union, Mastercard, State Street Bank, L'Oreal, BestBuy, American Eagle, Neiman Marcus, HSN, Cisco, Horizon HealthCare & Johnson and Johnsonetc). Additionally we also work with innovative and well funded startups likeSongza (recently acquired by Google), Xtify (acquired by IBM), Siri (acquired by Apple), TouchTunes, MDLive, Viggle, etc. Our Omnichannel presence touch over 120 million consumers every day and have the largest footprint of Mobile and Multi-Channel engineers in the World (over 3600). We are the dominant providers of Omnichannel solutions for Fortune 100 companies. When we say we are leaders in Omni channel, we define it as comprising of 5 areas €“ 1.    Consumer Facing Applications2.    Associate Facing Applications3.    Adaptive Responsive Web Presence4.    In-store Digital Solutions5.    API Management Services6.    Additionally we believe in the not so distant future, it will also include Internet of Things & Wearable€™s The founders of Photon previously founded Infravio, one of the world's leading SOA Infrastructure companies. During 2000 to 2006, they wrote several of the standards in the SOA Governance and API Management space. Infravio€™s success resulted in acquisition by webMethods in 2006. Today, Photon leverages the deep understanding of enterprise middleware gained from those roots and Photon€™s in-house creative agency based in New York and Chicago to Innovate, Architect and Build omni-channel presences that make your customers go WOW!","RoleSite Reliability Engineer,",Not Disclosed,5 - 10 years,Hyderabad/Secunderabad,"Job description Greeting from Photon.Photon is looking for Azure Site Reliability Engineer who is available to join immediately.JD give below:Overall 5-6+ years of relevant IT experienceMust be senior candidate & having hands on experienceMust be having strong AKS/K8 experienceCandidate will be involved in below mentioned activities on regular basis and should have relevant experience - syseng: manage 4 Kubernetes clusters and component upgrades and patchingsyseng: write, maintain and patch base Linux Docker files and imagessyseng: develop infrastructure as code and automationsyseng: develop with Bash, Python, and Node.jssyseng: manage multiple node pools and scale sets per AKS clustersyseng: deploy, upgrade, and maintain Nginx ingress controllerssyseng: deploy, upgrade, and maintain SSL cert managerssyseng: maintain and upgrade helm charts for Nginx and cert managerssyseng: monitor automation for LetsEncryptsyseng: annotate Nginx ingress resources for DNS-01 cert challengessyseng: maintain TLS secrets for cluster certssyseng: update and maintain the oceanspray.io DNS zoneIf interested, pls send across your profile to vignesh.ak@photon.comRoleSite Reliability Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :Any Graduate, B.Tech/B.E. in Any SpecializationKey SkillsTerraformsAzure CloudAzure DevopsKubernetesCICDSkills highlighted with ‘‘ are preferred keyskills","['Terraforms', 'Azure Cloud', 'Azure Devops', 'Kubernetes', 'CICD']","['UG :Any Graduate, B.Tech/B.E. in Any Specialization']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
Leading Client,"RoleSite Reliability Engineer,",Not Disclosed,2 - 4 years,Bangalore/Bengaluru,"Job descriptionJob Description :Our Client is a Product company, headquartered in London UK and developing an Ai powered enterprise platform that enables insurers the flexibility to scale capacity as needed, safely, securely, efficiently and at speed. Intelligent and flexible tool understands global insurance processing challenges, and seamlessly solves them. A smart and powerful modular SaaS platform that is built on robust technology, substantially minimizing time and money, whilst maximizing speed to market. Job Overview : As the SRE, you are responsible for application lifecycle and service management by incorporating various aspects of software development into IT operations. As an SRE you will be tasked with ensuring seamless collaboration between IT operations and development teams through the enhancement and automation of routine processes. Responsibilities and Duties : - Developing, configuring, and deploying platform to be used by operations teams - Handling support escalation issues - Conducting and reporting on incident reviews - Developing system documentation - Change management - Determining and validating new features and updates Skills, Education, Experience : - Languages : React.js, SQL, node.js - Cloud Experience : AWS (preferred) or any public cloud, ability to configure resources and services in public cloud - Experience : At least 2 to 3 years of experience in troubleshooting, L2 or L3 service engineer experience, must have supported multiple clients deployment and operations Position : Remote HybridReporting : Reports To Technology leadershipRoleSite Reliability Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey Skillsnode.jsSite ReliabilityTechnical SupportIncident ManagementTroubleshootingReact.jsIT OperationsSQLSkills highlighted with ‘‘ are preferred keyskills","['node.js', 'Site Reliability', 'Technical Support', 'Incident Management', 'Troubleshooting', 'React.js', 'IT Operations', 'SQL']","['UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
Leading Healthcare Technology company ,"RoleSite Reliability Engineer,",Not Disclosed,3 - 7 years,Noida,"Job descriptionRoles and Responsibilities  Participate in 24x7 site reliability      rotations and escalation workflows, and keep improving the processesProactively monitor, measure, and improve      all areas of infrastructure and operations.Build and maintain platform solutions to      ensure maximum uptime and predictability while preventing outages and      service interruptions or degradationsFocus on efficiency and reduce toils, identify      and address automation and tooling gapsDesign and build the tools, frameworks,      systems, and processes that our engineers use to build, integrate, deploy,      scale, and manage their software, providing efficiency, agility and      flexibility for the full CI/CD lifecycle while holding high standard of      qualityScale solutions from proofs-of-concept to      full production systems.Contribute to capacity planning, demand      forecasting, software performance analysis, and systems tuning.Minimize the risk of reliability-related      failure outcomes as pertaining to durability, availability, performance,      and correctness.Collaborate effectively with other      engineers and help overall knowledge sharing across our organizationDesired Candidate Profile  3+ years of software development and/or      operation experience, preferably in cloud (SaaS/PaaS) context Self-starter with the ability to work      with minimal direction under tight, but reasonable deadlines. Fluent in one or more of the languages: Java,      Python, shell script and GoHands-on experience with Linux, containerization      and cloud architectures Hands-on experience in production level Kubernetes      clusters and related toolingWorking knowledge with a public cloud      provider (AWS is preferred) and at least one infrastructure as code solutions      (e.g. Terraform, CloudFormation)Fluent in CI/CD methodologies, procedures      and tooling such as Jenkins, supporting large scale enterprise level cloud      services Experience in troubleshooting/debugging      application and infrastructure issues in complex cloud native      architecturesExperience in operating production SaaS      environmentsStrong communication and documentation      skillsExperience working in company that      practices both an Agile and DevOps mentality  RoleSite Reliability Engineer,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDevOpsEducationUG :Any GraduateKey SkillsJavapython","['Java', 'python']",['UG :Any Graduate'],"Industry TypeSoftware Product,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDevOps
"Zscaler enables the worlds leading organizations to securely transform their networks and applications for a mobile and cloud first world. Its flagship services, Zscaler Internet Access and Zscaler Private Access, create fast, secure connections between users and applications, regardless of device, location, or network. Zscaler services are 100% cloud-delivered and offer the simplicity, enhanced security, and improved user experience that traditional appliances or hybrid solutions are unable to match. Used in more than 185 countries, Zscaler operates the worlds largest cloud security platform, protecting thousands of enterprises and government agencies from cyberattacks and data loss.","RoleTechnical Lead,",Not Disclosed,5 - 9 years,Bangalore/Bengaluru,"Job description   Design, deploy, and manage the infrastructure and services supporting the ZWS software engineering team.     Plan for and manage the rapid growth of the platform and supporting services     Implement robust and scalable monitoring and alerting.     Develop, maintain, and augment operational documentation.     Work closely with other parts of the engineering organization to turn requirements into solutions.     Create/update Terraform modules, plans.     Create/update Ansible playbooks.     Participate in the on-call rotation.     Qualifications     Experience as a systems/infrastructure admin/engineer.     Strong leadership skills to ensure co-workers are motivated and engaged to deliver against a roadmap.     A very strong communicator, able to lead and facilitate discussions     Comfortable working and proactively communicating with stakeholders across functional areas     Comfort in a large scale and rapidly growing environment.     Experience working with public cloud platforms such as AWS, Azure, or GCP.     Familiarity with network and infrastructure security concepts and solutions.     Have worked with CI/CD, artifact, and scanning systems such as Jenkins, Artifactory, and X-Ray.     Experience with managing and deploying Docker containers.     Strong experience with modern monitoring and metrics platforms such as Datadog.     Infrastructure as Code tools such as terraform, packer, cloudformation, etc.     Orchestration and automation tools such as ansible, puppet, chef, etc.     Programming/scripting languages like shell, python, groovy, Go, etc.     Expert level knowledge of UNIX/Linux operating systems.     Experience with data services such as Kafka, Postgresql, Elasticsearch, and Redis.     Strong verbal and written communication skills and a love of writing documentation for your work.   RoleTechnical Lead,Industry TypeHardware & Networking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsUnixdata servicesLinuxOperating systemsGCPPostgresqlAutomation toolsInfrastructureOperationsMonitoring","['Unix', 'data services', 'Linux', 'Operating systems', 'GCP', 'Postgresql', 'Automation tools', 'Infrastructure', 'Operations', 'Monitoring']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
