company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
" Lexicon Infotech Limited was established in the year 1999 as an IT consulting and services company. It has state- of- art delivery center at Hyderabad and offices at Mumbai and Brussels. It also has presence in USA through its associates based out of Florida.Our services include application development, maintenance and support along with quality assurance and testing services. We are also an implementation partner of salesforce.com with expertise in multiple clouds.Our solutions are based on technologies such as .Net, Angular, Java, Android, iOS, IOT and Salesforce. We are also in the process of expanding our operations into cyber security and Artificial Intelligence.We are growing at a rapid pace and expanding our global footprint through our path breaking services and solutions. As part of our growth plan, we are looking at dynamic team members to join us.","RoleOther,",Not Disclosed,12 - 18 years,Bangalore/Bengaluru,"Job descriptionData/ Applications architects require a high level of technical expertise in the related field, combined with excellent planning, coordination and communication skills, and the ability to work on teams. This opportunity is for a Global IT solution company hence candidates should possess following job specification :- 12 plus years of technical experience in design, development and deployment of enterprise-level application/ data management with at least 5+ years as a proven Application Architect role in building large scale enterprise digital solutions / products / platforms Strong proficiency in architecting and designing highly scalable, available, secure and elastic solutions that implement industry best practices and cutting-edge technologies. Strong proficiency in building resilient and cloud ready solutions based on Micro Services, Multi-tenancy architecture. Proficiency in working closely with clients, product owners, enterprise architects and business analysts to understand functional and non-functional requirements and convert into technical solutions. Ability to diverse requirements, negotiate, and effectively articulate rationale and vision behind technical decisions that support the business. Must have architected high concurrency web and mobile applications with user load of around 100k. Technical skill: o Type of applications: Web (must) and native mobile applications (must) o Architecture patterns: SPA, Microservices (must) and Serverless (good to have) o Front End technologies: React / Angular (must), React Native (good to have) o Back End technologies: Java / Python (any of Django/Flask/Tornado) o Database/Storage technologies: SQL databases (Must), Elasticsearch (must), Redis (must) and Kafka (good to have) etc. o Bigdata / Data analytics, Data Management, ETL or System technologies: o Docker & Helm chart (all must) o Cloud: AWS or Azure (Experience working with cloud extensively) o Understanding of load balancing / disaster recovery strategy / auto-scaling / handling of surge of request is a plus. Tools: o GITHub or Similar repository (must) o JIRA & Confluence (must) o JFrog or similar antifactory (must) o Knowledge of SONAR, Junit, Automated testing concepts. (Good to have) o Knowledge of CI/CD pipeline through Azure / AWS DevOps is plus. Experience: o Experience in architecting multi-tenant SaaS products. o Knowledge of designing IaaC based automatic Customer specific instant deployment.RoleOther,Industry TypeIT Services & Consulting,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :B.Tech/B.E. in Any Specialization, BCA in Any SpecializationKey SkillsApplication ArchitecturesMicroservicesTechnical ArchitectureFull Stack DeveloperData ArchitectAzureArchitecture patternBig DataSingle Page ApplicationNative Mobile ApplicationSystem integrationWeb ApplicationData AnalyticsETLAWSSkills highlighted with ‘‘ are preferred keyskills","['Application Architectures', 'Microservices', 'Technical Architecture', 'Full Stack Developer', 'Data Architect', 'Azure', 'Architecture pattern', 'Big Data', 'Single Page Application', 'Native Mobile Application', 'System integration', 'Web Application', 'Data Analytics', 'ETL', 'AWS']","['UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization']","Industry TypeIT Services & Consulting,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
"Our team of 160,000 professionals in 70 countries draws together the worlds of food, agriculture, nutrition and risk management. For more than 150 years, we have helped farmers grow more, connecting them to broader markets. We are continuously developing products that give consumers just what theyre seeking, advancing nutrition, food safety and sustainability. And we help all of our partners innovate and manage risk, so they can nourish the world again tomorrow.We combine 153 years of experience with new technologies and insights to serve as a trusted partner for food, agriculture, financial and industrial customers in more than 125 countries. Side-by-side, we are building a stronger, sustainable future for agriculture.","RoleTechnical Architect,",Not Disclosed,4 - 9 years,Bangalore/Bengaluru,"Job description   The Solution Integrity Analyst, will maintain, integrate, and implement moderately complex software applications within the organization for the SAP Business Technology Platform (BTP). In this role, you will work on a team to implement software applications in alignment with architecture and business processes.          Key Accountabilities       Use a general understanding of architecture standards and business processes to define and govern the software applications solutions and direction.    Participate in investigations of moderately complex business and system issues to research and identify innovative solutions through ideation, design thinking, and other development processes.    Follow documentation standards, test and debug software applications, configure software and support deployment and cutover activities to implement solution applications.    Compile, prioritize and coordinate implementation of enhancements and defect fixes.    Execute the strategy and planning of software applications in accordance with software compliance standards.    Interpret and understand data and business reporting from complex process areas across a subset of the organization.    Support the expansion of the BTP platform with knowledge of specific platform apps and services, continued learning, and strategic leadership.    Independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff.    Other duties as assigned         Qualifications     Minimum Qualifications       Bachelors degree in a related field or equivalent experience    Minimum of two years of related work experience    Minimum of two years of SAP BTP platform knowledge and experience        RoleTechnical Architect,Industry TypeFood Processing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSAPBusiness reportingArchitectureComplianceDeploymentStrategic leadershipApplication softwareSolution ArchitectSupervision","['SAP', 'Business reporting', 'Architecture', 'Compliance', 'Deployment', 'Strategic leadership', 'Application software', 'Solution Architect', 'Supervision']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFood Processing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"We have a passion for technology and helping IT organizations to operate more effectively. We can help you transform your IT processes, applications and infrastructure by using the latest technologies for cloud, Big Data, mobile and social, and by providing you with exceptional technical talent when you need supplemental staff.","RoleTechnical Architect,",Not Disclosed,10 - 15 years,Bangalore/Bengaluru,"Job description  Provide hands-on oversight in designing, architecting and developing new commercial SaaS product   Responsible for the oversight of front and backend software application architecture, product requirements, system performance, scalability, security, and manageability   Conceptualizes and develops designs and architectural concepts   Collaborate with internal teams, clients and vendor partners to facilitate the definition of project scope, goals and deliverables.   Presents and defends architecture, design, and technique choices to internal and external audiences   Conducts and leads code review sessions to ensure high quality software   Establishes best practices and ensures that they are followed by the design team   Proactively learns new technologies, standards, and applications; keeps current with technology developments within the industry   Collaborates with development leaders in all stages of software development, including planning, implementation, testing, documentation, and release   Provide day-to-day direction and guidance to the technical team as required.   Review technical capabilities of new and existing development team members.   Work with internal and external stakeholders to understand the needs for the various applications.   Work with any external clients for any designs on new features or feature enhancements.     Qualifications    Bachelors Degree   Ability to serve as a senior technologist and architectural advisor with strong technical leadership.   Ability to perform as a lead technologist to assess and design applications, systems solutions, and interfaces for multiple systems.   Skilled with broad, conceptual understanding of the technology architecture trends and directions with demonstrated technical mastery for technologies, frameworks, and/or languages.   Ability to influence and set technical direction.   Skilled at contributing and communicating your expert knowledge of applications/systems and concepts to a broader audience.   Ability to influence teams to a future state while understanding the need to make practical decisions along the way.   10 years of programming/development experience preferred.   2 years of experience as a technical lead or architect preferred.   Full-stack web development experience with JavaScript frameworks such as React and programming in NodeJS   Microservices architecture and API development, knowledge of integration protocols REST and SOAP.   MongoDB or NoSQL equivalent database experience  RoleTechnical Architect,Industry TypeHardware & Networking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsBackendNoSQLArchitectureWeb developmentJavascriptTechnical leadershipMongoDBapplication architectureApplication softwareDistribution system","['Backend', 'NoSQL', 'Architecture', 'Web development', 'Javascript', 'Technical leadership', 'MongoDB', 'application architecture', 'Application software', 'Distribution system']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 10,000 cities around the world.We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and lets move the world forward, together.","RoleTechnical Lead,",Not Disclosed,3 - 7 years,Bangalore/Bengaluru,"Job description **About the Role**Software engineers at Uber have a deep impact across a wide variety of business and technology decisions spanning multiple projects and locations. They are pragmatic technologists able to craft scalable systems while delivering efficient code. They are not only collaborative role models, but also empathic thought leaders within a larger group. They are humble teachers, technically mentoring a team of hardworking engineers while also executing on delivering exciting projects!We are looking for a strong Senior Engineer as part of the Network Platform team who has a passion for architecting, building and scaling highly-available, mission-critical systems that support millions of users daily.   **What Youll Do  You will design, code, test, and launch new services, and features for Infrastructure at the global trip scale Your primary focus will be to drive Multi-Region, Multi-Zone programs across Uber for increased reliability for all backend services and flawless end-user experience.    You will build and deliver these cutting edge features through sophisticated experiments, collaborating with Compute, Foundations, Deployment, Cloud, SRE, Storage, and Product teams, to help build software on reliable infrastructure services.  *What Youll Need*You have a proven record of building and productionizing highly reliable infrastructure at scale.    7 years of relevant engineering experience, specifically working on backend services networking stack or building infrastructure platform-as-a-service services Experience with Go, Java, or C (bonus points for more than one).    Design/architect, develop, and/or test software applications using Ubers technology stack. You can collaborate well with several infra/product engineering teams to articulate requirements and system design. Excellent written and verbal communication skills, including the ability to write detailed technical documents. Ability to lead and guide excellent engineering teams. Undergraduate degree in computer science or equivalent.  *Preferred Qualifications*  Full-stack infrastructure knowledge Good understanding of computer architecture, networking and CS fundamentals. Proficiency in Linux. Good knowledge of cloud, on-prem, traffic routing, service architecture in multi-region setup. Passionate about helping teams grow by inspiring and mentoring engineers. Ability to assess new technologies and make pragmatic choices that help guide us towards a long-term vision**About the Team**The Network platform team is responsible for ensuring all traffic from mobile, web devices are able to reach Uber services and communicate among the service mesh in the most expedient highly available manner. Also responsible for running Uber services in a multi-zone, multi-region setup for highly reliable systems.RoleTechnical Lead,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceBackendProduct engineeringDesign ArchitectLinuxComputer architectureSystem designApplication softwareinfrastructure servicesTechnical documentation","['Computer science', 'Backend', 'Product engineering', 'Design Architect', 'Linux', 'Computer architecture', 'System design', 'Application software', 'infrastructure services', 'Technical documentation']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeInternet,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Sasken Communication Technologies Ltd,"RoleTechnical Architect,",Not Disclosed,4 - 8 years,Bangalore/Bengaluru,"Job description   Person at this position owns architecture/ design of a sub-system (a set of modules or a product), formulates new solution and ideas and produces new or original work   Person demonstrates the ability to justify a stand or decision supported by sound technical knowledge base   Person is able to the represent the organization externally in detailed technical discussion with the customer with a high level of authority on technical matters   Person leads projects which are of significant organisational profile and makes trade-off decisions to deliver solutions that both meet customers technical requirements and timelines   Person demonstrates the ability to analyse and interpret complex problems and improve, change or adapt existing methods to solve the problem       Education and Experience Required      Engineering graduate, MCA, etc Experience ; > 8 years      Competencies Description      Who has done one or more of the following with respect to windows desktop or web Applications: a. Design b. Development/ Customization c. Bug Fixing/ Sustenance    Who is familiar with : a. WCF, WPF b. UML c. Design Patterns    Platforms- .NET 3.x, 4.x    Technology Standard- WCF, WPF, XML, SOAP, REST, Web Services    Tools- Visual Studio    Languages- C#, ASP.NET    Specialization- .NET CORE, CLOUD NATIVE, MICROSERVICES  RoleTechnical Architect,Industry TypeTelecom / ISP,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :MCA in ComputersKey SkillsWeb servicesUMLXMLArchitectural designASP.NetWindowsWCFVisual StudioWPF","['Web services', 'UML', 'XML', 'Architectural design', 'ASP.Net', 'Windows', 'WCF', 'Visual Studio', 'WPF']","['UG :Any Graduate', 'PG :MCA in Computers']","Industry TypeTelecom / ISP,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com","RoleTechnical Architect,",Not Disclosed,1 - 4 years,Bangalore/Bengaluru,"Job description    Architect, design, develop, test, troubleshoot, debug, optimize, scale, maintain and improve software applications, driving the delivery of high quality value and features to BlackLine’s customers. Develop functional and technical specifications, and test plans. Review others’ code. Develop and document functional and technical requirements. Collaborate with other team members and other teams on all of the above.         Design and communicate coding standards, architectural plans, solve complex design and architectural problems, create robust architectural solutions.      Implement, refine, and enforce software development techniques to ensure that delivered features meet software integration, performance, security, and maintainability expectations.      Research, test, benchmark, and evaluate new tools and technologies, and recommend ways to implement them in product development.      Provide technical expertise and leadership in the design, development, and delivery of BlackLines products, while adhering to timelines, coding standards, requirements, and quality.      Architect, design, develop, test, troubleshoot, debug, optimize, scale, maintain and improve software applications, driving the delivery of high quality value and features to BlackLine’s customers. Develop functional and technical specifications, and test plans. Review others’ code. Develop and document functional and technical requirements. Collaborate with other team members and other teams on all of the above.      Design and communicate coding standards, architectural plans, solve complex design and architectural problems, create robust architectural solutions.      Implement, refine, and enforce software development techniques to ensure that delivered features meet software integration, performance, security, and maintainability expectations.      Research, test, benchmark, and evaluate new tools and technologies, and recommend ways to implement them in product development.      Provide technical expertise and leadership in the design, development, and delivery of BlackLines products, while adhering to timelines, coding standards, requirements, and quality.      Architect, design, develop, test, troubleshoot, debug, optimize, scale, maintain and improve software applications, driving the delivery of high quality value and features to BlackLine’s customers. Develop functional and technical specifications, and test plans. Review others’ code. Develop and document functional and technical requirements. Collaborate with other team members and other teams on all of the above.      Design and communicate coding standards, architectural plans, solve complex design and architectural problems, create robust architectural solutions.      Implement, refine, and enforce software development techniques to ensure that delivered features meet software integration, performance, security, and maintainability expectations.      Research, test, benchmark, and evaluate new tools and technologies, and recommend ways to implement them in product development.         RoleTechnical Architect,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsArchitectArchitectureCodingDebuggingDesign developmentResearchApplication softwareTroubleshootingInformation technologyTesting","['Architect', 'Architecture', 'Coding', 'Debugging', 'Design development', 'Research', 'Application software', 'Troubleshooting', 'Information technology', 'Testing']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"At Oracle, we empower businesses that are changing the world by providing them with the world’s most complete integrated Business Software, Systems and Cloud technology. We are a global company focused on helping top talent reach their full potential. At Oracle, we are offering you a world of opportunity and an undeniably great place to work. As part of our team you’ll work in an exciting, high-energy environment, collaborating with some of the sharpest minds in the industry.","RoleTechnical Consultant,","₹ 20,00,000 - 35,00,000 P.A. ",6 - 11 years,Noida,"Job description Roles and Responsibilities  Responsible for Supporting Oracle Fusion HCM Modules after understanding of Process Flows.Collaborate with Functional team very closely to understand the issue and provide resolutionSupport Functional teams to Investigate issues and provide resolutionsDetermine root cause of the problems & resolves themBuild Strong and Positive relationship with customer at various levelsPrioritize and manage issues assigned within guidelines provided.Work with the technical team members in developing & testing of customized solutionsWork with end users to streamline business processes using Oracle functionality and improve the efficiencyDevelop technical specifications to address new business requirements.Document detailed processes and procedures and train end useProvide regular reviews of contract achievements and statusPost presentation to customerIn many cases, there may be follow-up activities and additional feedback provided by the customerThe TAM should assist with making sure that the appropriate follow-up actions or information are directed to the right resources and completed.Establish and manage effective working relationships in a matrix environment with other departments, groups and staff with whom work must be coordinated or interfaced. Comfortable leading without necessarily having the overt authority to do soFeedback any important client information to Client Services TeamDesired Candidate Profile Engineering GraduateMinimum 10 years experience in Oracle eBS HRMS/Peoplesoft HCM and atleast 5 years experience in Oracle Fusion HCM modules, 2-3 implementation involving Fusion HCM ( exposure to Indian customer and public sector payroll will be very beneficial) Strong Knowledge of PaaS services used to extend Fusion HCM (OIC, VBCS, ATP Database, Analytics Cloud, ODI) Good understanding of functional flows for  HCM Modules  in Oracle Fusion ERPFusion HCM upgrade process and testing knowledgeA strong business orientation combined with strong IT technical skills.A self-starter, who can effectively navigate a complex organizational structure, and can work in matrix management.Ability to work in diverse, fast-paced environment and effectively collaborate across teams.Dives deep into the details and is experienced in managing multiple medium to large scale initiativesExcellent communication and presentation skillsExcellent verbal & written communication skillsShould be adaptable and open to learning new skills.Strong project management skills.Must be a team player Perks and Benefits CompetitiveRoleTechnical Consultant,Industry TypeIT Services & Consulting,Functional AreaConsulting,Employment TypeFull Time, PermanentRole CategoryIT ConsultingEducationUG :Any GraduateKey SkillsOracle Fusion Hcmoracle fusionpeoplesoft hcmSkills highlighted with ‘‘ are preferred keyskills","['Oracle Fusion Hcm', 'oracle fusion', 'peoplesoft hcm']",['UG :Any Graduate'],"Industry TypeIT Services & Consulting,","Functional AreaConsulting,","Employment TypeFull Time, Permanent",Role CategoryIT Consulting
"Blue Yonder (formerly JDA Software, Inc.) provides seamless, friction-free commerce please go to our updated company page as this page will no longer be active forthcoming.","RoleProduct Designer,",Not Disclosed,3 - 8 years,Bangalore/Bengaluru,"Job description  Works closely with product management in developing a deep understanding of the context of use and stakeholder requirements   Helps to translate a product vision and requirements into compelling interaction design and illustrates the design in form of wireframes.    The design will be tested and iterated with input from end users and documented in form of implementable high-fidelity wireframes   Provides graphical assets and detailed specification to support front end developers to implement the solution    General Proficiency Level Knows when and how to apply common methods of human centered design process and design thinking, and consistently quality designs for software applications from discovery to implementation support while following corporate design systems and design process    Works with product management to plan design process and deliverables    Plans and conducts user research to collect user requirements from all stakeholders    Defines Information Architecture and navigation structure of larger applications    Contributes to design system by identifying and specifying design patterns      General Requirements     Bachelor or master s degree in HCI, Industrial Design, Graphics Art, User Experience, Human Factors, or equal / relevant industrial experience   3+ years of job experience in designing interactive software applications   Experience in applying design methods as needed to deliver high quality human-centric product experience   Experience in using UI prototyping tools (e.g. Figma, Sketch) to create wireframes  RoleProduct Designer,Industry TypeIT Services & Consulting,Functional AreaUX, Design & Architecture,Employment TypeFull Time, PermanentRole CategoryOther DesignEducationUG :Any GraduatePG :Any PostgraduateKey SkillsGraphicsProduct managementUser researchFront endIndustrial designInteraction designCorporateApplication softwareInformation architectureTesting","['Graphics', 'Product management', 'User research', 'Front end', 'Industrial design', 'Interaction design', 'Corporate', 'Application software', 'Information architecture', 'Testing']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaUX, Design & Architecture,","Employment TypeFull Time, Permanent",Role CategoryOther Design
Inexoft Technologies,"RoleAccountant / Accounts Executive,",Not Disclosed,2 - 5 years,Kannur,"Job description         Designation   Business /Accounts Consultant     Required Skills   Excellent business analytical skills.       To work in conjunction with a technical resource to define the business management software SRS preparation       Proven skills in writing Functional Spec after understanding of a Business requirement definition document.       To assist Software Architect in defining business requirements in the area of custom software applications.     Location:   Kannur     RoleAccountant / Accounts Executive,Industry TypeIT Services & Consulting,Functional AreaFinance & Accounting,Employment TypeFull Time, PermanentRole CategoryAccounting & TaxationEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsAnalytical skillsSoftware ArchitectBusiness managementAccounts ManagerApplication software","['Analytical skills', 'Software Architect', 'Business management', 'Accounts Manager', 'Application software']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaFinance & Accounting,","Employment TypeFull Time, Permanent",Role CategoryAccounting & Taxation
"Founded in August of 2008 and based in San Francisco, California, Airbnb is a trusted community marketplace for people to list, discover, and book unique accommodations around the world online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences, at any price point, in more than 33,000 cities and 192 countries. And with world-class customer service and a growing community of users, Airbnb is the easiest way for people to monetize their extra space and showcase it to an audience of millions.","RoleBack End Developer,",Not Disclosed,3 - 5 years,Bangalore/Bengaluru,"Job description   What you ll do     Work with business team, functional amp; technical lead to understand the business requirements, technical solution so as to proceed further with the development     Ensure all coding standards are considered during the development     Performing unit and system testing of the developed code     Work with business, functional team for QA testing of the code     Participate in all the design discussions along with the leads so to understand the business processes and to develop the skills for your own growth in the team     Prepare technical specifications documents based on Functional design (FDD)     Understand the business requirements and develop relevant test cases for the use case     ODI:     Utilize your skills on using and customizing Knowledge Modules (KM) IKM, LKM, CKM and RKM     Design and develop mappings, Process Flows and ETL scripts     To make use of your experience in performance tuning of mappings     Programming:     Extensive programming experience in any one programming language like Python, Java, Scala     Utilize Python, Java, scala, hive and other technologies to develop and manage the software applications and processes     What you need to succeed       3 - 5 years of over all experience in development and Support of ETL/ODI projects, Python, Scaala projects.     Good Understanding of ODI 12c architecture     Hands-on experience in developing complex mappings from heterogeneous source systems using ODI Studio     Hands-on experience in monitoring ODI jobs, analyzing and Debugging using ODI Operator     Should have worked on defining logical/physical Architecture and configuring source systems using ODI topology   RoleBack End Developer,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPerformance tuningSystem testingArchitectureCodingDebuggingSCALATest casesApplication softwareMonitoringPython","['Performance tuning', 'System testing', 'Architecture', 'Coding', 'Debugging', 'SCALA', 'Test cases', 'Application software', 'Monitoring', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeInternet,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
