company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
" Lexicon Infotech Limited was established in the year 1999 as an IT consulting and services company. It has state- of- art delivery center at Hyderabad and offices at Mumbai and Brussels. It also has presence in USA through its associates based out of Florida.Our services include application development, maintenance and support along with quality assurance and testing services. We are also an implementation partner of salesforce.com with expertise in multiple clouds.Our solutions are based on technologies such as .Net, Angular, Java, Android, iOS, IOT and Salesforce. We are also in the process of expanding our operations into cyber security and Artificial Intelligence.We are growing at a rapid pace and expanding our global footprint through our path breaking services and solutions. As part of our growth plan, we are looking at dynamic team members to join us.","RoleOther,",Not Disclosed,12 - 18 years,Bangalore/Bengaluru,"Job descriptionData/ Applications architects require a high level of technical expertise in the related field, combined with excellent planning, coordination and communication skills, and the ability to work on teams. This opportunity is for a Global IT solution company hence candidates should possess following job specification :- 12 plus years of technical experience in design, development and deployment of enterprise-level application/ data management with at least 5+ years as a proven Application Architect role in building large scale enterprise digital solutions / products / platforms Strong proficiency in architecting and designing highly scalable, available, secure and elastic solutions that implement industry best practices and cutting-edge technologies. Strong proficiency in building resilient and cloud ready solutions based on Micro Services, Multi-tenancy architecture. Proficiency in working closely with clients, product owners, enterprise architects and business analysts to understand functional and non-functional requirements and convert into technical solutions. Ability to diverse requirements, negotiate, and effectively articulate rationale and vision behind technical decisions that support the business. Must have architected high concurrency web and mobile applications with user load of around 100k. Technical skill: o Type of applications: Web (must) and native mobile applications (must) o Architecture patterns: SPA, Microservices (must) and Serverless (good to have) o Front End technologies: React / Angular (must), React Native (good to have) o Back End technologies: Java / Python (any of Django/Flask/Tornado) o Database/Storage technologies: SQL databases (Must), Elasticsearch (must), Redis (must) and Kafka (good to have) etc. o Bigdata / Data analytics, Data Management, ETL or System technologies: o Docker & Helm chart (all must) o Cloud: AWS or Azure (Experience working with cloud extensively) o Understanding of load balancing / disaster recovery strategy / auto-scaling / handling of surge of request is a plus. Tools: o GITHub or Similar repository (must) o JIRA & Confluence (must) o JFrog or similar antifactory (must) o Knowledge of SONAR, Junit, Automated testing concepts. (Good to have) o Knowledge of CI/CD pipeline through Azure / AWS DevOps is plus. Experience: o Experience in architecting multi-tenant SaaS products. o Knowledge of designing IaaC based automatic Customer specific instant deployment.RoleOther,Industry TypeIT Services & Consulting,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :BCA in Any Specialization, B.Tech/B.E. in Any SpecializationKey SkillsApplication ArchitecturesMicroservicesTechnical ArchitectureFull Stack DeveloperData ArchitectAzureArchitecture patternBig DataSingle Page ApplicationNative Mobile ApplicationSystem integrationWeb ApplicationData AnalyticsETLAWSSkills highlighted with ‘‘ are preferred keyskills","['Application Architectures', 'Microservices', 'Technical Architecture', 'Full Stack Developer', 'Data Architect', 'Azure', 'Architecture pattern', 'Big Data', 'Single Page Application', 'Native Mobile Application', 'System integration', 'Web Application', 'Data Analytics', 'ETL', 'AWS']","['UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization']","Industry TypeIT Services & Consulting,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
"We have a passion for technology and helping IT organizations to operate more effectively. We can help you transform your IT processes, applications and infrastructure by using the latest technologies for cloud, Big Data, mobile and social, and by providing you with exceptional technical talent when you need supplemental staff.","RoleTechnical Architect,",Not Disclosed,10 - 15 years,Bangalore/Bengaluru,"Job description  Provide hands-on oversight in designing, architecting and developing new commercial SaaS product   Responsible for the oversight of front and backend software application architecture, product requirements, system performance, scalability, security, and manageability   Conceptualizes and develops designs and architectural concepts   Collaborate with internal teams, clients and vendor partners to facilitate the definition of project scope, goals and deliverables.   Presents and defends architecture, design, and technique choices to internal and external audiences   Conducts and leads code review sessions to ensure high quality software   Establishes best practices and ensures that they are followed by the design team   Proactively learns new technologies, standards, and applications; keeps current with technology developments within the industry   Collaborates with development leaders in all stages of software development, including planning, implementation, testing, documentation, and release   Provide day-to-day direction and guidance to the technical team as required.   Review technical capabilities of new and existing development team members.   Work with internal and external stakeholders to understand the needs for the various applications.   Work with any external clients for any designs on new features or feature enhancements.     Qualifications    Bachelors Degree   Ability to serve as a senior technologist and architectural advisor with strong technical leadership.   Ability to perform as a lead technologist to assess and design applications, systems solutions, and interfaces for multiple systems.   Skilled with broad, conceptual understanding of the technology architecture trends and directions with demonstrated technical mastery for technologies, frameworks, and/or languages.   Ability to influence and set technical direction.   Skilled at contributing and communicating your expert knowledge of applications/systems and concepts to a broader audience.   Ability to influence teams to a future state while understanding the need to make practical decisions along the way.   10 years of programming/development experience preferred.   2 years of experience as a technical lead or architect preferred.   Full-stack web development experience with JavaScript frameworks such as React and programming in NodeJS   Microservices architecture and API development, knowledge of integration protocols REST and SOAP.   MongoDB or NoSQL equivalent database experience  RoleTechnical Architect,Industry TypeHardware & Networking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsBackendNoSQLArchitectureWeb developmentJavascriptTechnical leadershipMongoDBapplication architectureApplication softwareDistribution system","['Backend', 'NoSQL', 'Architecture', 'Web development', 'Javascript', 'Technical leadership', 'MongoDB', 'application architecture', 'Application software', 'Distribution system']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 10,000 cities around the world.We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and lets move the world forward, together.","RoleTechnical Lead,",Not Disclosed,3 - 7 years,Bangalore/Bengaluru,"Job description **About the Role**Software engineers at Uber have a deep impact across a wide variety of business and technology decisions spanning multiple projects and locations. They are pragmatic technologists able to craft scalable systems while delivering efficient code. They are not only collaborative role models, but also empathic thought leaders within a larger group. They are humble teachers, technically mentoring a team of hardworking engineers while also executing on delivering exciting projects!We are looking for a strong Senior Engineer as part of the Network Platform team who has a passion for architecting, building and scaling highly-available, mission-critical systems that support millions of users daily.   **What Youll Do  You will design, code, test, and launch new services, and features for Infrastructure at the global trip scale Your primary focus will be to drive Multi-Region, Multi-Zone programs across Uber for increased reliability for all backend services and flawless end-user experience.    You will build and deliver these cutting edge features through sophisticated experiments, collaborating with Compute, Foundations, Deployment, Cloud, SRE, Storage, and Product teams, to help build software on reliable infrastructure services.  *What Youll Need*You have a proven record of building and productionizing highly reliable infrastructure at scale.    7 years of relevant engineering experience, specifically working on backend services networking stack or building infrastructure platform-as-a-service services Experience with Go, Java, or C (bonus points for more than one).    Design/architect, develop, and/or test software applications using Ubers technology stack. You can collaborate well with several infra/product engineering teams to articulate requirements and system design. Excellent written and verbal communication skills, including the ability to write detailed technical documents. Ability to lead and guide excellent engineering teams. Undergraduate degree in computer science or equivalent.  *Preferred Qualifications*  Full-stack infrastructure knowledge Good understanding of computer architecture, networking and CS fundamentals. Proficiency in Linux. Good knowledge of cloud, on-prem, traffic routing, service architecture in multi-region setup. Passionate about helping teams grow by inspiring and mentoring engineers. Ability to assess new technologies and make pragmatic choices that help guide us towards a long-term vision**About the Team**The Network platform team is responsible for ensuring all traffic from mobile, web devices are able to reach Uber services and communicate among the service mesh in the most expedient highly available manner. Also responsible for running Uber services in a multi-zone, multi-region setup for highly reliable systems.RoleTechnical Lead,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceBackendProduct engineeringDesign ArchitectLinuxComputer architectureSystem designApplication softwareinfrastructure servicesTechnical documentation","['Computer science', 'Backend', 'Product engineering', 'Design Architect', 'Linux', 'Computer architecture', 'System design', 'Application software', 'infrastructure services', 'Technical documentation']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeInternet,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Sasken Communication Technologies Ltd,"RoleTechnical Architect,",Not Disclosed,4 - 8 years,Bangalore/Bengaluru,"Job description   Person at this position owns architecture/ design of a sub-system (a set of modules or a product), formulates new solution and ideas and produces new or original work   Person demonstrates the ability to justify a stand or decision supported by sound technical knowledge base   Person is able to the represent the organization externally in detailed technical discussion with the customer with a high level of authority on technical matters   Person leads projects which are of significant organisational profile and makes trade-off decisions to deliver solutions that both meet customers technical requirements and timelines   Person demonstrates the ability to analyse and interpret complex problems and improve, change or adapt existing methods to solve the problem       Education and Experience Required      Engineering graduate, MCA, etc Experience ; > 8 years      Competencies Description      Who has done one or more of the following with respect to windows desktop or web Applications: a. Design b. Development/ Customization c. Bug Fixing/ Sustenance    Who is familiar with : a. WCF, WPF b. UML c. Design Patterns    Platforms- .NET 3.x, 4.x    Technology Standard- WCF, WPF, XML, SOAP, REST, Web Services    Tools- Visual Studio    Languages- C#, ASP.NET    Specialization- .NET CORE, CLOUD NATIVE, MICROSERVICES  RoleTechnical Architect,Industry TypeTelecom / ISP,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :MCA in ComputersKey SkillsWeb servicesUMLXMLArchitectural designASP.NetWindowsWCFVisual StudioWPF","['Web services', 'UML', 'XML', 'Architectural design', 'ASP.Net', 'Windows', 'WCF', 'Visual Studio', 'WPF']","['UG :Any Graduate', 'PG :MCA in Computers']","Industry TypeTelecom / ISP,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com","RoleTechnical Architect,",Not Disclosed,1 - 4 years,Bangalore/Bengaluru,"Job description    Architect, design, develop, test, troubleshoot, debug, optimize, scale, maintain and improve software applications, driving the delivery of high quality value and features to BlackLine’s customers. Develop functional and technical specifications, and test plans. Review others’ code. Develop and document functional and technical requirements. Collaborate with other team members and other teams on all of the above.         Design and communicate coding standards, architectural plans, solve complex design and architectural problems, create robust architectural solutions.      Implement, refine, and enforce software development techniques to ensure that delivered features meet software integration, performance, security, and maintainability expectations.      Research, test, benchmark, and evaluate new tools and technologies, and recommend ways to implement them in product development.      Provide technical expertise and leadership in the design, development, and delivery of BlackLines products, while adhering to timelines, coding standards, requirements, and quality.      Architect, design, develop, test, troubleshoot, debug, optimize, scale, maintain and improve software applications, driving the delivery of high quality value and features to BlackLine’s customers. Develop functional and technical specifications, and test plans. Review others’ code. Develop and document functional and technical requirements. Collaborate with other team members and other teams on all of the above.      Design and communicate coding standards, architectural plans, solve complex design and architectural problems, create robust architectural solutions.      Implement, refine, and enforce software development techniques to ensure that delivered features meet software integration, performance, security, and maintainability expectations.      Research, test, benchmark, and evaluate new tools and technologies, and recommend ways to implement them in product development.      Provide technical expertise and leadership in the design, development, and delivery of BlackLines products, while adhering to timelines, coding standards, requirements, and quality.      Architect, design, develop, test, troubleshoot, debug, optimize, scale, maintain and improve software applications, driving the delivery of high quality value and features to BlackLine’s customers. Develop functional and technical specifications, and test plans. Review others’ code. Develop and document functional and technical requirements. Collaborate with other team members and other teams on all of the above.      Design and communicate coding standards, architectural plans, solve complex design and architectural problems, create robust architectural solutions.      Implement, refine, and enforce software development techniques to ensure that delivered features meet software integration, performance, security, and maintainability expectations.      Research, test, benchmark, and evaluate new tools and technologies, and recommend ways to implement them in product development.         RoleTechnical Architect,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsArchitectArchitectureCodingDebuggingDesign developmentResearchApplication softwareTroubleshootingInformation technologyTesting","['Architect', 'Architecture', 'Coding', 'Debugging', 'Design development', 'Research', 'Application software', 'Troubleshooting', 'Information technology', 'Testing']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"MyCloudforest is an Outdoor Living and Garden Design company focused on providing innovative & customized One Stop Solution for all Urban Spaces. Rapid urbanisation leaves unbreathable cities which triggers an urgency to move towards greener & nature inspired living. As human beings, we feel our best surrounded by nature €“ the presence of plants and trees can improve our mood and lift our spirits. Everyone loves greenery but most of us do not have expertise or time to design/build & maintain a Green Space. MyCloudforest is the market leader and most reputed company in this space. We provide a fit-for-purpose innovative garden design solution with hassle free installation and at the most reasonable price. Our team of experts not only design and install the gardens but also help in maintaining it so that our customers can just sit and relax in their own garden space throughout the year. Our vision is to create a Nature Inspired, sustainable, soothing green space for homes and a welcoming and highly productive environment for offices.We are India€™s 1st exclusive marketplace supplying the widest range of 'Gardening products' and catering all sorts of 'Gardening Services'. We are pioneers of starting Professional Gardening Services in India since 2015 and is Top rated (4.7/5 star) in Google with successful execution of 2500+ projects and addition of ~2 million plants to our surroundings. MyCloudforest team comprises highly motivated and experienced Designers, Horticulturist, Landscaper, Architects, Project Managers, softscape & hardscape technicians etc who share a common vision for the company. We are specialized in designing, creating & maintaining impeccable Balcony Gardens, Terrace Gardens, Zen Gardens, Nature Inspired Offices, Indoor Gardens, Landscapings, Waterscapes, Green Walls, Solar Roofing, customised wooden/metal & stone works etc. We strongly believe in Nature being the natural extension of our life & aim to bring the same to our customers, contributing to India's plan for Carbon Neutrality by year 2070. Our Corporate clients - DRDO, IAF, Hafele, Park square mall, Bhagini Palace, TASA, Collab Cube, Daddy Pub, Urban Ladder, ITPL, The Leela, GRT Hotels & Resorts, Bhagini Palace, Avant Garde, DS Max, Cogbooks, Axis Bank, Black Briar Pub, Crawl Street, Fortune Plastics, The Green School & more. Our Business Partners - Livspace, Homelane, Bonito, Krevio Interiors, Furdo, Veda Vyasa Intrics, OYO, Sobha Builders, Treemendous, Urban Mali etc.","RoleLandscape Architect,","₹ 2,00,000 - 5,00,000 P.A. ",2 - 7 years,Bangalore/Bengaluru,"Job descriptionLooking for an energetic & enthusiastic landscape architect/designer, who is capable of not only design beautiful things, but create purposeful areas that make living better. Candidate should be able to connect with the environment and determines, with the help of science and design, innovative ways of creating functional and practical spaces that inspire. Candidate must have core interest in designing beautiful and sustainable gardens and having great communication skills along with expertise in 2D/3D designing tools.Roles and Responsibilities  Having good knowledge of Landscaping conceptsMeet with clients, engineers, and building architects to understand the requirements of a projectPrepare site plans, specifications, and cost estimatesCoordinate the arrangement of existing and proposed land features and structuresSelect appropriate landscaping/gardening materialsInspect landscape project progress to ensure that it adheres to plansSeek new work through marketing activities or by giving presentationsAble to take responsibilities and convenience customers for the design approvalsAdhere to company processes and support other team membersDesired Candidate Profile Candidate needs at least a bachelors degree in landscape architecture and a state-issued license, which typically requires completion of an internship. Few years of practical experience in the green space design (rooftop gardens, balcony gardens etc) will be of additional advantage. The candidate should be able to enhance the natural beauty of a space and foster environmental benefits. Looking for candidates having the following specific qualities:  Analytical skills. Candidates need to understand the content of designs. Communication skills. Candidates should be able to share their ideas, both orally and in writing, or via presentations with clients, other architects, and workers who help prepare drawings. Creativity & Imagination. Candidates should be able to create the overall look of gardens, parks, and other outdoor areas as per customer's requirements. Designs should be both pleasing to the eye and functional.Problem-solving skills. When designing outdoor spaces, candidates must be able to provide solutions to unanticipated challenges. These solutions often involve looking at the challenge from many perspectives.Designing skills. Candidate must be well versed with various 2D/3D designing tools to create representations of their projects. Visualization skills. Candidates must be able to imagine how an overall outdoor space will look once complete.Other characteristics which add values:Artistic flairAn interest in the environment, life sciences and knowledge of the conditions needed for wildlife to flourishNegotiation and leadership abilityAn eye for detailLateral and spatial thinkingClient management skillsExperience in outdoor architectural designing related to garden designing/Interior Design.Perks and Benefits The selected candidate will get a great opportunity to work with the vibrant team and management of MyCloudforest. Company provides various benefits including competitive salary, medical insurance, travel allowances, telecom allowance, target-based bonuses, ESOP etc. We are the most trusted and highest rated (4.7/5-star Google rating) company in market today involved in Outdoor Space & Garden designs working with a wide range of customer bases.RoleLandscape Architect,Industry TypeArchitecture / Interior Design,Functional AreaUX, Design & Architecture,Employment TypeFull Time, Temporary/ContractualRole CategoryArchitecture & Interior DesignEducationUG :B.Des. in Furniture Design, B.B.A/ B.M.S in Management, B.Arch in Architecture, B.Tech/B.E. in Agriculture, Environmental, Mechanical, Civil, B.Sc in Hospitality and Hotel Management, Geology, Maths, Botany, Computers, Statistics, Environmental Science, B.A in Psychology, English, Statistics, Hotel Management, Maths, B.Com in Any SpecializationKey Skillslandscape designCommunication Skillsinterior designingteam managementgardening3d designProblem SolvingAnalytical Skilllandscape architecturelandscapingcost estimationSkills highlighted with ‘‘ are preferred keyskills","['landscape design', 'Communication Skills', 'interior designing', 'team management', 'gardening', '3d design', 'Problem Solving', 'Analytical Skill', 'landscape architecture', 'landscaping', 'cost estimation']","['UG :B.Des. in Furniture Design, B.B.A/ B.M.S in Management, B.Arch in Architecture, B.Tech/B.E. in Agriculture, Environmental, Mechanical, Civil, B.Sc in Hospitality and Hotel Management, Geology, Maths, Botany, Computers, Statistics, Environmental Science, B.A in Psychology, English, Statistics, Hotel Management, Maths, B.Com in Any Specialization']","Industry TypeArchitecture / Interior Design,","Functional AreaUX, Design & Architecture,","Employment TypeFull Time, Temporary/Contractual",Role CategoryArchitecture & Interior Design
"Calsoft is ISV preferred product engineering services partner in Storage, Networking, Virtualization, Cloud, IoT and analytics domains. Our solution accelerators and frameworks expedite go-to-market product launches and accomplish business goals.","RoleTechnical Architect,",Not Disclosed,7 - 12 years,Pune,"Job description   7 years ServiceNow experience in JavaScript, HTML, libraries, frameworks Angular JS, jQuery   Hands on experience in Integration and Implementation of ServiceNow   ServiceNow certifications a plus (Ex: Sys admin, Implementer, Dev)     RoleTechnical Architect,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsArchitectjQuerySys AdministratorJavascriptHTML","['Architect', 'jQuery', 'Sys Administrator', 'Javascript', 'HTML']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeSoftware Product,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Triangle ( A Unit of Ratein Infotech India Private Ltd) is a Recruitment Specialist Organisation with focus on Information Technology Industry. Incorporated in August 2000 with 4 offices in India at Mumbai, Pune, New Delhi & Bangalore, Triangle caters to more than 25 active clients who are Fortune 500 organizations and world¢??s largest IT organizations.  Our Core expertise is in End to End Permanent and Contract Staffing and Extended Services.  We have been Internationally recognized as WeConnect Certified woman owned and managed organization.  Triangle has featured in CIO Review Magazine as ¢??Company of the Year in Staffing and Recruitment¢? Category for year 2014.","RoleSolution Architect,",Not Disclosed,5 - 16 years,Noida,"Job description  • Solution Architecture and Design roles in IT- Telecom Domain      • Relevant experience of min 2-3 years in BSS/OSS design /component design      • Knowledge of Telecom product/technology viz      o Broadband - Cable Docsis, FTTx, XGSPON      o Entertainment / OTT, VAS      o Fixed Voice including VAS      o Enterprise - Ethernet, Broadband, SD-WAN, vCPE, Security/Firewall, Enterprise Voice (SIP/Hosted Comms), MLPS/ IP VPN.      o Test & diagnostics, Service Assurance      o Digital solutions      • Prior experience required with background on      o Customer Management and CPQ      o Product Modelling o Fulfillment and Assurance      o Service Activation o Inventory Management      o Network and service design of telecom products and services      o Digital transformation      • COTS product experience: Hansen/Sigma, Netcracker RI, SFDC      • Ability to translate business needs into technical solutions      • Ability to drive the HL Design work on a project/ Program, working collaboratively with the Business, Operational, Product Managers, Portfolio Architects, Platform Technical Team, Developers and Testing teams to identify multiple solution options and determine the best possible BSS/OSS solution      • Responsible for providing Technical and Domain leadership to a team of solution designers on large complex projects/programs      • Lead on discussions with Architects to ensure the right architectural guidance is taken into consideration for the BSS/OSS design, ensuring that the design is compliant with Telco’s IT and Product strategy and best practices      • Ability to run impact assessments and feasibilities based on high level business requirements      • Ability to learn new technologies/systems and assimilate new information quickly in a fast-paced and constantly changing environment      • Ability to influence business decisions, facilitate workshops and manage business and operational stakeholders      • Demonstrable experience in customer relationship management, ability to drive Hothouses and Workshops      • Should be able to assess and quantify the risks associated with their design decisions      • Good understanding and appreciation for customer enterprise architecture, roadmaps, product and data models      • Good to have      o Certifications like – TOGAF, TM Forum Frameworx like eTOM, TAM, SID, Open API and Integration Framework, AWS      o Proven experience is required and conversant with standards like TMF Frameworx, TOGAF, SOA and leading enterprise architecture development for large production grade ICT solutions.      o Technical knowhow with Network and Service Design experience (Good to have)   RoleSolution Architect,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSolution architectureBssSOAWANEnterprise architectureTOGAFEthernetVASSIPFirewall","['Solution architecture', 'Bss', 'SOA', 'WAN', 'Enterprise architecture', 'TOGAF', 'Ethernet', 'VAS', 'SIP', 'Firewall']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Blue Yonder (formerly JDA Software, Inc.) provides seamless, friction-free commerce please go to our updated company page as this page will no longer be active forthcoming.","RoleProduct Designer,",Not Disclosed,3 - 8 years,Bangalore/Bengaluru,"Job description  Works closely with product management in developing a deep understanding of the context of use and stakeholder requirements   Helps to translate a product vision and requirements into compelling interaction design and illustrates the design in form of wireframes.    The design will be tested and iterated with input from end users and documented in form of implementable high-fidelity wireframes   Provides graphical assets and detailed specification to support front end developers to implement the solution    General Proficiency Level Knows when and how to apply common methods of human centered design process and design thinking, and consistently quality designs for software applications from discovery to implementation support while following corporate design systems and design process    Works with product management to plan design process and deliverables    Plans and conducts user research to collect user requirements from all stakeholders    Defines Information Architecture and navigation structure of larger applications    Contributes to design system by identifying and specifying design patterns      General Requirements     Bachelor or master s degree in HCI, Industrial Design, Graphics Art, User Experience, Human Factors, or equal / relevant industrial experience   3+ years of job experience in designing interactive software applications   Experience in applying design methods as needed to deliver high quality human-centric product experience   Experience in using UI prototyping tools (e.g. Figma, Sketch) to create wireframes  RoleProduct Designer,Industry TypeIT Services & Consulting,Functional AreaUX, Design & Architecture,Employment TypeFull Time, PermanentRole CategoryOther DesignEducationUG :Any GraduatePG :Any PostgraduateKey SkillsGraphicsProduct managementUser researchFront endIndustrial designInteraction designCorporateApplication softwareInformation architectureTesting","['Graphics', 'Product management', 'User research', 'Front end', 'Industrial design', 'Interaction design', 'Corporate', 'Application software', 'Information architecture', 'Testing']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaUX, Design & Architecture,","Employment TypeFull Time, Permanent",Role CategoryOther Design
Inexoft Technologies,"RoleAccountant / Accounts Executive,",Not Disclosed,2 - 5 years,Kannur,"Job description         Designation   Business /Accounts Consultant     Required Skills   Excellent business analytical skills.       To work in conjunction with a technical resource to define the business management software SRS preparation       Proven skills in writing Functional Spec after understanding of a Business requirement definition document.       To assist Software Architect in defining business requirements in the area of custom software applications.     Location:   Kannur     RoleAccountant / Accounts Executive,Industry TypeIT Services & Consulting,Functional AreaFinance & Accounting,Employment TypeFull Time, PermanentRole CategoryAccounting & TaxationEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsAnalytical skillsSoftware ArchitectBusiness managementAccounts ManagerApplication software","['Analytical skills', 'Software Architect', 'Business management', 'Accounts Manager', 'Application software']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaFinance & Accounting,","Employment TypeFull Time, Permanent",Role CategoryAccounting & Taxation
