company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"McAfee, Inc., (NYSE: MFE) headquartered in Santa Clara, California and the global leader in Intrusion Prevention and Security Risk Management, delivers proactive and proven solutions and services that secure systems and networks around the world. With its unmatched security expertise and commitment to innovation, McAfee empowers home users, businesses, the public sector, and service providers with the ability to block attacks, prevent disruptions, and continuously track and improve their security. Please visit www.mcafee.com to know more.McAfee India Center (MIC) based out of Bangalore, is a key McAfee hub with strategic import and global outlook. MIC offers exciting career opportunities for bright talent interested in developing and supporting pioneering security products and solutions around the world.","RoleTechnical Architect,",Not Disclosed,18 - 22 years,Bangalore/Bengaluru,"Job descriptionRole Overview:Responsible for the overall design and implementation of all products, technology, and services delivered from the BU and for creating and maintaining an engineering roadmap which maps to product engineering initiatives and business deliveries, responsible for the successful implementation of a development lifecycle process in the organization. Interface with other BUs Champions and participate in company-wide initiatives. Identify and further Education and learning within the broader organisation Experience, skills, and education are required. Working with cross-functional and virtual teams, The ability to ""lead from the side"" as well as to lead through a role; proven experience working in fast-paced, dynamic environments; ability to present complex technical issues and their resolutions to executive-level stakeholders.This is a remote position in India. We will only consider candidates currently in India and are not offering relocation assistance at this time.About the role:Design/architecture of various upcoming features in the consumer product roadmap.Collaborate with other architects and product management to determine functional and non-functional requirements.Identifying tools and techniques to resolve critical issues.Oversee products' development to ensure consistency in design and coding standards.All developers and other engineers are given technical direction and guidance.About You:With over 18 years of software development, design, and architecture experience.At least 6 years of strong, demonstrable software design experience in a commercial software development organisation and Windows internals.Strong in Cloud Technologies like AWS or Azure.Must have direct technical involvement and lead architecture, design and future evolution of products.Must be expert in C / C++, C#/.Net and Cloud Technologies.RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsC++C#software architectureAzureCsoftware development.NetAWSSkills highlighted with ‘‘ are preferred keyskills","['C++', 'C#', 'software architecture', 'Azure', 'C', 'software development', '.Net', 'AWS']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleTechnical Architect,",Not Disclosed,5 - 10 years,Bangalore/Bengaluru,"Job descriptionPosition: Senior Software Architect (Python/Django)Experience: 5+ YearsOffice: BangaloreNote: It's a WFH, we are searching candidates from PAN IndiaResponsibilities :- Collaborate with other professionals to determine functional and non-functional requirements for new software or applications- Use tools and methodologies to create representations for functions and user interface of desired product- Develop high-level product specifications with attention to system integration and feasibility- Define all aspects of development from appropriate technology and workflow to coding standards- Communicate successfully all concepts and guidelines to development team- Oversee progress of development team to ensure consistency with initial design- Provide technical guidance and coaching to developers and engineers- Ensure software meets all requirements of quality, security, modifiability, extensibility etc.Requirements :- 5+ years- experience designing and building software applications- Solid understanding of a variety of programming tools and development platforms.- Proficiency in Python, NodeJS- Excellent knowledge of software and application design and architecture- Excellent knowledge of UML and other modeling methods- Familiarity with HTML/CSS, JavaScript and UI/UX design- Understanding of software quality assurance principles- A technical mindset with great attention to detail- High quality organizational and leadership skills- Outstanding communication and presentation abilitiesPersonality traits we really admire :- We want to surround ourselves with people driven to do the right things and act with integrity even when no one is looking.- Confident and dynamic working persona, which can bring fun to the team, and sense of humor, is an added advantage.- Great attitude to ask questions, learn and suggest process improvements.- Has attention to details and helps identify edge cases.- Highly motivated and coming up with fresh ideas and perspective to help us move towards our goals faster.- Follows timelines and absolute commitment to deadlines.RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsPythonUI/UX designCSSUMLDjangoJavaScriptleadershipHTMLNodeJSSkills highlighted with ‘‘ are preferred keyskills","['Python', 'UI/UX design', 'CSS', 'UML', 'Django', 'JavaScript', 'leadership', 'HTML', 'NodeJS']","['UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleTechnical Architect,",Not Disclosed,6 - 11 years,Bangalore/Bengaluru,"Job descriptionJob Purpose : Design, Development, Test and Commercialization for LTE Layer-2 (MAC) features on eNB- Software Detail Design and Development of new features for LTE Layer-2 (MAC Scheduler) features on eNB Macro cells - Platform specific memory and CPU cycle optimization- Defining development test cases and ensuring functional test coverage for new features- Issue resolution during system integration test, system verification test and field issues- Technically guiding and mentoring junior engineers in the team Skills :- Strong background in Wireless communication- A very good understanding of 3GPP LTE MAC and RLC specifications [36.321 and 36.322]- Expert on MAC Scheduling feature design and implementation for Macro eNB.- A very good understanding of 3GPP features like CA, MIMO, CoMP, NB-IoT, eMTC etc.- A good understanding of DSPCavium multicore platforms used on Macro eNBRoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsC++NB-IoTPhysical LayereMTCtest casesMIMOLTE Layer-2CACoMPSkills highlighted with ‘‘ are preferred keyskills","['C++', 'NB-IoT', 'Physical Layer', 'eMTC', 'test cases', 'MIMO', 'LTE Layer-2', 'CA', 'CoMP']","['UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"AKKA is the European leader in engineering consulting and R&D services in the mobility segment. As an innovation accelerator for its clients, AKKA supports leading industry players in the automotive, aerospace, rail and life sciences sectors throughout the life cycle of their products with cutting edge digital technologies (AI, ADAS, IoT, Big Data, robotics, embedded computing, machine learning, etc.). Founded in 1984, AKKA has a strong entrepreneurial culture and is pursuing its fast-paced growth and international development in line with its CLEAR 2022 strategic plan. With 22,000 employees, who are passionate about technology and dedicated to advancing the future of industry, the Group recorded revenues of 1.8 billion in 2019.","RoleTechnical Architect,",Not Disclosed,3 - 5 years,Bangalore/Bengaluru,"Job description  Ensure that every new software development is done according to our standards and software development best practices   Contribute to the solution design of new applications and services and continuously share requirements, design details and options, viable test approaches and implementation specifics with the team   Contribute to technology selection and ensure usage of shared technical standards, tools, and platforms. Establish and extend standards and best practice for software engineering. Influence the software development culture to be innovative   Securing alignment of architecture design with our architecture principles.   Provide mentorship and support to other software developers in the team regarding design and development concepts, code quality and test mindset   Communicate and present design proposals or architectural concepts to architects and product owners  Profile   Masters degree in technical field   Experience working in a Continuous Integration Delivery model on Digital/IoT environment   Experience from DevOps and/or lean and agile development   Experience from IoT industry   High skills in Java 8, micro services, REST APIs, event-based architectures, message bus (Kafka, AMQP), mongodb, redis, test automation frameworks, monitoring tools, AWS, Oauth2, deployment strategies.   High skills in best coding practices (like DRY, KISS, YAGNI, etc.) and in reaching high coverage on unit tests, integration test and component test for the code produced  RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey Skillscontinuous integrationAutomation testingMonitoring toolsArchitectureCodingAgile developmentArchitectural designMongoDBTesting","['continuous integration', 'Automation testing', 'Monitoring tools', 'Architecture', 'Coding', 'Agile development', 'Architectural design', 'MongoDB', 'Testing']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"We are an innovative, best-in-class digital transformation services provider led by design thinking. We help our clients Fortune 500 companiessolve complex business problems through human-centric design and product innovation approach. We do so by simplifying our clients digital journeys to build business solutions with meaningful and long-standing customer relationships.","RoleTechnical Architect,",Not Disclosed,8 - 13 years,Chennai,"Job description  Team player in a small engineering team with a well-described product backlog and be comfortable with various SDLC methodologies and practices like Agile/Scrum methodologies.   Translate architectural vision into the low level designs and delivery of a working system.   Write good lean technical design documentation and technical approach.   Develop efficient and high-quality code while meeting product requirements, release deadlines as necessary.   Also bring value beyond just coding by providing feedback to stakeholders and team members.   Ensure the teams adherence to coding, design, and architectural standards.   Involved in day to day Development activities guiding the team through challenges and assist in release plans   Assist leads and managers to prepare time/effort estimates for projects and software design plans.   Must be proactive, self-motivated with the ability to prioritize multiple tasks   Respond quickly to support issues and follow up till resolution with the team.   Conduct thorough troubleshooting and provide a quick resolution to production problems.   Follow up and provide timely reporting on issues to management       Requirements     Bachelors or Masters in computer science, electrical or electronics engineering or equivalent degree   Around 8 years of experience in developing large scale software or application with recent coding experience using Java related technologies like Hibernate, Spring Boot, MySQL, MongoDB, REST APIs   Application of Object-Oriented Analysis and Design (OOAD) techniques and implementation using design Patterns   Strong DS and Algorithms knowledge   Experience in designing and programming applications and deploying using cloud environments technologies like AWS, S3,RDS, DynamoDB, Elastic Search, MongoDB,etc   Strong Database experience with strong knowledge of writing complex scripts for SQL, NoSQL DBs.     Experience in following is a plus     Familiarity with highly available systems that utilise load balancing horizontal scalability and high availability   Experience with UI technologies such as JavaScript, AngularJS, ReactJS will be a big plus   Proficient in JSON, XML, XSLT, XSD, and related technologies   Designing and building applications using Containers and Server less technologies is a plus   Experience in AWS Step functions and Lambdas.     Eligibility     Bachelors or Masters in computer science, electrical or electronics engineering or equivalent degree  RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsHibernateXMLOOADMySQLJavascriptMongoDBXSLTTroubleshootingSDLCSQL","['Hibernate', 'XML', 'OOAD', 'MySQL', 'Javascript', 'MongoDB', 'XSLT', 'Troubleshooting', 'SDLC', 'SQL']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"AKKA is the European leader in engineering consulting and R&D services in the mobility segment. As an innovation accelerator for its clients, AKKA supports leading industry players in the automotive, aerospace, rail and life sciences sectors throughout the life cycle of their products with cutting edge digital technologies (AI, ADAS, IoT, Big Data, robotics, embedded computing, machine learning, etc.). Founded in 1984, AKKA has a strong entrepreneurial culture and is pursuing its fast-paced growth and international development in line with its CLEAR 2022 strategic plan. With 22,000 employees, who are passionate about technology and dedicated to advancing the future of industry, the Group recorded revenues of 1.8 billion in 2019.","RoleTechnical Architect,",Not Disclosed,5 - 10 years,Bangalore/Bengaluru,"Job description    Definition of future proven, robust system and software architectures taking into account the methods of systems and software engineering, safety security and continuous integration aspects.     Elaboration of various layers and abstraction levels as well as verification validation and documentation of existing architecture concepts     Requirements management, design, implementation, integration and verification of software modules according to SW development process     Further development of methods and tools in the sense of increasing efficiency and reusability     YOUR PROFILE      Completed studies in the field of electrical engineering, computer science or a comparable field of study.     Good experience in the mastery of complex systems, UML SysML as well as the development of model-based software in the automotive sector   Battery Management.     Comprehensive and secure knowledge of the AUTOSAR standard and its practical application.   RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceAUTOSARC++ISOUMLProject managementFlexAutomotivefunctional safetyEmbedded software","['Computer science', 'AUTOSAR', 'C++', 'ISO', 'UML', 'Project management', 'Flex', 'Automotive', 'functional safety', 'Embedded software']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
" Zeliot is a new age deep tech company founded in 2018 with the vision of offering IoT platform-based solutions to enterprises and Automotive OEMs. Since 2018, Zeliot has successfully developed the platform and has hosted more than 100,000 devices. The current platform is used by the likes of Royal Enfield, Ashok Leyland, Indian Oil Corporation, Here Maps, and many other marquee customers. Zeliot is striving hard to create an ecosystem for the partners by allowing more control over what they would want to sell in turn to their customers. This can be achieved by developing modules on the fundamental level of software platform, if we could reimagine how the platform modules like data processing pipelines, Telematics Hub, Microservices are monetized, then the partners will eventually have more control over how and what they want to sell to their customers, who could be either large enterprises or Auto OEMs. ","RoleTechnical Architect,","₹ 20,00,000 - 30,00,000 P.A. ",5 - 7 years,Bangalore/Bengaluru,"Job description About Us Zeliot is a new age deep tech company founded in 2018 with the vision of offering IoT platform-based solutions to enterprises and Automotive OEMs. Since 2018, Zeliot has successfully developed the platform and has hosted more than 100,000 devices. The current platform is used by the likes of Royal Enfield, Ashok Leyland, Indian Oil Corporation, Here Maps, and many other marquee customers. Zeliot is striving hard to create an ecosystem for the partners by allowing more control over what they would want to sell in turn to their customers. This can be achieved by developing modules on the fundamental level of software platform, if we could reimagine how the platform modules like data processing pipelines, Telematics Hub, Microservices are monetized, then the partners will eventually have more control over how and what they want to sell to their customers, who could be either large enterprises or Auto OEMs. Location: Bangalore As a software architect, you will be responsible for defining a high-level structure of a software system (architecture), its main components and their interfaces; interactions of these components with each other and with external systems; and a general architectural vision that guides the organization and serves as a basis for mutual understanding between all parties involved in product development. A candidate who has a positive attitude and delivers high-quality work will be preferred. As a Software architect, you should take care of significant aspects such as functionality, performance, resilience, reuse, comprehensibility, scalability, security, technology constraints, and tradeoffs. You should also make sure that the decisions are effectively communicated to both stakeholders and technical staff. Responsibilities Gathering early non-functional requirements Evaluating functional requirements captured by a business analyst Selecting a technology stack and deployment methods Evaluate and recommend tools, technologies and processes to ensure the highest quality in the product Creating high- and low-level architecture designs and workflows Estimating development time Oversee progress of development team to ensure consistency with initial design Perform regular code reviews Troubleshoot code level problems quickly and efficiently IOT or Telematics domain expertise will be a plus Requirements 5-7 years of experience designing and implementing software applications Proven experience as software architect Excellent knowledge of software and application design and architecture Experience working on complex large-scale software projects Demonstrated knowledge of web applications and open source technologies Experience developing software utilizing various coding languages including Java, Nodejs, Reactjs and more Understanding of software quality assurance principles Experience overseeing customized development of processes for multiple projects simultaneously Professional experience analysing code for weaknesses and errors, and overseeing plans to improve them Experience designing secure software systems based upon industry-specific specifications Solid understanding of a variety of programming tools and development platforms. Excellent organizational and leadership abilities. Highly analytical mindset, with an ability to see both the big picture and the details. Strong communication and presentation skills. Education And Experience Required Bachelor's or Master's engineering degree in Computer Science. Typically, 5-7 years' experience.  We Offer A competitive salary and extensive social benefits  Diverse and dynamic work environment Work-life balance and support for career development RoleTechnical Architect,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationKey SkillsSoftware Architecture DesignNode.JsReact.Jsjavasoftware developmentSkills highlighted with ‘‘ are preferred keyskills","['Software Architecture Design', 'Node.Js', 'React.Js', 'java', 'software development']",['UG :B.Tech/B.E. in Any Specialization'],"Industry TypeSoftware Product,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleTechnical Architect,",Not Disclosed,5 - 9 years,Bangalore/Bengaluru,"Job descriptionThe Opportunity:We are looking for an experienced Software Architect to make intuitive high level decisions for software development. You will see the “big picture” and create architectural approaches for software design and implementation to guide the development team. The goal is to provide a framework for the development of a software or system that will result in high quality IT solutions. We have built some Microservices, Device Farms (Android & iOS) & IDE Plugins with Python/Django, Node, Java, Ember to help developers and enterprises to automatically detect and fix security loopholes in their Mobile (iOS, Android, Windows, etc.) / IoT Apps within a few minutes. We have been a major contributor to open-source community .You don’t need to know anything about security to apply for this position as we have experienced security professionals on-board who will help you.We are very picky about hiring. Because the core members will set the engineering culture that the entire tech team will follow in the future. We prefer to have incredibly high standards and to hire exceptional people who enjoy pushing themselves to perform at the highest level everyday.Responsibilities:Collaborate with other professionals to determine functional and non-functionalrequirements for new software or applicationsUse tools and methodologies to create representations for functions and user interfaceof desired productDevelop high-level product specifications with attention to system integration andfeasibilityDefine all aspects of development from appropriate technology and workflow to codingstandardsCommunicate successfully all concepts and guidelines to development teamOversee progress of development team to ensure consistency with initial designProvide technical guidance and coaching to developers and engineers Ensure software meets all requirements of quality, security, modifiability, extensibility etc.Requirements:5+ years’ experience designing and building software applicationsSolid understanding of a variety of programming tools and development platforms.Proficiency in Python, NodeJSExcellent knowledge of software and application design and architectureExcellent knowledge of UML and other modeling methodsFamiliarity with HTML/CSS, JavaScript and UI/UX designUnderstanding of software quality assurance principlesA technical mindset with great attention to detailHigh quality organizational and leadership skillsOutstanding communication and presentation abilitiesPersonality traits we really admire :-We want to surround ourselves with people driven to do the right things and act withintegrity even when no one is looking.Confident and dynamic working persona, which can bring fun to the team, and sense ofhumor, is an added advantage.Great attitude to ask questions, learn and suggest process improvements.Has attention to details and helps identify edge cases.Highly motivated and coming up with fresh ideas and perspective to help us movetowards our goals faster.Follows timelines and absolute commitment to deadlines. (Currently WFH)RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Computers, B.Sc in Computers, BCA in ComputersPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsUx DesignJavaCSSSoftware DevelopmentDjangoJavascriptHTMLPythonPluginsAndroidSkills highlighted with ‘‘ are preferred keyskills","['Ux Design', 'Java', 'CSS', 'Software Development', 'Django', 'Javascript', 'HTML', 'Python', 'Plugins', 'Android']","['UG :B.Tech/B.E. in Computers, B.Sc in Computers, BCA in Computers', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleTechnical Architect,",Not Disclosed,5 - 7 years,Bangalore/Bengaluru,"Job descriptionThe Opportunity:We are looking for an experienced Software Architect to make intuitive high level decisions for software development. You will see the “big picture” and create architectural approaches for software design and implementation to guide the development team. The goal is to provide a framework for the development of a software or system that will result in high quality IT solutions. We have built some Microservices, Device Farms (Android & iOS) & IDE Plugins with Python/Django, Node, Java, Ember to help developers and enterprises to automatically detect and fix security loopholes in their Mobile (iOS, Android, Windows, etc.) / IoT Apps within a few minutes. We have been a major contributor to open-source community .You don’t need to know anything about security to apply for this position as we have experienced security professionals on-board who will help you.We are very picky about hiring. Because the core members will set the engineering culture that the entire tech team will follow in the future. We prefer to have incredibly high standards and to hire exceptional people who enjoy pushing themselves to perform at the highest level everyday.Responsibilities:Collaborate with other professionals to determine functional and non-functional requirements for new software or applicationsUse tools and methodologies to create representations for functions and user interface of desired productDevelop high-level product specifications with attention to system integration andfeasibilityDefine all aspects of development from appropriate technology and workflow to coding standardsCommunicate successfully all concepts and guidelines to development teamOversee progress of development team to ensure consistency with initial designProvide technical guidance and coaching to developers and engineersEnsure software meets all requirements of quality, security, modifiability, extensibility etc.Requirements:5+ years’ experience designing and building software applicationsSolid understanding of a variety of programming tools and development platforms.Proficiency in Python, NodeJSExcellent knowledge of software and application design and architectureExcellent knowledge of UML and other modeling methodsFamiliarity with HTML/CSS, JavaScript and UI/UX designUnderstanding of software quality assurance principlesA technical mindset with great attention to detailHigh quality organizational and leadership skillsOutstanding communication and presentation abilitiesPersonality traits we really admire :-We want to surround ourselves with people driven to do the right things and act with integrity even when no one is looking.Confident and dynamic working persona, which can bring fun to the team, and sense of humor, is an added advantage.Great attitude to ask questions, learn and suggest process improvements.Has attention to details and helps identify edge cases.Highly motivated and coming up with fresh ideas and perspective to help us move towards our goals faster.Follows timelines and absolute commitment to deadlines.Interview ProcessRound 1 Interview - Profile EvaluationRound 2 Interview - Internal software ArchitectRound 3 Interview - Technical FounderRound 4 Interview - HR(Currently WFH)RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :BCA in Computers, B.Tech/B.E. in Computers, B.Sc in ComputersPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey Skills UI/UX designCSSHTMLJavaScript software quality assuranceUML NodeJSPython DjangoSkills highlighted with ‘‘ are preferred keyskills","[' UI/UX design', 'CSS', 'HTML', 'JavaScript ', 'software quality assurance', 'UML ', 'NodeJS', 'Python', ' Django']","['UG :BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Computers', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com","RoleTechnical Architect,",Not Disclosed,4 - 6 years,Bangalore/Bengaluru,"Job description   Project Role :  Business Process Architect    Project Role Description :  Design business processes, including characteristics and key performance indicators (KPIs), to meet process and functional requirements. Work closely with the Application Architect to create the process blueprint and establish business process requirements to drive out application requirements and metrics. Assist in quality management reviews, ensure all business and design requirements are met. Educate stakeholders to ensure a complete understanding of the designs.    Management Level :  10    Work Experience :  4-6 years    Work location :  Bengaluru    Job Requirements :       Key Responsibilities :   1Network Testing on 4G and 5G Core networks 2 Experience on network testing tools like Spirent, KeySight, Viavi Should be able to configure the test cases, analyse the test results, and identify the issues and report3Test planning and management     Technical Experience :   Atleast 2-3 years of working experience in network testing Nice to have: aTesting experience on Radio Access network is added advantage b Devops skills, and Test automations c Experience on Robot / python scripts d Test Lab configuratione Cloud infrastructure experience     Professional Attributes :   presentation skills, fluent communication, team player    RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E.PG :Post Graduation Not RequiredKey SkillsBusiness processTesting toolsConsultingTest casesPythonSpirentCloudManagementNetwork testingSkills highlighted with ‘‘ are preferred keyskills","['Business process', 'Testing tools', 'Consulting', 'Test cases', 'Python', 'Spirent', 'Cloud', 'Management', 'Network testing']","['UG :B.Tech/B.E.', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
