company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"Noduco was started in 2011 by a team of IT professionals from highly  accredited academic and industry backgrounds. Our approach is to take  ownership for problems, develop a long term strategic partnership with  our clients, and work towards solving ADM (Application Development and  Maintenance) needs. Testimonials from our clients (various levels) say  that we have been able to uphold the values that we had started the  company with.","RoleBack End Developer,",Not Disclosed,3 - 8 years,Hyderabad/Secunderabad,"Job descriptionAbout Noduco We are a service based organisation started in 2010 . We  have been working successfully since 10+ years in IT industry.  We have  our clienteles majorly from US with different domain like Telecom,  Construction and Education. Desired SkillsExcellent written and oral communication SkillsExtensive knowledge of Design PatternsIndividual ContributorTech Stack:Java 8Microservices, RESTSpring Framework (modules : Rest, Security, Jpa, Batch, cloud)AWS components (S3, SQS, SNS, Redis), Kafka / ZookeeperRelational & No-SQL Databases along with good knowhow of SQL queriesKnowledge of basic Unix commandsRoles and Responsibilities1. Provides technical direction for the development, design, and systems integration across multiple client engagements from definition phase through implementation.2. Easily recognizes system deficiencies and implements effective solutions.3. Suggests alternative technical solutions to meet client requirements more efficiently, and/or with greater re-usability, and / or longer life.4. Creates and executes development plans across multiple projects and revises as appropriate to meet changing needs and requirements.5. Keeps project manager well informed of status of development effort and serves as liaison between development staff and project manager and/or client across multiple projects.6. Possesses good knowledge of database concepts, programming languages and ensures use of appropriate design techniques.7. Possesses significant knowledge of client/server and internet systems architectures and accurately suggests the use of the appropriate technology for the application.What To ExpectA challenging position with lots of room for growth and support for personal and professional development with a great opportunity to workCompetitive SalaryWork from HomeA transparent work culture that allows you to learnFun events,  learning sessions, awards & recognitions etc.Medical BenefitsRoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduateKey SkillsJavaSoftware DevelopmentSpring BootMicroservicesSoftware EngineeringKafkaSpringAWSSkills highlighted with ‘‘ are preferred keyskills","['Java', 'Software Development', 'Spring Boot', 'Microservices', 'Software Engineering', 'Kafka', 'Spring', 'AWS']",['UG :Any Graduate'],"Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Tata AutoComp Systems Ltd. (TACO), established in October 1995 by the Tata Group with the aim of participating in and catalysing the modernisation of the Indian automotive components industry. The TACO group, with its 24 manufacturing plants, 5 engineering centres and three export-oriented units, is rapidly expanding its business within India as well as Overseas. Its current OE customers include DaimlerChrysler, Fiat, Ford, General Motors, Honda, Hyundai, Mahindra and Mahindra, Piaggio, Tata Motors, Toyota, and Volvo.","RoleSoftware Development - Other,",Not Disclosed,5 - 10 years,Bangalore/Bengaluru,"Job description Strong working knowledge of C and C++11/C++14, 5-10 years of experienceDeveloping C and C++ code for embedded systemsHW interaction knowledgeWorking knowledge with Linux Build SystemGood debugging skillsWorking knowledge of coding guidelines as well as other quality management frameworks and toolsGood understanding of the Automotive KnowledgeCAN and I2C communicationEmbedded C,C++ and basic LinuxAgile/Scrum knowledgeADAS knowledge RoleSoftware Development - Other,Industry TypeAutomobile,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Electronics/Telecommunication, ElectricalKey Skillsembedded csoftware engineeringautomotiveSkills highlighted with ‘‘ are preferred keyskills","['embedded c', 'software engineering', 'automotive']","['UG :B.Tech/B.E. in Electronics/Telecommunication, Electrical']","Industry TypeAutomobile,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Mphasis is a leading IT solutions provider, offering Applications, Business Process Outsourcing (BPO) and Infrastructure services globally through a combination of technology knowhow, domain and process expertise.Mphasis Limited (then, Mphasis BFL Limited) was formed in June 2000 after the merger of the US-based IT consulting company Mphasis Corporation (founded in 1998) and the Indian IT services company BFL Software Limited (founded in 1993).Over the years we have left an indelible impression in the IT solutions domain with an impressive clientele and an extensive global presence. The accolades we have been garnering can be attributed to our undeterred focus in delivering quality solutions across verticals that meet the challenging requirements of our esteemed customers. Our integrated solutions offering is aimed at creating value for our customers, helping them in improving their business processes with minimum hassles and capital outlays. The perfect blend of technical excellence, business performance monitoring, business intelligence and customer experience management is what makes us endearing to our clients.","RoleFull Stack Developer,",Not Disclosed,3 - 7 years,Bangalore/Bengaluru,"Job descriptionSkillsPRIMARY COMPETENCY : Java Technologies PRIMARY SKILL : Java MicroServices Development PRIMARY SKILL PERCENTAGE : 51 SECONDARY COMPETENCY : Cloud Apps SECONDARY SKILL : Amazon Web Services-Cloud platform SECONDARY SKILL PERCENTAGE : 49APPLYRoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSoftware EngineeringWeb servicesjavaCloudmicroservicesSkills highlighted with ‘‘ are preferred keyskills","['Software Engineering', 'Web services', 'java', 'Cloud', 'microservices']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Wells Fargos vision is to satisfy our customersfinancial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 8,050 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 38 countries and territories to support customers who conduct business in the global economy. With approximately 265,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 26 on Fortunes 2018 rankings of Americas largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories.","RoleFull Stack Developer,",Not Disclosed,7 - 9 years,Hyderabad/Secunderabad,"Job description  Lead moderately complex initiatives and deliverables within technical domain environments   Contribute to large scale planning of strategies   Design, code, test, debug, and document for projects and programs associated with technology domain, including upgrades and deployments   Review moderately complex technical challenges that require an in-depth evaluation of technologies and procedures   Resolve moderately complex issues and lead a team to meet existing client needs or potential new clients needs while leveraging solid understanding of the function, policies, procedures, or compliance requirements   Collaborate and consult with peers, colleagues, and mid-level managers to resolve technical challenges and achieve goals   Lead projects and act as an escalation point, provide guidance and direction to less experienced staff        Required Qualifications, International:      Experience in Software Engineering, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education   7+ years of experience of IT experience   4+ years of experience in production support project to support python/API based application (tier 0)   7+ years of professional experience in Hadoop based technologies - HDFS/yarn cluster support, Hive, Spark and DevOps   3+ years of experience in GCP big data services.   3+ years of experience in building, deploying, Operating, Monitoring, Optimization and troubleshooting of large scale big data platform in GCP.   Extensive experience with Hadoop GCP services including Compute engine, Cloud SQL, Kubernetes Engine, Cloud Storage, GCP big Query, pub/Sub, Dataproc and Dataflow.   Extensive experience with application performance tuning on Hadoop/GCP and configuring systems to maximize performance   Experience with SDLC, including SCM, Build tools, Unit testing, Continuous delivery and agile processes.   Expertise in Infrastructure as a code (IaC) using HashiCorp Terraform   Experience working with large-scale multi tenancy Hadoop/GCP environments.   Strong software development scripting experience in Python, Shell scripting and SQL.   Experienced with Devops Tool chain like github, Jenkins, Artifactory and CI/CD pipeline.   Excellent interpersonal, verbal and written communication skills      Desired Qualifications:      Banking domain skills   Understanding of CCAR and risk domain   Hadoop platform understanding different Ecosystems  RoleFull Stack Developer,Industry TypeFinancial Services,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPerformance tuningProduction supportShell scriptingAgileUnit testingSCMTroubleshootingSDLCSQLPython","['Performance tuning', 'Production support', 'Shell scripting', 'Agile', 'Unit testing', 'SCM', 'Troubleshooting', 'SDLC', 'SQL', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFinancial Services,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Wells Fargos vision is to satisfy our customersfinancial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 8,050 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 38 countries and territories to support customers who conduct business in the global economy. With approximately 265,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 26 on Fortunes 2018 rankings of Americas largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories.","RoleOther,",Not Disclosed,8 - 10 years,Bangalore/Bengaluru,"Job description   Lead moderately complex initiatives and deliverables within technical domain environments   Contribute to large scale planning of strategies   Design, code, test, debug, and document for projects and programs associated with technology domain, including upgrades and deployments   Review moderately complex technical challenges that require an in-depth evaluation of technologies and procedures   Resolve moderately complex issues and lead a team to meet existing client needs or potential new clients needs while leveraging solid understanding of the function, policies, procedures, or compliance requirements   Collaborate and consult with peers, colleagues, and mid-level managers to resolve technical challenges and achieve goals   Lead projects and act as an escalation point, provide guidance and direction to less experienced staff      Required Qualifications       Bachelors/Master s degree in Computer Science or equivalent     Sr. Software Engineer position (minimum 8 to 10/11 years)     8 to 10 years of application development and maintenance experience.     7+ years Java development experience in a large enterprise environment     5+ years Full Stack development experience     2+ years of Agile delivery and CI/CD experience     Exposure to Agile practices, Data Modelling, Integration, and Rest Services.     Experience with Automation testing frameworks, Performance Testing and CI/CD is required.     Advanced problem-solving skills, ability to develop effective long-term solutions to complex problems.     Excellent verbal and written communication skills        Desired Qualifications:       Good analytical & debugging skills with high attention to detail and accuracy     Ability to work effectively in virtual environment where key team members and partners are in various time zones and locations     Strong SQL knowledge, DDL, DML stored procedures and function     Strong knowledge and understanding of Spring framework     Database query design and optimization     Development experience working in Agile Scrum environment, expert in JIRA, ALM, uDeploy, Jenkins, GitHub and Confluence     Ability to take part in and conduct code reviews     Strong organizational, multi-tasking, and prioritizing skills     Ability to drive the requirements process with both technical and business partners      Ability to be flexible and adjust plans quickly to meet changing business needs         Nice to Have - Skills:       Financial services and Banking Applications experience                                                                                                         RoleOther,Industry TypeFinancial Services,Functional AreaOther,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceAnalyticalBankingPerformance testingApplication developmentStored proceduresJIRAFinancial servicesMonitoringSQL","['Computer science', 'Analytical', 'Banking', 'Performance testing', 'Application development', 'Stored procedures', 'JIRA', 'Financial services', 'Monitoring', 'SQL']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFinancial Services,","Functional AreaOther,","Employment TypeFull Time, Permanent",Role CategoryOther
"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Wells Fargos vision is to satisfy our customersfinancial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 8,050 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 38 countries and territories to support customers who conduct business in the global economy. With approximately 265,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 26 on Fortunes 2018 rankings of Americas largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories.","RoleTechnical Lead,",Not Disclosed,8 - 9 years,Hyderabad/Secunderabad,"Job description    Lead moderately complex initiatives and deliverables within technical domain environments     Contribute to large scale planning of strategies     Design, code, test, debug, and document for projects and programs associated with technology domain, including upgrades and deployments     Review moderately complex technical challenges that require an in-depth evaluation of technologies and procedures     Resolve moderately complex issues and lead a team to meet existing client needs or potential new clients needs while leveraging solid understanding of the function, policies, procedures, or compliance requirements     Collaborate and consult with peers, colleagues, and mid-level managers to resolve technical challenges and achieve goals  Lead projects and act as an escalation point, provide guidance and direction to less experienced staff        Desired Qualifications:       8+ years of DW/BI/Analytics/IT experience with 4+ years of experience in building data processing applications using AB INITIO ETL and Hadoop Technologies     Expertise in one or more programming languages like Java, Scala or Python and in unix scripting.     Expertise in using query languages such as SQL, Hive, Sqoop and SparkSQL.     Experience in developing ETL designs and data models for structured data sources (DB)     Experience in building unstructured data pipelines in batch and real time mode.     Expertise in data structures, distributed computing, manipulating and analyzing complex high-volume data from variety of internal and external sources     Expertise in storage and process optimization techniques in Hadoop and Spark.     Experience in using tools like Jenkins for CI, Git for version Control and Jira for planning and execution.     Exposure to cloud based big data environments, web frameworks like node.js, angular.js is preferred     Strong problem-solving, communication and articulation skills     Engineering degree in Computer Science or related technical field, or equivalent practical experience        Job Expectations:       Good understanding of various Data Domains and particularly in IT Data Domain, which includes knowledge on Enterprise CMDB, IT Asset Management Practices, ITIL process etc.     Good to have knowledge on various data models related to the data domains.     Design and implement highly distributed, scalable and performant ETL processes - Staging, Data Enrichments and Strong data delivery techniques using ETL tools like Ab initio, informatics and SSIS and Big data technologies                RoleTechnical Lead,Industry TypeFinancial Services,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceInformation securityAb InitioData structuresSSISJIRAAnalyticsMonitoringSQLPython","['Computer science', 'Information security', 'Ab Initio', 'Data structures', 'SSIS', 'JIRA', 'Analytics', 'Monitoring', 'SQL', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFinancial Services,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Wells Fargos vision is to satisfy our customersfinancial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 8,050 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 38 countries and territories to support customers who conduct business in the global economy. With approximately 265,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 26 on Fortunes 2018 rankings of Americas largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories.","RoleETL Developer,",Not Disclosed,5 - 7 years,Hyderabad/Secunderabad,"Job description  Lead moderately complex initiatives and deliverables within technical domain environments   Contribute to large scale planning of strategies   Design, code, test, debug, and document for projects and programs associated with technology domain, including upgrades and deployments   Review moderately complex technical challenges that require an in-depth evaluation of technologies and procedures   Resolve moderately complex issues and lead a team to meet existing client needs or potential new clients needs while leveraging solid understanding of the function, policies, procedures, or compliance requirements   Collaborate and consult with peers, colleagues, and mid-level managers to resolve technical challenges and achieve goals   Lead projects and act as an escalation point, provide guidance and direction to less experienced staff     Required Qualifications      5+ years of experience with relational databases and ETL concepts - specifically SQL Server programming, data modeling and performance tuning   Visual Studio experience, specifically SQL Server Data Tools (SSIS, SSRS & SSAS). TFS experience with database projects would be a nice to have   Experience with batch processing and scheduling tools, i.e. Autosys   PowerShell experience - no need for proficiency but the ability to read and understand what it s doing   Experience with continuous integration and deployment automation concepts, experience with DevOps pipelines would be a bonus   Web development experience not necessary but an understanding of API concepts would be nice   Full stack SDLC experience would be preferred       Job Expectations:             Design and implement highly distributed, scalable and performance ETL processes - Staging, Data Enrichments and Strong data delivery techniques.            Effectively work in an ETL framework driven environment.            Identify key business processes and deliver subject specific ETL processes to load physical data models.            Support ongoing ETL efforts for Development, QA and Production environments. Relevant military experience is considered for veterans andEffectively communicate data design to other members of the team to ensure proper implementation and utilization of the data structures.            Partner with source system Subject Matter Experts, Data Analysts and Modelers to build Conformed and Data Distribution views of complex data sources into our environment.            Work very closely with business analysts, development teams and project managers for requirements and business rules.            Work on complex problems where analysis requires evaluation of intangible variance factors.            Plan, perform, and act as the escalation point for the most complex platform designs, coding, and testing.                  Design and implement highly distributed, scalable and performance ETL processes - Staging, Data Enrichments and Strong data delivery techniques.            Effectively work in an ETL framework driven environment.            Identify key business processes and deliver subject specific ETL processes to load physical data models.            Support ongoing ETL efforts for Development, QA and Production environments. Relevant military experience is considered for veterans andEffectively communicate data design to other members of the team to ensure proper implementation and utilization of the data structures.            Partner with source system Subject Matter Experts, Data Analysts and Modelers to build Conformed and Data Distribution views of complex data sources into our environment.            Work very closely with business analysts, development teams and project managers for requirements and business rules.            Work on complex problems where analysis requires evaluation of intangible variance factors.            Plan, perform, and act as the escalation point for the most complex platform designs, coding, and testing.                                                            RoleETL Developer,Industry TypeFinancial Services,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDBA / Data warehousingEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPerformance tuningAutomationData modelingCodingSSRSWeb developmentData structuresSSISSDLCSQL","['Performance tuning', 'Automation', 'Data modeling', 'Coding', 'SSRS', 'Web development', 'Data structures', 'SSIS', 'SDLC', 'SQL']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeFinancial Services,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDBA / Data warehousing
"Mphasis is a leading IT solutions provider, offering Applications, Business Process Outsourcing (BPO) and Infrastructure services globally through a combination of technology knowhow, domain and process expertise.Mphasis Limited (then, Mphasis BFL Limited) was formed in June 2000 after the merger of the US-based IT consulting company Mphasis Corporation (founded in 1998) and the Indian IT services company BFL Software Limited (founded in 1993).Over the years we have left an indelible impression in the IT solutions domain with an impressive clientele and an extensive global presence. The accolades we have been garnering can be attributed to our undeterred focus in delivering quality solutions across verticals that meet the challenging requirements of our esteemed customers. Our integrated solutions offering is aimed at creating value for our customers, helping them in improving their business processes with minimum hassles and capital outlays. The perfect blend of technical excellence, business performance monitoring, business intelligence and customer experience management is what makes us endearing to our clients.","RoleFull Stack Developer,",Not Disclosed,4 - 6 years,Bangalore/Bengaluru,"Job descriptionWho are we looking forA mid-senior level Java-J2EEE lead to manage a critical project for one of our biggest clients in banking domain. The Individual should be passionate about technology, experienced in developing and managing cutting edge technology applications.Technical Skills: Good development experience on Web based technologies on JavaJava8/Spring/Spring Boot/REST/Hibernate/Unit testingProcess Skills: Capable of analyzing requirements and develop software as per project defined software processBehavioral Skills:Resolve technical issues of projects and Explore alternate designsParticipates as a team member and fosters teamwork by inter-group coordination within the modules of the project.Effectively collaborates and communicates with the stakeholders and ensure client satisfactionCertification:NASkills PRIMARY COMPETENCY : Java Technologies PRIMARY SKILL : Java MicroServices Development PRIMARY SKILL PERCENTAGE : 100RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsJavaHibernateSpring BootMicro Services DevelopmentUnit testingSpringJava 8Skills highlighted with ‘‘ are preferred keyskills","['Java', 'Hibernate', 'Spring Boot', 'Micro Services Development', 'Unit testing', 'Spring', 'Java 8']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Mphasis is a leading IT solutions provider, offering Applications, Business Process Outsourcing (BPO) and Infrastructure services globally through a combination of technology knowhow, domain and process expertise.Mphasis Limited (then, Mphasis BFL Limited) was formed in June 2000 after the merger of the US-based IT consulting company Mphasis Corporation (founded in 1998) and the Indian IT services company BFL Software Limited (founded in 1993).Over the years we have left an indelible impression in the IT solutions domain with an impressive clientele and an extensive global presence. The accolades we have been garnering can be attributed to our undeterred focus in delivering quality solutions across verticals that meet the challenging requirements of our esteemed customers. Our integrated solutions offering is aimed at creating value for our customers, helping them in improving their business processes with minimum hassles and capital outlays. The perfect blend of technical excellence, business performance monitoring, business intelligence and customer experience management is what makes us endearing to our clients.","RoleFull Stack Developer,",Not Disclosed,3 - 5 years,Bangalore/Bengaluru,"Job descriptionJob DescriptionWho are we looking for3 to 5 years’ experience in Python/Ansible skills + Openstack development exp.Technical Skills: Mandatory Automation=> good in python3 and AnsibleCloud computing =>Openstack (RHOSP or VMware or RHOCP or plain vanilla etc.,)Any one of the stack deployment knowledge is a must.Hands-on experience in Kubernetes.Core concepts => Virtualization, networking, and container technologyNice to have:Telco domain experience – good to haveBehavioral Skills:Attitude towards learning new technologies and solving complex technical problems.Quick learner and team playerExcellent communication skillsCertification/Qualification:Education qualification: B.Tech, BE, or equivalent technical degree from a reputed collegeSkillsPRIMARY COMPETENCY : Server Technologies PRIMARY SKILL : Python-Development - Server PRIMARY SKILL PERCENTAGE : 80 SECONDARY COMPETENCY : Cloud Apps SECONDARY SKILL : Openstack-Cloud platform SECONDARY SKILL PERCENTAGE : 10 TERTIARY COMPETENCY : DevOps TERTIARY SKILL : Ansible TERTIARY SKILL PERCENTAGE : 10RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateKey SkillsPythonVMwareAnsibleOpenstackVirtualizationKubernetesSkills highlighted with ‘‘ are preferred keyskills","['Python', 'VMware', 'Ansible', 'Openstack', 'Virtualization', 'Kubernetes']","['UG :B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Founded in 1976, CGI is among the largest IT and business consulting services firms in the world. Operating in hundreds of locations across the globe, CGI delivers end-to-end services and solutions, including strategic IT and business consulting, systems integration, intellectual property, and managed IT and business process services","RoleDatabase Developer / Engineer,",Not Disclosed,3 - 8 years,Bangalore/Bengaluru,"Job description   Primary Skill- Power BI, Dax, Power query, SQL and visualization  Experience - 8 Years  Relevant Experience - 5 Years  Joining Location - Bangalore  Notice period - Max 30 days      Your future duties and responsibilities:   Design solutions that align with the data management principles, policies, standards and best practices  Translate requirements and generate and develop a roadmap utilizing the best technologies for the project with comprehensive and obtainable milestones  Develop and deploy dashboards, visualizations and autonomous and dynamic reporting interfaces to be distributed to stakeholders via the BI reporting platform, web portal, mobile, tablet devices, widgets and email  Optimize report distribution, execution and the scalability of all reporting solutions so they are autonomous and dynamic  Work with the Data Management team to provide input on logical and physical database design, data modeling and/or mapping  Generate large and complex data extracts and queries for the Analytical Leads for data analysis by utilizing various database schema such as Microsoft SQL Server, Oracle, and Netezza  Work with various Team Members, internal departments and third-party agencies on report business requirements, documentation, timelines, testing, and technical delivery  Power BI Report development.  Building Analysis Services reporting models.  Developing visual reports, KPI scorecards, and dashboards using Power BI desktop.  Connecting data sources, importing data, and transforming data for Business intelligence.  Analytical thinking for translating data into informative reports and visuals.  Capable of implementing row-level security on data along with an understanding of application security layer models in Power BI.  Should have an edge over making DAX queries in Power BI desktop.  Expert in using advanced-level calculations on the data set.  Responsible for design methodology and project documentaries.  Should be able to develop tabular and multidimensional models that are compatible with data warehouse standards.    Required qualifications to be successful in this role:   Good communication skills must be able to discuss the requirements effectively with the client teams, and with internal teams.  Mandate to have experience with BI tools and systems such as Power BI, Tableau, and SAP.  Knowledge in Microsoft BI Stack  Grip over data analytics  Should possess software development skills:  Microsoft Power BI  Data Modelling  DAX  Azure Data Factory  MySQL  SQL Server  Power Query  Power Pivot  Power View    Skills:    Solutions Architecture           RoleDatabase Developer / Engineer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDBA / Data warehousingEducationUG :B.Tech/B.E.PG :Post Graduation Not RequiredKey SkillsSAPMySQLOracleBusiness intelligenceSQLData analysisData managementData modelingDatabase designmicrosoftSkills highlighted with ‘‘ are preferred keyskills","['SAP', 'MySQL', 'Oracle', 'Business intelligence', 'SQL', 'Data analysis', 'Data management', 'Data modeling', 'Database design', 'microsoft']","['UG :B.Tech/B.E.', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryDBA / Data warehousing
